,reaction_expression
MAR03905,158.054121173
MAR03907,30.18960672
MAR04097,18.2685528
MAR04099,12.441768882
MAR04108,18.2685528
MAR04133,18.2685528
MAR04281,44.21714935999999
MAR04388,155.87636931999998
MAR04283,76.64645313999999
MAR08357,72.911976497
MAR04379,49.231413159999995
MAR04301,49.231413159999995
MAR04355,75.76813136000001
MAR04358,20.200002103
MAR04360,-1.0
MAR04363,41.29293421
MAR04365,130.68350511
MAR04368,68.65247979
MAR04370,114.78114463
MAR04371,130.68350511
MAR04372,114.78114463
MAR04373,61.29498699
MAR04375,85.14724918000002
MAR04377,75.51311067
MAR04381,13.48096053
MAR04391,36.54168888
MAR04394,62.98058126
MAR04396,54.860038040000006
MAR04521,53.17619804
MAR06412,5.187417902
MAR07745,14.30268272
MAR07747,11.28579403
MAR08360,29.67267373
MAR08652,53.17619804
MAR08757,8.778521117
MAR03989,29.981205719000002
MAR04122,17.69027151
MAR04837,23.45318281
MAR05395,29.45797727
MAR05396,62.156745029999996
MAR09727,100.65170914000001
MAR05397,21.12568699
MAR05398,43.043094148
MAR05399,4.016380909
MAR05400,4.016380909
MAR05401,43.043094148
MAR08568,117.55777529000001
MAR08569,117.55777529000001
MAR08570,117.55777529000001
MAR08571,117.55777529000001
MAR08572,117.55777529000001
MAR08573,117.55777529000001
MAR08574,117.55777529000001
MAR08575,117.55777529000001
MAR08576,117.55777529000001
MAR08577,117.55777529000001
MAR08578,117.55777529000001
MAR08579,117.55777529000001
MAR08581,117.55777529000001
MAR08591,11.163076696000001
MAR08592,16.39745676
MAR08580,117.55777529000001
MAR08582,117.55777529000001
MAR08587,11.163076696000001
MAR08589,16.39745676
MAR08583,4.131016259
MAR08584,6.898391226
MAR08585,7.857727269
MAR03944,7.125042406
MAR04128,19.57417574
MAR04130,47.348659160000004
MAR04131,26.02028344
MAR04132,26.02028344
MAR04303,34.458924682
MAR04414,59.887417770000006
MAR04415,5.985516623
MAR04416,41.241252413
MAR04774,49.231413159999995
MAR04775,49.231413159999995
MAR04831,-1.0
MAR04832,5.985516623
MAR07674,101.70991824000001
MAR08761,13.89444181
MAR08762,85.14724918000002
MAR08764,5.985516623
MAR08766,46.79518811
MAR08767,26.02028344
MAR00454,-1.0
MAR04297,63.90451544999999
MAR04310,13.89444181
MAR04315,6.421985847
MAR04316,46.79518811
MAR04317,89.789998011
MAR04318,89.789998011
MAR04319,39.825787309999996
MAR04320,89.789998011
MAR04356,85.14724918000002
MAR04383,11.55293295
MAR04385,58.739785710999996
MAR04386,22.585778396
MAR04387,6.535452596
MAR04399,36.8098157
MAR04400,-1.0
MAR04401,11.82601013
MAR04402,-1.0
MAR04403,-1.0
MAR04490,39.825787309999996
MAR04706,63.90451544999999
MAR08768,-1.0
MAR04590,47.6638708
MAR04591,58.05477669
MAR04592,46.79518811
MAR04593,6.421985847
MAR04594,61.71183702
MAR04595,7.091993146
MAR08341,72.93138989
MAR08342,-1.0
MAR08344,30.18960672
MAR08352,27.55092141
MAR08353,-1.0
MAR08726,23.4824695
MAR08727,14.2189577
MAR08728,-1.0
MAR08729,14.62013558
MAR06537,30.18960672
MAR01568,76.64645313999999
MAR03853,41.503615159999995
MAR03854,46.79518811
MAR03855,46.79518811
MAR03857,47.04062716999999
MAR03859,29.578569762999997
MAR04087,8.353097875
MAR04089,40.82123131
MAR04091,8.353097875
MAR04093,20.52584882
MAR04095,20.52584882
MAR04101,10.53643394
MAR04103,17.5974717
MAR04143,16.60332994
MAR04193,20.200002103
MAR08497,72.93138989
MAR08498,8.778521117
MAR08499,8.778521117
MAR08500,72.93138989
MAR08501,11.27103251
MAR08502,158.054121173
MAR08503,124.37998017999999
MAR08504,72.911976497
MAR08506,72.911976497
MAR08507,158.054121173
MAR08508,158.054121173
MAR08509,72.93138989
MAR08511,47.04062716999999
MAR08512,20.35759658
MAR08514,29.578569762999997
MAR08516,34.43432929
MAR08517,-1.0
MAR04280,54.24953037
MAR00153,30.710321682
MAR03212,124.575815338
MAR03797,30.710321682
MAR03800,8.55929723
MAR04105,2.969143096
MAR04106,2.969143096
MAR04107,2.969143096
MAR04282,14.81943274
MAR04331,30.710321682
MAR04459,30.710321682
MAR04460,30.710321682
MAR04464,-1.0
MAR04497,9.624706461
MAR04741,17.00253989
MAR08078,-1.0
MAR09803,-1.0
MAR09804,696.8529367429999
MAR00718,8.429910541
MAR00719,19.4302233
MAR01434,52.37661653
MAR01436,6.026224622
MAR03163,124.575815338
MAR04461,30.169734317
MAR04604,17.66605829
MAR05351,136.46622249
MAR07709,9.095502741
MAR04052,119.11614559
MAR04304,24.94053789
MAR04350,23.4824695
MAR04351,51.28801828
MAR04352,51.28801828
MAR04354,20.92483005
MAR04398,65.07082078
MAR04404,71.32649493
MAR04473,19.08783085
MAR04474,19.08783085
MAR04476,39.95353017
MAR04477,26.94545251
MAR04501,71.32649493
MAR04565,65.9256967
MAR04567,49.231413159999995
MAR09799,19.61558219
MAR09800,13.89444181
MAR04623,5.349279484
MAR04625,29.08086244
MAR04710,20.92483005
MAR04841,76.64645313999999
MAR08074,23.4824695
MAR08653,34.430141924
MAR03998,109.42833146800001
MAR04000,180.243383891
MAR04002,135.46098064
MAR04004,135.46098064
MAR04010,164.65228705699997
MAR04081,164.65228705699997
MAR04082,164.65228705699997
MAR04012,35.4682557
MAR04014,523.011180096
MAR04020,22.07804022
MAR04022,180.243383891
MAR04038,6.532204424
MAR04040,30.846728027
MAR04042,-1.0
MAR04046,5.626344015
MAR04048,523.011180096
MAR04080,52.624411929000004
MAR04085,65.57501781
MAR04086,65.57501781
MAR04134,109.42833146800001
MAR04135,22.07804022
MAR04168,45.50707208
MAR04171,20.200002103
MAR04290,33.561591107
MAR04406,14.66360797
MAR04412,12.423344893
MAR04417,164.65228705699997
MAR04418,33.01636714
MAR04419,114.36751638
MAR04421,20.200002103
MAR04449,164.65228705699997
MAR04450,164.65228705699997
MAR04451,-1.0
MAR04452,33.01636714
MAR04453,5.626344015
MAR04480,184.859734628
MAR04481,9.885797238
MAR04482,9.885797238
MAR04486,39.825787309999996
MAR04487,39.825787309999996
MAR04488,39.825787309999996
MAR04489,39.825787309999996
MAR04492,39.825787309999996
MAR04493,39.825787309999996
MAR04495,39.825787309999996
MAR04496,39.825787309999996
MAR04518,14.28151204
MAR04519,17.58896854
MAR04520,17.58896854
MAR04573,20.200002103
MAR04574,7.733609102
MAR04600,39.82969361
MAR04602,164.65228705699997
MAR04603,7.733609102
MAR04611,10.545288624
MAR04612,10.545288624
MAR04614,10.545288624
MAR04615,10.545288624
MAR04617,10.545288624
MAR04618,10.545288624
MAR04619,10.545288624
MAR04621,10.545288624
MAR04632,164.65228705699997
MAR04646,17.58896854
MAR04648,17.58896854
MAR04649,17.58896854
MAR04650,17.58896854
MAR04651,7.733609102
MAR04663,7.733609102
MAR04664,33.01636714
MAR04694,9.885797238
MAR04695,7.733609102
MAR04705,164.65228705699997
MAR04709,7.733609102
MAR04799,13.71676203
MAR04802,13.71676203
MAR04804,5.029074094
MAR04808,6.428948641
MAR04810,5.029074094
MAR04812,12.423344893
MAR04814,6.532204424
MAR05301,59.04788754
MAR05353,22.07804022
MAR06601,30.94477204
MAR06602,63.556390087
MAR06603,63.556390087
MAR06605,-1.0
MAR06606,-1.0
MAR06607,-1.0
MAR06609,-1.0
MAR06610,-1.0
MAR06611,-1.0
MAR07144,68.259124
MAR08755,17.58896854
MAR09797,-1.0
MAR04016,166.959561426
MAR04018,166.959561426
MAR04044,166.959561426
MAR04291,166.959561426
MAR04420,166.959561426
MAR04570,166.959561426
MAR04572,166.959561426
MAR04006,166.959561426
MAR04028,166.959561426
MAR04030,166.959561426
MAR04670,166.959561426
MAR04673,166.959561426
MAR04675,166.959561426
MAR06614,166.959561426
MAR06615,166.959561426
MAR06616,166.959561426
MAR04635,166.959561426
MAR03793,25.01896259
MAR03931,36.257462114
MAR03969,24.39251048
MAR03970,157.431452196
MAR04008,24.02529288
MAR04032,31.790823690000003
MAR04034,6.281635264
MAR04036,6.832803374
MAR04050,6.281635264
MAR04056,164.65228705699997
MAR04059,109.42833146800001
MAR04060,109.42833146800001
MAR04127,52.631198168999994
MAR04177,164.65228705699997
MAR04179,164.65228705699997
MAR04182,89.789998011
MAR04183,33.561591107
MAR04192,33.561591107
MAR04194,31.790823690000003
MAR04210,20.200002103
MAR04211,45.50707208
MAR04343,13.50003184
MAR04345,11.35450017
MAR04346,39.7066989
MAR04470,11.35450017
MAR04471,11.35450017
MAR04472,11.35450017
MAR04484,164.65228705699997
MAR04485,48.13266777
MAR04510,164.65228705699997
MAR04512,24.02529288
MAR04513,25.38644797
MAR04514,75.82246221
MAR04577,6.832803374
MAR04579,39.105402446
MAR04580,94.62279124
MAR04608,6.281635264
MAR04575,5.003227362
MAR04637,55.35925092
MAR04642,60.21493358
MAR04643,59.22916212
MAR04644,24.11093513
MAR04672,-1.0
MAR04676,59.04788754
MAR04736,26.51029524
MAR04819,16.76871855
MAR05299,59.04788754
MAR05352,59.04788754
MAR05415,10.545288624
MAR05416,10.545288624
MAR05417,50.120895144
MAR06612,55.35925092
MAR06613,55.35925092
MAR06621,10.545288624
MAR06622,10.545288624
MAR06623,40.33054932
