,gene_contribution
ENSG00000121410,0.0
ENSG00000128274,2.0
ENSG00000118017,2.1559941533003713
ENSG00000094914,1.0
ENSG00000081760,2.0
ENSG00000114771,1.7449561896766956
ENSG00000109576,9.0
ENSG00000129673,1.0
ENSG00000157426,0.7090467692892599
ENSG00000149313,1.0
ENSG00000008311,2.1151986836772414
ENSG00000183044,4.270269173022191
ENSG00000165029,73.82306087707497
ENSG00000167972,1.0
ENSG00000198691,1.0
ENSG00000141338,4.0
ENSG00000085563,44.11926219456115
ENSG00000073734,17.439083512525137
ENSG00000005471,10.99786747983792
ENSG00000115657,3.776185894035218
ENSG00000103222,23.997192484859067
ENSG00000121270,8.962315275290438
ENSG00000023839,20.32579513558737
ENSG00000108846,29.344069372433957
ENSG00000125257,15.670740270423071
ENSG00000114770,4.803643850703789
ENSG00000006071,0.14510774941895085
ENSG00000069431,0.022048524444305873
ENSG00000101986,19.62019328051891
ENSG00000173208,5.0
ENSG00000117528,4.0
ENSG00000160179,0.26470762741187887
ENSG00000118777,24.78381743836782
ENSG00000138075,1.339860866196054
ENSG00000143921,1.339860866196054
ENSG00000100997,5.718540969969884
ENSG00000011198,0.5753242188510822
ENSG00000163686,1.8103676210311495
ENSG00000166016,0.2936417838149865
ENSG00000060971,129.17250254765386
ENSG00000167315,66.72813668182009
ENSG00000278540,2.0
ENSG00000076555,2.0
ENSG00000111271,0.28120844301052583
ENSG00000240303,0.40229517206834275
ENSG00000151498,0.33602053722824843
ENSG00000177646,11.381924134768811
ENSG00000115361,14.405415153417085
ENSG00000117054,28.102083631875235
ENSG00000122971,24.115428309513113
ENSG00000196177,2.503880817136425
ENSG00000072778,43.902596442276604
ENSG00000075239,2.0
ENSG00000120437,2.0
ENSG00000159640,1.496527644999497
ENSG00000130234,6.675394637367606
ENSG00000167769,1.5620203298187687
ENSG00000177076,0.7816407960097445
ENSG00000078124,16.264792340927205
ENSG00000087085,1.203019742286092
ENSG00000131473,1.0
ENSG00000153086,1.0
ENSG00000122729,1.0
ENSG00000100412,2.0
ENSG00000184227,22.668456449940336
ENSG00000162390,0.1605175618177523
ENSG00000172497,2.0
ENSG00000112304,0.6545169265719809
ENSG00000119673,20.43152936882576
ENSG00000177465,15.1523177798723
ENSG00000205669,16.772257357943737
ENSG00000097021,19.10850562994264
ENSG00000101473,11.586081549645789
ENSG00000123130,0.05881398800738121
ENSG00000161533,50.84671093033454
ENSG00000168306,2.091478645691143
ENSG00000087008,47.645565779349766
ENSG00000134575,4.66333852251835
ENSG00000102575,1.1337576774505327
ENSG00000162836,1.5391254196070925
ENSG00000103740,13.779468821670271
ENSG00000130377,29.621993413574288
ENSG00000167107,0.8092306778334009
ENSG00000176715,0.2917188420506934
ENSG00000151726,21.159436507830694
ENSG00000123983,8.157068562567616
ENSG00000068366,12.784029994369407
ENSG00000197142,22.070881098957848
ENSG00000164398,6.754455548409382
ENSG00000166743,2.4529406487219045
ENSG00000183747,1.14105693769811
ENSG00000066813,1.7900808784572715
ENSG00000005187,1.0004020087263272
ENSG00000215009,1.4971578001300117
ENSG00000183549,1.1183617262663763
ENSG00000154930,2.4966886433573308
ENSG00000131069,7.398257333413811
ENSG00000111058,1.105054023228858
ENSG00000243989,3.0
ENSG00000132744,1.8427782231658902
ENSG00000119640,1.4150799991671597
ENSG00000170634,0.5849200008328403
ENSG00000196839,5.0
ENSG00000164742,0.0443498843760236
ENSG00000143199,0.1383428495409186
ENSG00000078295,0.08007089827939874
ENSG00000138031,0.12507454101769463
ENSG00000129467,0.07648839330670983
ENSG00000173175,0.11539268928314585
ENSG00000174233,0.10261922002585809
ENSG00000121281,0.0896698394084912
ENSG00000155897,0.21424878518462007
ENSG00000162104,0.10763944783338729
ENSG00000187758,3.2136629983072367
ENSG00000196616,3.9182356771526217
ENSG00000198099,10.922636792458524
ENSG00000197894,7.795606460317626
ENSG00000172955,1.6082613110029427
ENSG00000196344,2.621773364724768
ENSG00000147576,3.5496214928286474
ENSG00000182551,2.0
ENSG00000156110,0.8769126944842983
ENSG00000181915,1.0
ENSG00000159322,1.0
ENSG00000144843,2.0
ENSG00000170222,2.512724248189462
ENSG00000239900,1.5929163229354835
ENSG00000183077,3.0
ENSG00000038002,4.0
ENSG00000006530,6.0
ENSG00000162688,3.0
ENSG00000116771,1.0
ENSG00000204310,1.6313725321885852
ENSG00000169692,2.3347252984378257
ENSG00000160216,0.6585230373604544
ENSG00000026652,0.3347410975487618
ENSG00000155189,0.4397526241572308
ENSG00000018510,1.0
ENSG00000172482,3.4029511111700117
ENSG00000113492,2.3267797158077976
ENSG00000153207,1.0
ENSG00000101444,1.3615500745887383
ENSG00000158467,0.6384499254112618
ENSG00000111732,2.5239863811155425
ENSG00000106992,0.46554184111678115
ENSG00000004455,0.16924130836896156
ENSG00000147853,1.266105480033676
ENSG00000162433,0.15336441339674814
ENSG00000154027,3.1515152938843185
ENSG00000085231,0.5135124543143161
ENSG00000140057,0.19886624990198762
ENSG00000165695,0.42670926256427144
ENSG00000155085,0.7065207430216067
ENSG00000117448,9.059336817593223
ENSG00000085662,3.996943212894156
ENSG00000198074,3.927920059665794
ENSG00000227471,0.261452469052462
ENSG00000187134,2.894793989295228
ENSG00000151632,1.4402936092676621
ENSG00000196139,11.312979830615918
ENSG00000198610,10.556089996806422
ENSG00000122787,7.0
ENSG00000053371,2.4162445870815557
ENSG00000162482,2.7053396977999946
ENSG00000148218,1.0
ENSG00000023330,1.0828917767294663
ENSG00000158578,1.3127559328140948
ENSG00000163631,2.0
ENSG00000059573,3.1408987033987312
ENSG00000165092,3.964669183509832
ENSG00000128918,2.0353308164901676
ENSG00000184254,7.144138601571877
ENSG00000137124,11.028277441029797
ENSG00000144908,1.3471398438979685
ENSG00000136010,0.6528601561020313
ENSG00000111275,2.4914272436930296
ENSG00000108602,11.762801417569916
ENSG00000072210,31.502018615403397
ENSG00000006534,11.215121414935824
ENSG00000132746,9.570193113371039
ENSG00000159423,9.750314783261224
ENSG00000112294,1.1501056584549811
ENSG00000119711,4.111842937493864
ENSG00000164904,10.431850046560953
ENSG00000118514,1.5141291972199422
ENSG00000143149,8.781984849547811
ENSG00000149925,0.928102651509695
ENSG00000136872,2.6714281961310533
ENSG00000109107,2.4004691523592516
ENSG00000033011,1.0
ENSG00000139133,1.4687883003097741
ENSG00000175548,0.11251986929327688
ENSG00000253710,2.0
ENSG00000182858,0.5732870399588523
ENSG00000101901,0.7912207715392643
ENSG00000172339,0.20877922846073574
ENSG00000119523,2.0
ENSG00000214160,1.700932064304372
ENSG00000120697,3.0
ENSG00000088035,1.0
ENSG00000159063,1.4186918303969491
ENSG00000086848,1.1955490992410853
ENSG00000151360,1.0
ENSG00000108839,18.22009654439919
ENSG00000179477,1.552216548826344
ENSG00000161905,3.069764789000561
ENSG00000179593,2.9302352109994376
ENSG00000012779,25.77990345560081
ENSG00000179148,0.4477834511736562
ENSG00000163295,2.3754855785032105
ENSG00000162551,1.8621052353055527
ENSG00000163283,1.255559199198023
ENSG00000242110,11.396570751916473
ENSG00000123505,1.0
ENSG00000139344,1.0
ENSG00000162066,0.31292713684535833
ENSG00000159461,0.003003831576495615
ENSG00000166126,1.0
ENSG00000116748,0.5334953533368773
ENSG00000116337,0.18591415512286538
ENSG00000133805,0.28059049154025745
ENSG00000145020,2.0
ENSG00000187733,3.5854563474706556
ENSG00000243480,4.009549164197073
ENSG00000240038,1.4076169403375436
ENSG00000141552,1.0
ENSG00000166825,0.8504440567573668
ENSG00000138772,0.36731481724362436
ENSG00000136250,1.0
ENSG00000131480,16.26459346009908
ENSG00000131471,11.261261717484114
ENSG00000138356,7.454275486129725
ENSG00000166747,0.019973492057060404
ENSG00000149089,1.0
ENSG00000084674,1.0
ENSG00000173627,0.1821435373281457
ENSG00000130208,1.0
ENSG00000234906,1.0
ENSG00000110245,1.0
ENSG00000130203,1.0
ENSG00000198931,2.0
ENSG00000240583,0.09626150996128303
ENSG00000143595,0.5436302476823528
ENSG00000167580,0.06213685234689481
ENSG00000165272,0.6862678974370722
ENSG00000171885,0.04872071964470924
ENSG00000161798,0.12530247518483326
ENSG00000086159,0.03832906037878566
ENSG00000165269,0.8945367578357086
ENSG00000103375,2.276525721424931
ENSG00000103569,2.538322468585012
ENSG00000095139,0.48738312313790366
ENSG00000118520,1.0
ENSG00000081181,1.0
ENSG00000054267,0.09961626356601397
ENSG00000100299,1.7488170379293833
ENSG00000113273,5.0
ENSG00000006756,0.6316026126190832
ENSG00000129744,0.6076251954089017
ENSG00000156219,0.3359873145910385
ENSG00000111339,0.1927485521871837
ENSG00000167311,0.38754557266854195
ENSG00000214435,1.0
ENSG00000104763,1.2641726442277725
ENSG00000188611,0.21731990614795937
ENSG00000198881,0.24106456120024017
ENSG00000116539,0.15354379328126685
ENSG00000126522,1.0
ENSG00000070669,1.0
ENSG00000108381,0.5275759948725385
ENSG00000166183,1.0168865380546321
ENSG00000198363,0.5007913450572825
ENSG00000162174,1.3484406230131487
ENSG00000130707,1.0
ENSG00000107669,1.0
ENSG00000138363,2.0
ENSG00000206190,9.515057347035937
ENSG00000068650,4.255856150085402
ENSG00000101974,10.7441438499146
ENSG00000075673,1.4003537246055173
ENSG00000163399,5.546956294754026e-05
ENSG00000018625,6.771126771342867e-05
ENSG00000105409,0.0002345385453802174
ENSG00000132681,4.486751718166012e-05
ENSG00000143153,1.6586033455383497e-05
ENSG00000129244,0.00018532681461691397
ENSG00000069849,0.00012498781174214192
ENSG00000101892,5.0850388851174034e-05
ENSG00000196296,0.1642157847911953
ENSG00000174437,0.0820396740129843
ENSG00000074370,0.09971347155372691
ENSG00000070961,0.4288548283621726
ENSG00000157087,0.32474159625326515
ENSG00000067842,0.3467568436121397
ENSG00000058668,0.2204151155306528
ENSG00000017260,0.17303399622538276
ENSG00000064270,0.16022868965848056
ENSG00000105675,0.5996462753944826
ENSG00000186009,1.2400706198000069
ENSG00000071553,0.07844118561976784
ENSG00000033627,0.04116308914389247
ENSG00000185344,0.05871709795013966
ENSG00000105929,0.1252622826988365
ENSG00000117410,0.1406639602439634
ENSG00000185883,0.1989129267995677
ENSG00000159720,0.04397423086647648
ENSG00000147614,0.14917741183626218
ENSG00000113732,2.1868298248479517e-06
ENSG00000114573,1.8106518765417815e-25
ENSG00000116039,2.698859801731082e-13
ENSG00000147416,5.221473031228265e-14
ENSG00000155097,3.2735875343443825e-12
ENSG00000143882,6.002653962096491e-15
ENSG00000100554,1.8106518765417815e-25
ENSG00000131100,2.0319545651149926e-14
ENSG00000250565,1.2405987382583266e-12
ENSG00000128524,1.8106518765417815e-25
ENSG00000136888,3.445106481433979e-08
ENSG00000213760,2.0519877057204318e-09
ENSG00000151418,1.8099785161581552e-10
ENSG00000047249,0.13285317040464653
ENSG00000124406,1.1094975022942046
ENSG00000081923,3.595467430129101
ENSG00000143515,5.542165302544948
ENSG00000148090,7.0
ENSG00000204195,0.7635548640608296
ENSG00000147160,0.33440843885709703
ENSG00000169255,3.0
ENSG00000162885,0.06425707660630847
ENSG00000172318,0.28935048825236676
ENSG00000162630,0.722832648758448
ENSG00000235863,8.0
ENSG00000183778,3.1859295051627035
ENSG00000176022,1.0
ENSG00000109956,0.19815748315105935
ENSG00000112309,0.218421652185164
ENSG00000149541,0.5834208646637766
ENSG00000170340,6.413311306600536
ENSG00000179913,19.66280916157107
ENSG00000176383,3.6881835762616944
ENSG00000176597,2.0563098488444504
ENSG00000198488,1.6958621321176583
ENSG00000156966,1.6744781097084123
ENSG00000177191,5.060426675188956
ENSG00000237172,0.06384472734697387
ENSG00000175711,3.086921070131816
ENSG00000135454,9.0
ENSG00000167080,0.040472948121436376
ENSG00000139044,0.05769530159259177
ENSG00000182272,0.11813277288574194
ENSG00000086062,5.812114926712051
ENSG00000117411,6.925355834019994
ENSG00000158850,6.245762257355643
ENSG00000121578,0.5191659640361977
ENSG00000158470,5.378479828690907
ENSG00000118276,0.05195847399858713
ENSG00000027847,1.1288362093037612
ENSG00000136881,25.762809773299526
ENSG00000138376,0.004066983219669879
ENSG00000129151,1.0
ENSG00000185825,1.1105688587807951
ENSG00000060982,3.0
ENSG00000105552,3.0
ENSG00000114200,0.7969802577139082
ENSG00000248098,6.447156635759924
ENSG00000083123,6.2644822871870565
ENSG00000103507,1.0
ENSG00000197580,1.862967277113404
ENSG00000161267,0.2579277781803258
ENSG00000164039,0.8875090721401958
ENSG00000145692,0.38188080130271
ENSG00000132840,0.61811919869729
ENSG00000115760,0.0024832929722998867
ENSG00000106605,1.3852532244733837
ENSG00000090013,1.6147467755266163
ENSG00000168487,1.0
ENSG00000172331,0.3591912469290727
ENSG00000162813,2.0
ENSG00000089234,0.007566332708631472
ENSG00000156983,0.6253183758487018
ENSG00000168000,0.14448521974047288
ENSG00000109743,2.7185352348882863
ENSG00000169814,4.0
ENSG00000106392,0.17485398154086673
ENSG00000171155,0.8251460184591333
ENSG00000133742,0.21854871240567506
ENSG00000074410,0.07231538996263362
ENSG00000185015,0.17756569998514438
ENSG00000118298,0.19907496489294385
ENSG00000104267,0.5623877803658255
ENSG00000164879,0.2615115073547652
ENSG00000167434,0.39321101736526737
ENSG00000174990,0.7722853457012487
ENSG00000169239,0.3177033007500801
ENSG00000131686,0.24080802610294222
ENSG00000168748,0.319409874882447
ENSG00000107159,0.3620487589977199
ENSG00000084774,3.0
ENSG00000198668,0.19881202386783997
ENSG00000143933,0.12523793995247584
ENSG00000160014,0.2739748921561854
ENSG00000171302,1.2159111620989784
ENSG00000092529,0.14794002826916522
ENSG00000172508,2.0
ENSG00000121691,5.003795249711076
ENSG00000110395,0.0024297652290377223
ENSG00000114423,0.003943911080743992
ENSG00000142273,0.013744169200250535
ENSG00000105879,0.0046101796255038725
ENSG00000159228,11.009133451752554
ENSG00000159231,14.794577125572422
ENSG00000145439,0.16289189753377376
ENSG00000160200,3.0
ENSG00000100814,0.014575813204649717
ENSG00000135218,1.6298452639615622
ENSG00000004468,2.2814647651117133
ENSG00000158825,1.2938700815563118
ENSG00000099804,0.011321261082087001
ENSG00000103502,2.0
ENSG00000129596,1.0
ENSG00000163624,2.1471831113537463
ENSG00000101290,0.8528168886462542
ENSG00000182415,0.14280637784056469
ENSG00000129873,0.08603898899300576
ENSG00000170835,58.608924626007045
ENSG00000205923,0.6870728631546417
ENSG00000134255,6.243357608008979
ENSG00000100422,1.0
ENSG00000223802,0.3981231868459382
ENSG00000143418,0.41456507812731813
ENSG00000154227,0.272887322335953
ENSG00000090661,0.34686837097560547
ENSG00000139624,0.4056168986356936
ENSG00000172292,0.16193914307949187
ENSG00000198848,0.41615218203496557
ENSG00000172831,1.1828808533976054
ENSG00000172828,0.20580043491807287
ENSG00000159398,0.4090273448120345
ENSG00000138135,5.0
ENSG00000070748,2.0
ENSG00000016391,2.0743978716391736
ENSG00000072609,0.0022115159206511463
ENSG00000133048,0.9860138318019802
ENSG00000134216,1.7041412180629085
ENSG00000133063,0.9843325761061708
ENSG00000110721,0.6111787228905357
ENSG00000100288,0.9688252940211062
ENSG00000123989,2.5507118093667875
ENSG00000033100,0.7963913716380138
ENSG00000111666,1.7566423919910206
ENSG00000175264,0.8916959852381504
ENSG00000115526,0.09488405262837746
ENSG00000171310,0.873560027011372
ENSG00000136213,0.2994405153988286
ENSG00000180767,1.6694345064325398
ENSG00000169105,1.1575649511572597
ENSG00000182022,0.9324033502788973
ENSG00000175040,4.265619017484796
ENSG00000122863,0.7930458620403175
ENSG00000140835,5.27040215513813
ENSG00000135702,4.371040012117458
ENSG00000183196,1.396642700199335
ENSG00000147119,6.530758111478623
ENSG00000124302,0.12991935694572665
ENSG00000154080,0.024495809968256274
ENSG00000131873,1.6073013273388777
ENSG00000198108,2.664949779255851
ENSG00000100865,1.0
ENSG00000166165,0.23842806189841337
ENSG00000104879,0.40337291196780617
ENSG00000223572,0.6024443629239923
ENSG00000237289,0.32591796862633404
ENSG00000131730,0.4298366945834543
ENSG00000175505,0.24821252703365485
ENSG00000134852,0.021050687067095956
ENSG00000137392,1.0
ENSG00000125246,2.0
ENSG00000092009,2.0
ENSG00000111726,3.0
ENSG00000162368,41.0
ENSG00000134326,2.0
ENSG00000137200,1.0
ENSG00000150656,1.9705328311495103
ENSG00000133313,2.269598136653487
ENSG00000080802,0.00558506295979649
ENSG00000173786,2.0
ENSG00000068120,4.0
ENSG00000130309,0.34227834056011097
ENSG00000198756,0.16526914832964532
ENSG00000093010,20.391623175863174
ENSG00000129083,0.7300775245526205
ENSG00000184432,0.19247574267029616
ENSG00000105669,1.0541978586553837
ENSG00000181789,0.5738963252886874
ENSG00000158623,0.9619694256951089
ENSG00000173085,1.0
ENSG00000132423,3.0
ENSG00000110871,1.0
ENSG00000119723,10.756828351466995
ENSG00000167186,2.0
ENSG00000006695,3.1244578968132766
ENSG00000131143,0.2627096101760047
ENSG00000131055,1.7372903898239955
ENSG00000178741,2.0
ENSG00000135940,2.0
ENSG00000111775,0.9080024397552418
ENSG00000156885,1.0919975602447582
ENSG00000126267,1.392063630808148
ENSG00000160471,0.6079363691918521
ENSG00000164919,2.0
ENSG00000161281,1.5996136600819886
ENSG00000112695,0.4003863399180114
ENSG00000131174,2.0
ENSG00000170516,2.0
ENSG00000127184,2.0
ENSG00000176340,2.0
ENSG00000047457,2.092879124401281
ENSG00000091704,0.5432826763368452
ENSG00000158516,1.343104953413369
ENSG00000163751,0.47113012964651857
ENSG00000158525,0.6016338206231915
ENSG00000165078,1.0408484199800756
ENSG00000178773,0.6043522904564391
ENSG00000080819,1.0
ENSG00000021826,2.0
ENSG00000110090,29.41981273252382
ENSG00000205560,47.074616033269514
ENSG00000169169,27.505571234206727
ENSG00000157184,41.54861605964641
ENSG00000095321,90.89966001569557
ENSG00000005339,0.022324908260110177
ENSG00000096006,0.34240756884711143
ENSG00000088766,2.0
ENSG00000005469,9.551723924658017
ENSG00000165475,1.0
ENSG00000116791,5.0
ENSG00000062485,1.0
ENSG00000139631,0.8138683694872936
ENSG00000147408,1.47093945873136
ENSG00000169826,2.2571152508617676
ENSG00000133275,0.4117126020932988
ENSG00000159692,0.11501955508433165
ENSG00000137770,0.10149615753493219
ENSG00000116761,5.0
ENSG00000171793,0.8223660307258597
ENSG00000047230,1.1776339692741404
ENSG00000064601,31.82317775990898
ENSG00000164733,0.7252284308452489
ENSG00000109861,0.469370094542523
ENSG00000117984,0.8467080093462322
ENSG00000196188,1.1701039654209255
ENSG00000174080,1.126636949480861
ENSG00000100448,1.7442008187957267
ENSG00000103811,0.4556806886758255
ENSG00000143387,0.5039608942445514
ENSG00000135047,0.6069226449940014
ENSG00000256043,0.5497429190012952
ENSG00000163131,0.9580929615311693
ENSG00000136943,0.5841702376784416
ENSG00000172543,2.1388181579684575
ENSG00000101160,0.27411396416640915
ENSG00000107611,4.0
ENSG00000153015,0.0063408933969661616
ENSG00000182224,0.5885486238585403
ENSG00000159348,0.4591488902264369
ENSG00000166394,0.12189260340787532
ENSG00000100243,0.13279853187241877
ENSG00000065615,0.0870956983539335
ENSG00000215883,0.19906427613933542
ENSG00000071967,1.0
ENSG00000179091,1.0
ENSG00000083799,0.006775615809864747
ENSG00000140459,6.0
ENSG00000160882,3.958069408272424
ENSG00000179142,6.382124548138141
ENSG00000148795,15.796838766476025
ENSG00000137869,1.1735980277625722
ENSG00000140465,8.215108774049071
ENSG00000140505,10.539179062065086
ENSG00000138061,4.704951626812818
ENSG00000231852,10.0
ENSG00000019186,8.0
ENSG00000095596,5.0
ENSG00000003137,11.0
ENSG00000135929,47.613192667857135
ENSG00000111012,3.0
ENSG00000197838,7.916887864430342
ENSG00000255974,4.729957727365668
ENSG00000198077,2.973901918764428
ENSG00000197408,1.813305527220437
ENSG00000108242,7.694444863148394
ENSG00000165841,4.076362868708105
ENSG00000138115,20.374283778844113
ENSG00000138109,20.799872709204717
ENSG00000100197,6.360038187477958
ENSG00000130649,24.19134043961639
ENSG00000197446,4.54641306696922
ENSG00000134716,2.167616516264263
ENSG00000186104,1.0
ENSG00000167600,2.55180248480842
ENSG00000155016,0.7584804460399155
ENSG00000146233,2.0
ENSG00000160868,46.203891585733295
ENSG00000021461,6.3480176419238274
ENSG00000106258,8.795090477723416
ENSG00000160870,3.9963815937140037
ENSG00000036530,2.0
ENSG00000187048,1.5455449892499629
ENSG00000162365,1.5301831253335503
ENSG00000142973,2.283675647150081
ENSG00000171903,13.559811384775076
ENSG00000186204,3.571160460645813
ENSG00000186115,11.324581775142526
ENSG00000171954,11.548546823399922
ENSG00000186529,11.300509108381616
ENSG00000186526,13.165542066686465
ENSG00000145476,2.320316890616757
ENSG00000186377,2.930703793769551
ENSG00000186160,2.961640361070378
ENSG00000001630,7.0
ENSG00000167910,3.6697620200649537
ENSG00000172817,4.0
ENSG00000180432,8.0
ENSG00000129562,0.24999905157728514
ENSG00000134780,0.5815207878898512
ENSG00000164535,1.3334901774724794
ENSG00000110887,6.135588755960616
ENSG00000123454,1.0
ENSG00000155368,20.0
ENSG00000105516,0.3979880834918018
ENSG00000137992,4.0
ENSG00000156136,5.123087305515702
ENSG00000080166,1.0
ENSG00000129187,1.0
ENSG00000179958,1.0
ENSG00000169738,1.0
ENSG00000153904,0.38536180280948823
ENSG00000213722,0.6146381971905118
ENSG00000132437,9.602352977138047
ENSG00000203797,1.0970635114194334
ENSG00000244038,0.24999905157728514
ENSG00000157349,1.0
ENSG00000104325,13.209044902693837
ENSG00000242612,11.069761776680476
ENSG00000143753,3.0580928864811106
ENSG00000168350,1.9419071135188897
ENSG00000023697,1.0
ENSG00000185000,0.5250623555825823
ENSG00000062282,0.3692307513833477
ENSG00000184210,0.04740931080781081
ENSG00000065357,0.12578675900029404
ENSG00000136267,0.11990143236199977
ENSG00000077044,0.11855000708276764
ENSG00000153933,0.04792292818965542
ENSG00000058866,0.08517520771935831
ENSG00000102780,0.034227257989902296
ENSG00000157680,0.3935819485064864
ENSG00000274588,0.10337273137506546
ENSG00000145214,0.20723325259199363
ENSG00000149091,0.7642484751824771
ENSG00000114956,2.0
ENSG00000116133,9.0
ENSG00000172893,5.0
ENSG00000117682,2.2594350782088615
ENSG00000104808,1.3822776365456433
ENSG00000228716,6.0
ENSG00000102967,1.0717103216897557
ENSG00000095059,3.0
ENSG00000100867,0.07327074938613921
ENSG00000162496,0.3328297166361403
ENSG00000157326,13.634021691442399
ENSG00000187630,0.348829994511838
ENSG00000073737,0.2417893547729454
ENSG00000181192,1.2186858483166834
ENSG00000211452,7.663022939987591
ENSG00000211448,2.336977060012411
ENSG00000150768,1.25
ENSG00000091140,6.28836107705302
ENSG00000119689,3.0
ENSG00000132837,2.3271942215687513
ENSG00000106976,0.036830634143690213
ENSG00000087470,0.03399271196103188
ENSG00000079805,0.01910900218930615
ENSG00000197959,0.02060099346799675
ENSG00000130816,0.4529383664672445
ENSG00000119772,0.26155155171468514
ENSG00000088305,0.4529383664672445
ENSG00000142182,2.0542508776216613
ENSG00000175283,1.0
ENSG00000167130,2.0
ENSG00000104885,0.21277357481480813
ENSG00000172269,1.0
ENSG00000015413,1.2785517242435391
ENSG00000167261,0.18313046925976725
ENSG00000141096,0.29818683869369594
ENSG00000117543,1.0
ENSG00000000419,1.5302317964956904
ENSG00000136908,1.5302317964956904
ENSG00000179085,1.5302317964956904
ENSG00000197635,0.21933526633473724
ENSG00000188641,4.0
ENSG00000147647,1.6234589793680656
ENSG00000092964,0.3765410206319345
ENSG00000111817,0.2193470003497458
ENSG00000168393,6.0
ENSG00000137857,0.6294253756109428
ENSG00000140279,0.3705746243890572
ENSG00000144048,0.2515795180200408
ENSG00000128951,2.2401140947027267
ENSG00000198919,0.0048097353937782425
ENSG00000147155,4.0
ENSG00000104823,5.846666675850928
ENSG00000121310,1.0
ENSG00000127884,74.96720749782166
ENSG00000167969,63.685484235834764
ENSG00000198721,54.216284818608436
ENSG00000156508,0.049546497669145956
ENSG00000101210,0.05329327043601886
ENSG00000167658,0.0576653134246163
ENSG00000241404,0.5255385218252063
ENSG00000146648,0.029991164975405934
ENSG00000113790,202.2363028980005
ENSG00000181090,0.4347070227986801
ENSG00000204371,0.3810737171852709
ENSG00000243056,0.7121903303769728
ENSG00000066322,56.2934226504832
ENSG00000197977,5.4816301604845545
ENSG00000119915,7.451450236399414
