,sample_1,sample_2,sample_3
"('MAR03905', 'ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144')","{'ENSG00000147576': ('ENSG00000147576', 0.13924891990694582, 41.9), 'ENSG00000180011': ('ENSG00000180011', 0.20671319375207717, 62.2), 'ENSG00000196616': ('ENSG00000196616', 0.034562977733466275, 10.4), 'ENSG00000197894': ('ENSG00000197894', 0.6178132269857096, 185.9), 'ENSG00000248144': ('ENSG00000248144', 0.001661681621801263, 0.5)}","{'ENSG00000147576': ('ENSG00000147576', 0.005239838960933866, 25.9), 'ENSG00000180011': ('ENSG00000180011', 0.004875680268668191, 24.1), 'ENSG00000196616': ('ENSG00000196616', 0.8456978696716503, 4180.2), 'ENSG00000197894': ('ENSG00000197894', 0.04011814926460176, 198.3), 'ENSG00000248144': ('ENSG00000248144', 0.10406846183414595, 514.4)}","{'ENSG00000147576': ('ENSG00000147576', 0.13261648745519714, 18.5), 'ENSG00000180011': ('ENSG00000180011', 0.16774193548387095, 23.4), 'ENSG00000196616': ('ENSG00000196616', 0.3913978494623656, 54.6), 'ENSG00000197894': ('ENSG00000197894', 0.2939068100358423, 41.0), 'ENSG00000248144': ('ENSG00000248144', 0.014336917562724014, 2.0)}"
"('MAR03907', 'ENSG00000117448')","{'ENSG00000117448': ('ENSG00000117448', 1, 51.9)}","{'ENSG00000117448': ('ENSG00000117448', 1, 315.0)}","{'ENSG00000117448': ('ENSG00000117448', 1, 39.0)}"
"('MAR04097', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 19.5)}"
"('MAR04099', 'ENSG00000111058 or ENSG00000154930')","{'ENSG00000111058': ('ENSG00000111058', 0.2972136222910217, 28.8), 'ENSG00000154930': ('ENSG00000154930', 0.7027863777089783, 68.1)}","{'ENSG00000111058': ('ENSG00000111058', 0.9368029739776952, 50.4), 'ENSG00000154930': ('ENSG00000154930', 0.06319702602230483, 3.4)}","{'ENSG00000111058': ('ENSG00000111058', 0.11462450592885376, 2.9), 'ENSG00000154930': ('ENSG00000154930', 0.8853754940711462, 22.4)}"
"('MAR04108', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 19.5)}"
"('MAR04133', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 19.5)}"
"('MAR04281', 'ENSG00000111716 or ENSG00000134333')","{'ENSG00000111716': ('ENSG00000111716', 0.8764089884372045, 2410.3), 'ENSG00000134333': ('ENSG00000134333', 0.12359101156279541, 339.9)}","{'ENSG00000111716': ('ENSG00000111716', 0.020255863539445633, 11.4), 'ENSG00000134333': ('ENSG00000134333', 0.9797441364605544, 551.4)}","{'ENSG00000111716': ('ENSG00000111716', 0.19135308246597277, 95.6), 'ENSG00000134333': ('ENSG00000134333', 0.8086469175340272, 404.0)}"
"('MAR04388', 'ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989')","{'ENSG00000111716': ('ENSG00000111716', 0.8764089884372045, 2410.3), 'ENSG00000134333': ('ENSG00000134333', 0.12359101156279541, 339.9)}","{'ENSG00000111716': ('ENSG00000111716', 0.020255863539445633, 11.4), 'ENSG00000134333': ('ENSG00000134333', 0.9797441364605544, 551.4)}","{'ENSG00000111716': ('ENSG00000111716', 0.19135308246597277, 95.6), 'ENSG00000134333': ('ENSG00000134333', 0.8086469175340272, 404.0)}"
"('MAR04283', 'ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254')","{'ENSG00000006534': ('ENSG00000006534', 0.625, 1.5), 'ENSG00000184254': ('ENSG00000184254', 0.375, 0.9)}","{'ENSG00000006534': ('ENSG00000006534', 0.9523809523809523, 2.0), 'ENSG00000184254': ('ENSG00000184254', 0.047619047619047616, 0.1)}","{'ENSG00000006534': ('ENSG00000006534', 0.2898550724637681, 2.0), 'ENSG00000184254': ('ENSG00000184254', 0.7101449275362319, 4.9)}"
"('MAR08357', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.12385919165580185, 76.0), 'ENSG00000111275': ('ENSG00000111275', 0.6831812255541069, 419.2), 'ENSG00000137124': ('ENSG00000137124', 0.013526727509778357, 8.3), 'ENSG00000143149': ('ENSG00000143149', 0.10202086049543677, 62.6), 'ENSG00000164904': ('ENSG00000164904', 0.07741199478487613, 47.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.09120433017591342, 134.8), 'ENSG00000111275': ('ENSG00000111275', 0.6648849797023005, 982.7), 'ENSG00000137124': ('ENSG00000137124', 0.07760487144790258, 114.7), 'ENSG00000143149': ('ENSG00000143149', 0.10764546684709066, 159.1), 'ENSG00000164904': ('ENSG00000164904', 0.05866035182679297, 86.7)}","{'ENSG00000072210': ('ENSG00000072210', 0.3559401309635173, 76.1), 'ENSG00000111275': ('ENSG00000111275', 0.3652946679139382, 78.1), 'ENSG00000137124': ('ENSG00000137124', 0.027595884003741817, 5.9), 'ENSG00000143149': ('ENSG00000143149', 0.1870907390084191, 40.0), 'ENSG00000164904': ('ENSG00000164904', 0.06407857811038353, 13.7)}"
