,reaction_expression
MAR03905,139.5
MAR03907,39.0
MAR04097,19.5
MAR04099,25.299999999999997
MAR04108,19.5
MAR04133,19.5
MAR04281,499.6
MAR04388,499.6
MAR04283,6.9
MAR08357,213.79999999999998
MAR04379,278.2
MAR04301,278.2
MAR04355,1.0
MAR04358,485.0
MAR04360,23.4
MAR04363,2811.2000000000003
MAR04365,843.1
MAR04368,148.3
MAR04370,152.3
MAR04371,843.1
MAR04372,152.3
MAR04373,5935.8
MAR04375,81.0
MAR04377,-1.0
MAR04381,70.3
MAR04391,471.3
MAR04394,43.9
MAR04396,388.29999999999995
MAR04521,5.9
MAR06412,17.6
MAR07745,16.6
MAR07747,6.8
MAR08360,43.9
MAR08652,5.9
MAR08757,-1.0
MAR03989,146.4
MAR04122,11.7
MAR04837,3.0
MAR05395,146.4
MAR05396,171.8
MAR09727,148.3
MAR05397,94.7
MAR05398,19.6
MAR05399,274.2
MAR05400,274.2
MAR05401,19.6
MAR08568,4.9
MAR08569,4.9
MAR08570,4.9
MAR08571,4.9
MAR08572,4.9
MAR08573,4.9
MAR08574,4.9
MAR08575,4.9
MAR08576,4.9
MAR08577,4.9
MAR08578,4.9
MAR08579,4.9
MAR08581,4.9
MAR08591,33.2
MAR08592,8.8
MAR08580,4.9
MAR08582,4.9
MAR08587,33.2
MAR08589,8.8
MAR08583,-1.0
MAR08584,-1.0
MAR08585,29.3
MAR03944,180.5
MAR04128,3.9
MAR04130,35.1
MAR04131,15.6
MAR04132,15.6
MAR04303,42.0
MAR04414,46.8
MAR04415,1.0
MAR04416,53.7
MAR04774,278.2
MAR04775,278.2
MAR04831,-1.0
MAR04832,1.0
MAR07674,22.5
MAR08761,2.9
MAR08762,81.0
MAR08764,-1.0
MAR08766,103.39999999999999
MAR08767,15.6
MAR00454,-1.0
MAR04297,124.9
MAR04310,2.9
MAR04315,-1.0
MAR04316,103.39999999999999
MAR04317,251.8
MAR04318,251.8
MAR04319,43.9
MAR04320,251.8
MAR04356,81.0
MAR04383,12.7
MAR04385,24.4
MAR04386,30.3
MAR04387,8.8
MAR04399,3.9
MAR04400,4.9
MAR04401,4.9
MAR04402,1.0
MAR04403,-1.0
MAR04490,43.9
MAR04706,125.9
MAR08768,4.9
MAR04590,108.3
MAR04591,17.6
MAR04592,103.39999999999999
MAR04593,-1.0
MAR04594,-1.0
MAR04595,2.0
MAR08341,173.6
MAR08342,-1.0
MAR08344,39.0
MAR08352,16.6
MAR08353,-1.0
MAR08726,6.8
MAR08727,12.7
MAR08728,-1.0
MAR08729,24.4
MAR06537,39.0
MAR01568,6.9
MAR03853,93.7
MAR03854,103.39999999999999
MAR03855,103.39999999999999
MAR03857,71.3
MAR03859,23.4
MAR04087,39.0
MAR04089,7.800000000000001
MAR04091,39.0
MAR04093,-1.0
MAR04095,-1.0
MAR04101,-1.0
MAR04103,1.0
MAR04143,4.9
MAR04193,485.0
MAR08497,173.6
MAR08498,-1.0
MAR08499,-1.0
MAR08500,173.6
MAR08501,66.4
MAR08502,116.1
MAR08503,136.7
MAR08504,213.79999999999998
MAR08506,213.79999999999998
MAR08507,139.5
MAR08508,139.5
MAR08509,173.6
MAR08511,71.3
MAR08512,22.4
MAR08514,23.4
MAR08516,12.7
MAR08517,-1.0
MAR04280,95.6
MAR00153,44.8
MAR03212,192.2
MAR03797,44.8
MAR03800,5.9
MAR04105,47.8
MAR04106,47.8
MAR04107,47.8
MAR04282,37.1
MAR04331,44.8
MAR04459,44.8
MAR04460,44.8
MAR04464,-1.0
MAR04497,2.0
MAR04741,48.8
MAR08078,-1.0
MAR09803,-1.0
MAR09804,191.40000000000006
MAR00718,12.7
MAR00719,3.9
MAR01434,9.8
MAR01436,2.0
MAR03163,192.2
MAR04461,19.5
MAR04604,11.7
MAR05351,95.6
MAR07709,82.9
MAR04052,20.5
MAR04304,3.9
MAR04350,6.8
MAR04351,21.5
MAR04352,21.5
MAR04354,2.9
MAR04398,18.5
MAR04404,7.8
MAR04473,20.5
MAR04474,20.5
MAR04476,3.9
MAR04477,13.7
MAR04501,7.8
MAR04565,89.8
MAR04567,278.2
MAR09799,2.0
MAR09800,2.9
MAR04623,70.3
MAR04625,28.3
MAR04710,2.9
MAR04841,6.9
MAR08074,6.8
MAR08653,98.6
MAR03998,40.0
MAR04000,181.60000000000002
MAR04002,298.6
MAR04004,298.6
MAR04010,144.50000000000003
MAR04081,144.50000000000003
MAR04082,144.50000000000003
MAR04012,33.2
MAR04014,507.5
MAR04020,97.6
MAR04022,181.60000000000002
MAR04038,7.8
MAR04040,99.5
MAR04042,227.4
MAR04046,22.4
MAR04048,507.5
MAR04080,14.7
MAR04085,55.6
MAR04086,55.6
MAR04134,40.0
MAR04135,97.6
MAR04168,17.6
MAR04171,485.0
MAR04290,2.0
MAR04406,3.9
MAR04412,238.1
MAR04417,144.50000000000003
MAR04418,17.6
MAR04419,126.8
MAR04421,485.0
MAR04449,144.50000000000003
MAR04450,144.50000000000003
MAR04451,-1.0
MAR04452,17.6
MAR04453,22.4
MAR04480,590.4000000000001
MAR04481,7.8
MAR04482,7.8
MAR04486,43.9
MAR04487,43.9
MAR04488,43.9
MAR04489,43.9
MAR04492,43.9
MAR04493,43.9
MAR04495,43.9
MAR04496,43.9
MAR04518,1.0
MAR04519,-1.0
MAR04520,-1.0
MAR04573,485.0
MAR04574,15.6
MAR04600,20.5
MAR04602,144.50000000000003
MAR04603,15.6
MAR04611,48.8
MAR04612,48.8
