,sample_1,sample_2,sample_3,sample_4
ENSG00000000003,0.0,0.0,0.0,0.0
ENSG00000000419,1.7266355140186915,1.8558139534883722,1.69375,1.8834080717488788
ENSG00000002549,1.7170542635658914,2.333333333333334,1.728495575221239,1.7639049826187718
ENSG00000004455,0.9634111902304482,0.706700431264271,0.4861193798491048,0.808932495588556
ENSG00000004478,0.03263378803777545,0.03391994478951001,0.017449890517096167,0.03068742878845423
ENSG00000004779,1.0,1.0,1.0,1.0
ENSG00000004799,0.9355819740116119,0.29445506692160617,0.6265316995205115,0.14035087719298248
ENSG00000004864,1.2857142857142858,2.0609756097560976,2.990208877284595,2.495798319327731
ENSG00000004961,1.0,1.0,1.0,1.0
ENSG00000005022,0.27365600401942725,0.460678531701891,0.5842008573178199,0.4935364405003145
ENSG00000005075,2.0,2.0,2.0,2.0
ENSG00000005187,4.000000000000001,4.417508417508418,0.22131318033696173,1.0289451374591254
ENSG00000005339,0.03907815631262525,0.0173864273696018,0.050511508951406645,0.027571115973741806
ENSG00000005469,9.928440366972477,9.855813953488372,9.359477124183007,9.299539170506913
ENSG00000005810,0.009487923229146903,0.0014288391267684832,0.009119517050928002,0.0020000344833531612
ENSG00000005882,0.04838263754492674,0.5296367112810708,0.3068726691529036,0.6739261947973383
ENSG00000006007,1.0,1.0,1.0,1.0
ENSG00000006530,6.0,6.0,6.0,6.0
ENSG00000006625,3.761316872427984,3.823923444976076,3.6416666666666666,3.2888888888888888
ENSG00000006695,3.1822429906542054,3.5256849315068495,3.1246246246246248,3.2067567567567568
ENSG00000006756,1.715686274509804,0.5040650406504066,1.1856963613550815,0.3130434782608696
ENSG00000006757,1.9380757923707232,5.432848996600503,4.598321282353886,5.431634322112584
ENSG00000007001,0.10857142857142857,0.17280453257790368,0.5466237942122186,1.5223555070883317
ENSG00000007168,0.5238678090575274,0.3415409054805401,0.6125244618395302,0.5321756894790602
ENSG00000007216,4.0,4.0,4.0,4.0
ENSG00000007541,0.20051413881748073,0.06950672645739911,0.1422680412371134,0.13958810068649885
ENSG00000007944,0.005801187345821251,0.002154970486273777,0.0002140731702095776,0.003310401903481094
ENSG00000008130,1.0,1.0,1.0,1.0
ENSG00000008394,3.8462908071341704,4.316963701708807,42.800324147929715,12.548108055489948
ENSG00000008513,1.6956521739130437,3.12093023255814,10.059642147117295,10.047835990888384
ENSG00000009335,0.004743961614573452,0.002154970486273777,0.008455890223278304,0.0030517767547716327
ENSG00000009413,0.1529664045746962,0.022928994082840246,0.0892193308550186,0.10487353485502773
ENSG00000010256,1.0,1.0,1.0,1.0
ENSG00000010379,2.0,2.0,2.0,2.0
ENSG00000010404,3.0,3.0,3.0,3.0
ENSG00000010932,1.502145922746781,3.0775,1.0022388059701492,2.7797340998922024
ENSG00000011009,0.5600549073438573,0.27180421765165325,0.28101644245142,0.5249537892791128
ENSG00000011198,1.017864923747277,1.7777777777777781,0.5369127516778525,1.8610129564193172
ENSG00000011275,0.00368673588332565,0.0014288391267684832,0.0026973219446406733,0.0016207175985792847
ENSG00000011405,2.639087018544936,4.369918699186991,2.5,4.806034482758621
ENSG00000012232,4.122580645161291,4.5,4.373493975903615,4.217054263565892
ENSG00000012660,12.074072588660151,24.27619509284807,23.93245639012819,34.77855785403062
ENSG00000012963,0.002629510152077858,0.0014288391267684832,0.0019908804829490727,0.0013793341264504552
ENSG00000013375,1.0,1.0,1.0,1.0
ENSG00000013392,1.0,1.0,1.0,1.0
ENSG00000013503,2.0,2.0,2.0,2.0
ENSG00000013561,0.005259020304155716,0.011524407383116289,0.006293751204161578,0.008551871583992829
ENSG00000014641,2.0,2.0,2.0,2.0
ENSG00000016391,2.0530634573304156,2.0046919933403964,2.0208531755977743,2.0416451557391153
ENSG00000016864,0.19566313666162385,0.2204155374887083,0.42173913043478256,0.275092936802974
ENSG00000017260,0.4891428571428571,0.5,0.18906605922551253,0.4579710144927536
ENSG00000017797,2.0,2.0,2.0,2.0
ENSG00000018280,0.09786700125470515,0.26025459688826025,0.023420865862313695,0.06253722453841572
ENSG00000018510,1.0,1.0,1.0,1.0
ENSG00000023041,0.0905820105820106,0.06177520071364848,0.05599389157546448,0.02407413740040352
ENSG00000023228,1.0,1.0,1.0,1.0
ENSG00000023330,3.0,3.0,3.0,3.0
ENSG00000023572,0.2,0.0194282103933028,0.14388243335611756,0.06548757170172084
ENSG00000023697,1.0,1.0,1.0,1.0
ENSG00000023909,1.0,1.0,1.0,1.0
ENSG00000024048,0.004743961614573452,0.003607233205284369,0.006422195106287326,0.0018276177175468532
ENSG00000025708,1.0,1.0,1.0,1.0
