,reaction_expression
MAR03905,153.6
MAR03907,119.9
MAR04097,18.4
MAR04099,55.300000000000004
MAR04108,18.4
MAR04133,18.4
MAR04281_f,2781.5
MAR04388_f,2781.5
MAR04283,6.1
MAR08357,362.70000000000005
MAR04379,141.4
MAR04301,141.4
MAR04355,239.79999999999998
MAR04358,528.6
MAR04360,21.5
MAR04363_f,670.0
MAR04365_f,331.9
MAR04368_f,344.2
MAR04370,98.30000000000001
MAR04371,331.9
MAR04372,98.30000000000001
MAR04373_f,2695.4
MAR04375_f,335.09999999999997
MAR04377,58.4
MAR04381_f,83.0
MAR04391_f,1189.4
MAR04394,21.5
MAR04396_f,58.300000000000004
MAR04521,9.2
MAR06412,46.1
MAR07745_f,15.4
MAR07747,-1.0
MAR08360,166.0
MAR08652,9.2
MAR08757,-1.0
MAR03989,15.399999999999999
MAR04122,46.1
MAR04837,-1.0
MAR05395,30.7
MAR05396,30.7
MAR09727,9.2
MAR05397,21.5
MAR05398,15.299999999999999
MAR05399,18.4
MAR05400,18.4
MAR05401,15.299999999999999
MAR08568,-1.0
MAR08569,-1.0
MAR08570,-1.0
MAR08571,-1.0
MAR08572,-1.0
MAR08573,-1.0
MAR08574,-1.0
MAR08575,-1.0
MAR08576,-1.0
MAR08577,-1.0
MAR08578,-1.0
MAR08579,-1.0
MAR08581,-1.0
MAR08591,9.2
MAR08592,3.1
MAR08580,-1.0
MAR08582,-1.0
MAR08587,9.2
MAR08589,3.1
MAR08583,-1.0
MAR08584,-1.0
MAR08585,9.2
MAR03944,196.7
MAR04128_f,27.7
MAR04130,46.1
MAR04131_f,18.4
MAR04132,18.4
MAR04303,12.299999999999999
MAR04414,67.6
MAR04415,3.1
MAR04416,494.79999999999995
MAR04774_f,141.4
MAR04775_f,141.4
MAR04831_f,-1.0
MAR04832_f,3.1
MAR07674,9.2
MAR08761,67.6
MAR08762_f,335.09999999999997
MAR08764,-1.0
MAR08766_f,92.2
MAR08767,18.4
MAR00454,-1.0
MAR04297,30.7
MAR04310,67.6
MAR04315_f,12.3
MAR04316_f,92.2
MAR04317,42.9
MAR04318,42.9
MAR04319,21.5
MAR04320,42.9
MAR04356,335.09999999999997
MAR04383_f,12.3
MAR04385,101.4
MAR04386,30.8
MAR04387,27.7
MAR04399,86.1
MAR04400,43.0
MAR04401,18.4
MAR04402_f,-1.0
MAR04403,-1.0
MAR04490,21.5
MAR04706,30.7
MAR08768,43.0
MAR04590,651.6
MAR04591,61.4
MAR04592_f,92.2
MAR04593,12.3
MAR04594,-1.0
MAR04595_f,-1.0
MAR08341,405.70000000000005
MAR08342_f,-1.0
MAR08344_f,119.9
MAR08352_f,316.6
MAR08353_f,-1.0
MAR08726,33.8
MAR08727,18.4
MAR08728,-1.0
MAR08729,33.8
MAR06537_f,119.9
MAR01568,6.1
MAR03853,371.9
MAR03854,92.2
MAR03855,92.2
MAR03857,122.9
MAR03859,24.6
MAR04087,61.5
MAR04089,3.1
MAR04091,61.5
MAR04093,-1.0
MAR04095,-1.0
MAR04101,387.3
MAR04103,15.4
MAR04143,-1.0
MAR04193,528.6
MAR08497,405.70000000000005
MAR08498,-1.0
MAR08499,-1.0
MAR08500,405.70000000000005
MAR08501,166.0
MAR08502_f,132.1
MAR08503,184.4
MAR08504,362.70000000000005
MAR08506,362.70000000000005
MAR08507,153.6
MAR08508,153.6
MAR08509,405.70000000000005
MAR08511,122.9
MAR08512_f,24.6
MAR08514,24.6
MAR08516,95.3
MAR08517,-1.0
MAR04280_f,2511.0
MAR00153,73.7
MAR03212,353.5
MAR03797,73.7
MAR03800,3.1
MAR04105,33.8
MAR04106,33.8
MAR04107,33.8
MAR04282,122.9
MAR04331_f,73.7
MAR04459,73.7
MAR04460,73.7
MAR04464,-1.0
MAR04497,-1.0
MAR04741,92.2
MAR08078,-1.0
MAR09803_f,-1.0
MAR09804_f,746.8999999999999
MAR00718,-1.0
MAR00719,64.5
MAR01434_f,27.7
MAR01436,12.3
MAR03163,353.5
MAR04461_f,261.3
MAR04604,15.4
MAR05351_f,2511.0
MAR07709_f,150.6
MAR04052,86.0
MAR04304,30.7
MAR04350_f,33.8
MAR04351_f,6.1
MAR04352_f,6.1
MAR04354_f,6.1
MAR04398_f,61.5
MAR04404_f,67.6
MAR04473,61.5
MAR04474,61.5
MAR04476_f,52.2
MAR04477_f,36.9
MAR04501_f,67.6
MAR04565_f,221.3
MAR04567,141.4
MAR09799_f,-1.0
MAR09800_f,67.6
MAR04623,-1.0
MAR04625,98.3
MAR04710_f,6.1
MAR04841_f,6.1
MAR08074,33.8
MAR08653_f,98.3
MAR03998,15.399999999999999
MAR04000,9.2
MAR04002_f,627.0000000000001
MAR04004_f,627.0000000000001
MAR04010,218.2
MAR04081,218.2
MAR04082,218.2
MAR04012,86.10000000000001
MAR04014,30.800000000000004
MAR04020_f,531.7
MAR04022,9.2
MAR04038_f,24.6
MAR04040,73.69999999999999
MAR04042,89.1
MAR04046,15.4
MAR04048,30.800000000000004
MAR04080,33.8
MAR04085,375.0
MAR04086,375.0
MAR04134,15.399999999999999
MAR04135_f,531.7
MAR04168,49.2
MAR04171,528.6
MAR04290,3.1
MAR04406,-1.0
MAR04412_f,95.3
MAR04417,218.2
MAR04418,181.3
MAR04419,135.3
MAR04421,528.6
MAR04449,218.2
MAR04450,218.2
MAR04451,-1.0
MAR04452,181.3
MAR04453,15.4
MAR04480_f,1008.2
MAR04481,9.2
MAR04482,9.2
MAR04486,21.5
MAR04487,21.5
MAR04488,21.5
MAR04489,21.5
MAR04492,21.5
MAR04493,21.5
MAR04495,21.5
MAR04496,21.5
MAR04518,-1.0
MAR04519,-1.0
MAR04520,-1.0
MAR04573,528.6
MAR04574_f,33.8
MAR04600,79.9
MAR04602,218.2
MAR04603_f,33.8
MAR04611,6.2
MAR04612,6.2
MAR04614,6.2
MAR04615,6.2
MAR04617,6.2
MAR04618,6.2
MAR04619,6.2
MAR04621,6.2
MAR04632,218.2
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651_f,33.8
MAR04663_f,33.8
MAR04664,181.3
MAR04694,9.2
MAR04695_f,33.8
MAR04705,218.2
MAR04709_f,33.8
MAR04799,15.4
MAR04802,15.4
MAR04804_f,24.6
MAR04808,-1.0
MAR04810,24.6
MAR04812_f,95.3
MAR04814_f,24.6
MAR05301,42.9
MAR05353_f,531.7
MAR06601,-1.0
MAR06602_f,713.0
MAR06603_f,713.0
MAR06605_f,-1.0
MAR06606_f,-1.0
MAR06607_f,-1.0
MAR06609_f,-1.0
MAR06610,-1.0
MAR06611_f,-1.0
MAR07144,116.8
MAR08755,-1.0
MAR09797,-1.0
MAR04016_f,436.40000000000003
MAR04018_f,436.40000000000003
MAR04044_f,436.40000000000003
MAR04291_f,436.40000000000003
MAR04420,436.40000000000003
MAR04570_f,436.40000000000003
MAR04572,436.40000000000003
