,sample_1,sample_2
ENSG00000000003,0.0,0.0
ENSG00000000419,0.3278688524590164,1.126232741617357
ENSG00000001036,2.7401574803149606,4.0
ENSG00000001084,1.0,1.0
ENSG00000001630,7.0,7.0
ENSG00000002549,1.2712765957446808,1.22
ENSG00000002746,0.001087259957978871,0.00028269439165737434
ENSG00000003137,11.0,11.0
ENSG00000003987,0.030118484111958683,0.11712832108535896
ENSG00000003989,14.089957358866187,3.618763177257793
ENSG00000004455,0.21381888532930368,1.9665625477296391
ENSG00000004468,4.942376950780313,4.7984496124031
ENSG00000004478,0.01581027667984191,5.156803665750718e-05
ENSG00000004779,1.0,1.0
ENSG00000004799,0.7555440948942753,0.4606525911708253
ENSG00000004864,1.381294964028777,2.67258883248731
ENSG00000004939,1.001598295151838,1.303202846975089
ENSG00000004961,1.0,1.0
ENSG00000005022,0.43941841680129246,0.46464646464646464
ENSG00000005075,2.0,2.0
ENSG00000005187,2.181818181818182,8.0
ENSG00000005339,0.022629495783858204,0.0008225939128050454
ENSG00000005381,5.083728090312475,11.408997799863442
ENSG00000005421,0.01921446736366205,0.08987885892926924
ENSG00000005469,9.772532188841202,9.34226729445853
ENSG00000005471,1.0960201382096852,5.12175010566396
ENSG00000005810,0.022112516712948664,3.1410487961930505e-05
ENSG00000005882,0.0892212480660134,0.09404990403071017
ENSG00000006007,1.0,1.0
ENSG00000006071,0.0845509448665498,2.094679514034353e-05
ENSG00000006530,6.0,6.0
ENSG00000006534,26.646159139033564,33.73670162381812
ENSG00000006625,3.1497005988023954,3.678260869565217
ENSG00000006695,3.175,3.1799410029498523
ENSG00000006756,0.6782763138005743,0.24049920982680345
ENSG00000006757,0.6445210449927432,0.010413291681456554
ENSG00000007001,1.6415770609318996,2.0
ENSG00000007168,1.483204134366925,0.16671593260419743
ENSG00000007171,1.350451735615787,1.8169440242057489
ENSG00000007350,0.026726057906458798,2.0
ENSG00000007541,0.7260273972602739,2.0
ENSG00000007944,0.0007787132131470288,6.282097592386101e-05
ENSG00000008130,1.0,1.0
ENSG00000008311,2.8496009821976673,2.434840425531915
ENSG00000008394,31.79678502401077,7.403554263743216
ENSG00000008438,1.0,1.0
ENSG00000008513,6.126153846153847,2.838989739542226
ENSG00000009335,0.007272887556750557,0.006093634664614513
ENSG00000009413,0.5710733526730211,0.0376360338573156
ENSG00000009830,0.5935334872979215,0.5294117647058824
ENSG00000010256,1.0,1.0
ENSG00000010379,0.00817476625625776,0.017164144344115007
ENSG00000010404,3.0,3.0
ENSG00000010932,1.044776119402985,1.2842722240312603
ENSG00000011009,0.07257072570725712,0.052295530556400134
ENSG00000011083,2.025339366515837,2.10727969348659
ENSG00000011198,0.31685761047463173,0.30476190476190473
ENSG00000011275,0.004863284406635221,0.0034394484318313887
ENSG00000011405,4.601434720229555,3.280781688482759
ENSG00000012232,0.9779751853755231,1.1073825503355703
ENSG00000012660,16.379020531302217,48.81414598556045
ENSG00000012779,25.774193548387096,25.27358490566038
ENSG00000012963,0.0013223431921364653,0.02357357121542882
ENSG00000013288,0.1716937354988399,0.2926208651399491
ENSG00000013375,1.0,1.0
ENSG00000013392,0.12015503875968994,0.9601769911504425
ENSG00000013503,2.0,2.0
ENSG00000013561,0.0017778169583168033,0.004397468314670269
ENSG00000014138,0.00027973476999585583,0.0016037469181362767
ENSG00000014257,0.16780299404253252,5.701151756972236
ENSG00000014641,1.7777777777777777,0.7543859649122807
ENSG00000015520,2.0120967741935485,2.0462351387054163
ENSG00000015532,0.22382671480144406,0.6111111111111112
ENSG00000016391,2.0416293643688452,3.0
ENSG00000016864,0.024869109947643967,1.0691405566252405
ENSG00000017260,0.27423083763115774,0.05379365716579689
ENSG00000017483,4.068710407239819,7.489855773667159
ENSG00000017797,1.1774193548387097,1.2089552238805972
ENSG00000018280,0.04178272980501393,0.4169741697416973
ENSG00000018510,1.0,1.0
ENSG00000018625,0.0013242827111990653,1.0
ENSG00000021461,17.97821150908421,4.778304223867742
ENSG00000021488,93.74570390849462,108.69281045751634
ENSG00000021826,2.0,2.0
ENSG00000023041,0.022356495468277934,0.0023537187016284713
ENSG00000023228,1.0,1.0
ENSG00000023330,2.419354838709677,3.0
ENSG00000023572,0.6091954022988506,1.0
ENSG00000023697,1.0,1.0
ENSG00000023839,15.265448027974882,19.74068009220922
ENSG00000023909,1.0,1.0
ENSG00000024048,0.011504385771587248,0.07331207890314574
ENSG00000025423,2.8922276451564626,3.480946096770023
ENSG00000025708,1.0,1.0
ENSG00000025800,0.3369214208826695,0.8181818181818181
ENSG00000026652,0.1960937195997564,2.5323584383160918
ENSG00000027847,1.0081806282722514,1.130579380360581
ENSG00000030066,1.019573978123201,1.0006115692022186
ENSG00000031698,1.0,1.0
ENSG00000032444,0.19434194341943425,0.39282456673761024
ENSG00000033011,1.0,1.0
ENSG00000033100,0.13990461049284578,0.8910411622276029
ENSG00000033170,1.0,1.0
ENSG00000033178,0.007596127003717254,0.00557536161324266
ENSG00000033627,0.3582618513034973,0.008935732915596616
ENSG00000033867,1.0254268976692011,1.372266170311773
ENSG00000034677,0.01488370726260265,0.013412278359744317
ENSG00000035687,0.8,1.0
ENSG00000036473,1.0,1.0
ENSG00000036530,2.0,2.0
ENSG00000036672,0.007082349673656432,0.018726738491674822
ENSG00000037757,1.0,1.0
ENSG00000037897,1.0,1.0
ENSG00000038002,4.0,4.0
ENSG00000038210,0.37023593466424676,0.29252437703141926
ENSG00000038274,0.13493975903614458,2.0
ENSG00000039123,0.07608695652173911,0.06979695431472081
ENSG00000039650,1.0,1.0
ENSG00000040933,0.7288732394366196,2.5697738554881413
ENSG00000041880,0.02062216008388676,0.05180722891566265
ENSG00000043514,1.0,1.0
ENSG00000044446,0.06996541633413142,0.10370717972782731
ENSG00000047230,1.4682080924855494,2.0
ENSG00000047249,0.36871250576834325,0.0031570639305445935
ENSG00000047315,2.0,2.0
ENSG00000047410,1.0,1.0
ENSG00000047457,2.009253731343284,3.0
ENSG00000048028,0.012012220524927102,0.006542605288932419
ENSG00000048392,3.5,3.5
ENSG00000049239,1.7142857142857144,1.33587786259542
ENSG00000049759,0.015383259135187543,0.006580497228024438
ENSG00000049860,12.42588516746412,58.54317269076306
ENSG00000050438,1.1263232747959435,1.92896174863388
ENSG00000051341,0.0031081641110650643,0.013905683192261185
ENSG00000051382,0.7061443389379974,0.12248909567142137
ENSG00000052802,8.4708826011138,13.698162729658792
ENSG00000053371,4.631443575179509,5.186311787072244
ENSG00000054148,0.2413452238704541,0.21502354423187847
ENSG00000054179,0.882130745650426,4.002029469950201
ENSG00000054267,0.7300000000000001,0.26253687315634217
ENSG00000054392,0.049345417925478335,0.004243650466975471
