,sample_1,sample_2
"('MAR03905', 'ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144')","{'ENSG00000147576': ('ENSG00000147576', 0.6801125703564729, 72.5), 'ENSG00000180011': ('ENSG00000180011', 0.1106941838649156, 11.8), 'ENSG00000197894': ('ENSG00000197894', 0.20356472795497185, 21.7), 'ENSG00000248144': ('ENSG00000248144', 0.005628517823639775, 0.6)}","{'ENSG00000147576': ('ENSG00000147576', 1, 54.5), 'ENSG00000180011': ('ENSG00000180011', 1, nan), 'ENSG00000197894': ('ENSG00000197894', 1, nan), 'ENSG00000248144': ('ENSG00000248144', 1, nan)}"
"('MAR03907', 'ENSG00000117448')","{'ENSG00000117448': ('ENSG00000117448', 1, 6.8)}","{'ENSG00000117448': ('ENSG00000117448', 1, 13.2)}"
"('MAR04097', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 16.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 11.5)}"
"('MAR04099', 'ENSG00000111058 or ENSG00000154930')","{'ENSG00000111058': ('ENSG00000111058', 0.3584778203107408, 159.2), 'ENSG00000154930': ('ENSG00000154930', 0.6415221796892592, 284.9)}","{'ENSG00000111058': ('ENSG00000111058', 0.000516173434273916, 1.8), 'ENSG00000154930': ('ENSG00000154930', 0.999483826565726, 3485.4)}"
"('MAR04108', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 16.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 11.5)}"
"('MAR04133', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 16.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 11.5)}"
"('MAR04281', 'ENSG00000111716 or ENSG00000134333')","{'ENSG00000111716': ('ENSG00000111716', 0.7602820211515865, 64.7), 'ENSG00000134333': ('ENSG00000134333', 0.23971797884841364, 20.4)}","{'ENSG00000111716': ('ENSG00000111716', 0.9436008676789588, 87.0), 'ENSG00000134333': ('ENSG00000134333', 0.05639913232104121, 5.2)}"
"('MAR04388', 'ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989')","{'ENSG00000111716': ('ENSG00000111716', 0.7497103128621091, 64.7), 'ENSG00000134333': ('ENSG00000134333', 0.23638470451911936, 20.4), 'ENSG00000166796': ('ENSG00000166796', 0.013904982618771726, 1.2)}","{'ENSG00000111716': ('ENSG00000111716', 0.9436008676789588, 87.0), 'ENSG00000134333': ('ENSG00000134333', 0.05639913232104121, 5.2), 'ENSG00000166796': ('ENSG00000166796', 1, nan)}"
"('MAR04283', 'ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254')","{'ENSG00000006534': ('ENSG00000006534', 0.75, 0.9), 'ENSG00000184254': ('ENSG00000184254', 0.25, 0.3)}","{'ENSG00000006534': ('ENSG00000006534', 1, 12.0), 'ENSG00000184254': ('ENSG00000184254', 1, nan)}"
"('MAR08357', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.08239478363959693, 13.9), 'ENSG00000111275': ('ENSG00000111275', 0.28808535862477774, 48.6), 'ENSG00000143149': ('ENSG00000143149', 0.07172495554238292, 12.1), 'ENSG00000164904': ('ENSG00000164904', 0.5577949021932425, 94.1)}","{'ENSG00000072210': ('ENSG00000072210', 0.42976356050069536, 61.8), 'ENSG00000111275': ('ENSG00000111275', 0.5299026425591099, 76.2), 'ENSG00000143149': ('ENSG00000143149', 0.04033379694019471, 5.8), 'ENSG00000164904': ('ENSG00000164904', 1, nan)}"
"('MAR04379', 'ENSG00000067057 or ENSG00000141959 or ENSG00000152556')","{'ENSG00000067057': ('ENSG00000067057', 0.6060606060606061, 122.0), 'ENSG00000141959': ('ENSG00000141959', 0.250869349230005, 50.5), 'ENSG00000152556': ('ENSG00000152556', 0.14307004470938897, 28.8)}","{'ENSG00000067057': ('ENSG00000067057', 0.5597609561752989, 28.1), 'ENSG00000141959': ('ENSG00000141959', 0.19721115537848607, 9.9), 'ENSG00000152556': ('ENSG00000152556', 0.24302788844621512, 12.2)}"
