,gene_contribution
ENSG00000000003,0.0
ENSG00000000419,1.126232741617357
ENSG00000001036,4.0
ENSG00000001084,1.0
ENSG00000001630,7.0
ENSG00000002549,1.22
ENSG00000002746,0.00028269439165737434
ENSG00000003137,11.0
ENSG00000003987,0.11712832108535896
ENSG00000003989,3.618763177257793
ENSG00000004455,1.9665625477296391
ENSG00000004468,4.7984496124031
ENSG00000004478,5.156803665750718e-05
ENSG00000004779,1.0
ENSG00000004799,0.4606525911708253
ENSG00000004864,2.67258883248731
ENSG00000004939,1.303202846975089
ENSG00000004961,1.0
ENSG00000005022,0.46464646464646464
ENSG00000005075,2.0
ENSG00000005187,8.0
ENSG00000005339,0.0008225939128050454
ENSG00000005381,11.408997799863442
ENSG00000005421,0.08987885892926924
ENSG00000005469,9.34226729445853
ENSG00000005471,5.12175010566396
ENSG00000005810,3.1410487961930505e-05
ENSG00000005882,0.09404990403071017
ENSG00000006007,1.0
ENSG00000006071,2.094679514034353e-05
ENSG00000006530,6.0
ENSG00000006534,33.73670162381812
ENSG00000006625,3.678260869565217
ENSG00000006695,3.1799410029498523
ENSG00000006756,0.24049920982680345
ENSG00000006757,0.010413291681456554
ENSG00000007001,2.0
ENSG00000007168,0.16671593260419743
ENSG00000007171,1.8169440242057489
ENSG00000007350,2.0
ENSG00000007541,2.0
ENSG00000007944,6.282097592386101e-05
ENSG00000008130,1.0
ENSG00000008311,2.434840425531915
ENSG00000008394,7.403554263743216
ENSG00000008438,1.0
ENSG00000008513,2.838989739542226
ENSG00000009335,0.006093634664614513
ENSG00000009413,0.0376360338573156
ENSG00000009830,0.5294117647058824
ENSG00000010256,1.0
ENSG00000010379,0.017164144344115007
ENSG00000010404,3.0
ENSG00000010932,1.2842722240312603
ENSG00000011009,0.052295530556400134
ENSG00000011083,2.10727969348659
ENSG00000011198,0.30476190476190473
ENSG00000011275,0.0034394484318313887
ENSG00000011405,3.280781688482759
ENSG00000012232,1.1073825503355703
ENSG00000012660,48.81414598556045
ENSG00000012779,25.27358490566038
ENSG00000012963,0.02357357121542882
ENSG00000013288,0.2926208651399491
ENSG00000013375,1.0
ENSG00000013392,0.9601769911504425
ENSG00000013503,2.0
ENSG00000013561,0.004397468314670269
ENSG00000014138,0.0016037469181362767
ENSG00000014257,5.701151756972236
ENSG00000014641,0.7543859649122807
ENSG00000015520,2.0462351387054163
ENSG00000015532,0.6111111111111112
ENSG00000016391,3.0
ENSG00000016864,1.0691405566252405
ENSG00000017260,0.05379365716579689
ENSG00000017483,7.489855773667159
ENSG00000017797,1.2089552238805972
ENSG00000018280,0.4169741697416973
ENSG00000018510,1.0
ENSG00000018625,1.0
ENSG00000021461,4.778304223867742
ENSG00000021488,108.69281045751634
ENSG00000021826,2.0
ENSG00000023041,0.0023537187016284713
