,reaction_expression
MAR03905,-1.0
MAR03907,13.2
MAR04097,11.5
MAR04099,3487.2000000000003
MAR04108,11.5
MAR04133,11.5
MAR04281,92.2
MAR04388,-1.0
MAR04283,-1.0
MAR08357,-1.0
MAR04379,50.2
MAR04301,50.2
MAR04355,13.5
MAR04358,92.8
MAR04360,-1.0
MAR04363,1100.5
MAR04365,-1.0
MAR04368,292.1
MAR04370,-1.0
MAR04371,-1.0
MAR04372,-1.0
MAR04373,87.6
MAR04375,285.6
MAR04377,4.4
MAR04381,24.2
MAR04391,1.6
MAR04394,-1.0
MAR04396,-1.0
MAR04521,3.4
MAR06412,5.8
MAR07745,0.1
MAR07747,3.3
MAR08360,14.0
MAR08652,3.4
MAR08757,4.6
MAR03989,-1.0
MAR04122,29.8
MAR04837,76.7
MAR05395,-1.0
MAR05396,-1.0
MAR09727,-1.0
MAR05397,17.6
MAR05398,48.400000000000006
MAR05399,-1.0
MAR05400,-1.0
MAR05401,48.400000000000006
MAR08568,-1.0
MAR08569,-1.0
MAR08570,-1.0
MAR08571,-1.0
MAR08572,-1.0
MAR08573,-1.0
MAR08574,-1.0
MAR08575,-1.0
MAR08576,-1.0
MAR08577,-1.0
MAR08578,-1.0
MAR08579,-1.0
MAR08581,-1.0
MAR08591,-1.0
MAR08592,-1.0
MAR08580,-1.0
MAR08582,-1.0
MAR08587,-1.0
MAR08589,-1.0
MAR08583,-1.0
MAR08584,74.4
MAR08585,-1.0
MAR03944,-1.0
MAR04128,0.6
MAR04130,125.3
MAR04131,-1.0
MAR04132,-1.0
MAR04303,-1.0
MAR04414,-1.0
MAR04415,0.3
MAR04416,-1.0
MAR04774,50.2
MAR04775,50.2
MAR04831,-1.0
MAR04832,0.3
MAR07674,106.1
MAR08761,14.7
MAR08762,285.6
MAR08764,0.3
MAR08766,5.3
MAR08767,-1.0
MAR00454,-1.0
MAR04297,-1.0
MAR04310,14.7
MAR04315,35.2
MAR04316,5.3
MAR04317,-1.0
MAR04318,-1.0
MAR04319,-1.0
MAR04320,-1.0
MAR04356,285.6
MAR04383,-1.0
MAR04385,33.6
MAR04386,-1.0
MAR04387,-1.0
MAR04399,29.0
MAR04400,5.0
MAR04401,-1.0
MAR04402,3.4
MAR04403,-1.0
MAR04490,-1.0
MAR04706,-1.0
MAR08768,5.0
MAR04590,-1.0
MAR04591,756.7
MAR04592,5.3
MAR04593,35.2
MAR04594,205.1
MAR04595,828.9
MAR08341,26.299999999999997
MAR08342,-1.0
MAR08344,13.2
MAR08352,-1.0
MAR08353,-1.0
MAR08726,-1.0
MAR08727,75.5
MAR08728,-1.0
MAR08729,5.0
MAR06537,13.2
MAR01568,-1.0
MAR03853,-1.0
MAR03854,5.3
MAR03855,5.3
MAR03857,52.8
MAR03859,-1.0
MAR04087,41.599999999999994
MAR04089,22.599999999999998
MAR04091,41.599999999999994
MAR04093,-1.0
MAR04095,-1.0
MAR04101,-1.0
MAR04103,16.4
MAR04143,-1.0
MAR04193,92.8
MAR08497,26.299999999999997
MAR08498,4.6
MAR08499,4.6
MAR08500,26.299999999999997
MAR08501,0.2
MAR08502,-1.0
MAR08503,-1.0
MAR08504,-1.0
MAR08506,-1.0
MAR08507,-1.0
MAR08508,-1.0
MAR08509,26.299999999999997
MAR08511,52.8
MAR08512,-1.0
MAR08514,-1.0
MAR08516,30.8
MAR08517,-1.0
MAR04280,87.0
MAR00153,3498.7000000000003
MAR03212,-1.0
MAR03797,3498.7000000000003
MAR03800,4.0
MAR04105,0.2
MAR04106,0.2
MAR04107,0.2
MAR04282,11.7
MAR04331,3498.7000000000003
MAR04459,3498.7000000000003
MAR04460,3498.7000000000003
MAR04464,-1.0
MAR04497,19.4
MAR04741,-1.0
MAR08078,-1.0
MAR09803,-1.0
MAR09804,-1.0
MAR00718,15.8
MAR00719,18.9
MAR01434,25.7
MAR01436,2657.5
MAR03163,-1.0
MAR04461,-1.0
MAR04604,482.5
MAR05351,-1.0
MAR07709,746.4
MAR04052,22.8
MAR04304,-1.0
MAR04350,-1.0
MAR04351,18.8
MAR04352,18.8
MAR04354,-1.0
MAR04398,19.3
MAR04404,-1.0
MAR04473,51.2
MAR04474,51.2
MAR04476,32.6
MAR04477,-1.0
MAR04501,-1.0
MAR04565,-1.0
MAR04567,50.2
MAR09799,-1.0
MAR09800,14.7
MAR04623,8.8
MAR04625,17.4
MAR04710,-1.0
MAR04841,-1.0
MAR08074,-1.0
MAR08653,26.2
MAR03998,-1.0
MAR04000,-1.0
MAR04002,-1.0
MAR04004,-1.0
MAR04010,-1.0
MAR04081,-1.0
MAR04082,-1.0
MAR04012,449.0
MAR04014,-1.0
MAR04020,189.0
MAR04022,-1.0
MAR04038,10.8
MAR04040,-1.0
MAR04042,-1.0
MAR04046,-1.0
MAR04048,-1.0
MAR04080,23.6
MAR04085,-1.0
MAR04086,-1.0
MAR04134,-1.0
MAR04135,189.0
MAR04168,21.7
MAR04171,92.8
MAR04290,-1.0
MAR04406,2.1
MAR04412,-1.0
MAR04417,-1.0
