,sample_1,sample_2
"('MAR03905', 'ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144')","{'ENSG00000187758': ('ENSG00000187758', 0.5018450184501844, 4913.0), 'ENSG00000196616': ('ENSG00000196616', 0.49408189583625933, 4837.0), 'ENSG00000197894': ('ENSG00000197894', 0.00010367854543597337, 1.015), 'ENSG00000248144': ('ENSG00000248144', 0.003969407168120124, 38.86)}","{'ENSG00000187758': ('ENSG00000187758', 0.5180356599129305, 5349.0), 'ENSG00000196616': ('ENSG00000196616', 0.4762945177513166, 4918.0), 'ENSG00000197894': ('ENSG00000197894', 9.917153033292969e-05, 1.024), 'ENSG00000248144': ('ENSG00000248144', 0.005570650805420034, 57.52)}"
"('MAR03907', 'ENSG00000117448')",{},{}
"('MAR04097', 'ENSG00000131069')",{},{}
"('MAR04099', 'ENSG00000111058 or ENSG00000154930')",{},{}
"('MAR04108', 'ENSG00000131069')",{},{}
"('MAR04133', 'ENSG00000131069')",{},{}
"('MAR04281', 'ENSG00000111716 or ENSG00000134333')","{'ENSG00000134333': ('ENSG00000134333', 1, 331.7)}","{'ENSG00000134333': ('ENSG00000134333', 1, 419.7)}"
"('MAR04388', 'ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989')","{'ENSG00000134333': ('ENSG00000134333', 1, 331.7)}","{'ENSG00000134333': ('ENSG00000134333', 1, 419.7)}"
"('MAR04283', 'ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254')",{},{}
"('MAR08357', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.2561393730029619, 197.6), 'ENSG00000111275': ('ENSG00000111275', 0.40131958442164484, 309.6), 'ENSG00000143149': ('ENSG00000143149', 0.34013649532377127, 262.4), 'ENSG00000164904': ('ENSG00000164904', 0.002404547251621935, 1.855)}","{'ENSG00000072210': ('ENSG00000072210', 0.24757256212152848, 189.7), 'ENSG00000111275': ('ENSG00000111275', 0.3501513885988724, 268.3), 'ENSG00000143149': ('ENSG00000143149', 0.40078826477343915, 307.1), 'ENSG00000164904': ('ENSG00000164904', 0.0014877845061599497, 1.14)}"
