,reaction_expression
MAR03905,10325.544
MAR03907,-1.0
MAR04097,-1.0
MAR04099,-1.0
MAR04108,-1.0
MAR04133,-1.0
MAR04281_f,419.7
MAR04388_f,419.7
MAR04283,-1.0
MAR08357,766.24
MAR04379,24.573
MAR04301,24.573
MAR04355,25.01
MAR04358,-1.0
MAR04360,-1.0
MAR04363_f,1.42
MAR04365_f,5.024
MAR04368_f,380.61679999999996
MAR04370,-1.0
MAR04371,5.024
MAR04372,-1.0
MAR04373_f,709.4
MAR04375_f,115.32000000000001
MAR04377,-1.0
MAR04381_f,50.75
MAR04391_f,3.396
MAR04394,17.892
MAR04396_f,158.3
MAR04521,-1.0
MAR06412,23.49
MAR07745_f,-1.0
MAR07747,-1.0
MAR08360,2086.0
MAR08652,-1.0
MAR08757,2096.0
MAR03989,12.52
MAR04122,659.6
MAR04837,-1.0
MAR05395,-1.0
MAR05396,-1.0
MAR09727,-1.0
MAR05397,-1.0
MAR05398,75.29
MAR05399,18.97
MAR05400,18.97
MAR05401,75.29
MAR08568,74.288
MAR08569,74.288
MAR08570,74.288
MAR08571,74.288
MAR08572,74.288
MAR08573,74.288
MAR08574,74.288
MAR08575,74.288
MAR08576,74.288
MAR08577,74.288
MAR08578,74.288
MAR08579,74.288
MAR08581,74.288
MAR08591,-1.0
MAR08592,12.52
MAR08580,74.288
MAR08582,74.288
MAR08587,-1.0
MAR08589,12.52
MAR08583,-1.0
MAR08584,-1.0
MAR08585,-1.0
MAR03944,-1.0
MAR04128_f,16.72
MAR04130,-1.0
MAR04131_f,-1.0
MAR04132,-1.0
MAR04303,12.52
MAR04414,-1.0
MAR04415,1.764
MAR04416,11.924
MAR04774_f,24.573
MAR04775_f,24.573
MAR04831_f,-1.0
MAR04832_f,1.764
MAR07674,0.4357
MAR08761,-1.0
MAR08762_f,115.32000000000001
MAR08764,-1.0
MAR08766_f,737.5
MAR08767,-1.0
MAR00454,-1.0
MAR04297,-1.0
MAR04310,-1.0
MAR04315_f,-1.0
MAR04316_f,737.5
MAR04317,4.263
MAR04318,4.263
MAR04319,17.892
MAR04320,4.263
MAR04356,115.32000000000001
MAR04383_f,0.09233
MAR04385,7.517
MAR04386,-1.0
MAR04387,-1.0
MAR04399,-1.0
MAR04400,54.63
MAR04401,2.99
MAR04402_f,-1.0
MAR04403,-1.0
MAR04490,17.892
MAR04706,24.55
MAR08768,54.63
MAR04590,-1.0
MAR04591,-1.0
MAR04592_f,737.5
MAR04593,-1.0
MAR04594,-1.0
MAR04595_f,-1.0
MAR08341,22.19
MAR08342_f,-1.0
MAR08344_f,-1.0
MAR08352_f,-1.0
MAR08353_f,-1.0
MAR08726,9.999
MAR08727,-1.0
MAR08728,-1.0
MAR08729,-1.0
MAR06537_f,-1.0
MAR01568,-1.0
MAR03853,8.353
MAR03854,737.5
MAR03855,737.5
MAR03857,-1.0
MAR03859,-1.0
MAR04087,12.94
MAR04089,96.35
MAR04091,12.94
MAR04093,-1.0
MAR04095,-1.0
MAR04101,-1.0
MAR04103,-1.0
MAR04143,-1.0
MAR04193,-1.0
MAR08497,22.19
MAR08498,2096.0
MAR08499,2096.0
MAR08500,22.19
MAR08501,-1.0
MAR08502_f,10325.544
MAR08503,497.94
MAR08504,766.24
MAR08506,766.24
MAR08507,10325.544
MAR08508,10325.544
MAR08509,22.19
MAR08511,-1.0
MAR08512_f,-1.0
MAR08514,-1.0
MAR08516,-1.0
MAR08517,-1.0
MAR04280_f,-1.0
MAR00153,-1.0
MAR03212,105.3
MAR03797,-1.0
MAR03800,0.1503
MAR04105,-1.0
MAR04106,-1.0
MAR04107,-1.0
MAR04282,-1.0
MAR04331_f,-1.0
MAR04459,-1.0
MAR04460,-1.0
MAR04464,-1.0
MAR04497,-1.0
MAR04741,-1.0
MAR08078,-1.0
MAR09803_f,-1.0
MAR09804_f,1102.6869
MAR00718,-1.0
MAR00719,11.01
MAR01434_f,394.6
MAR01436,-1.0
MAR03163,105.3
MAR04461_f,13.95
MAR04604,4.962
MAR05351_f,-1.0
MAR07709_f,-1.0
MAR04052,-1.0
MAR04304,6.522
MAR04350_f,9.999
MAR04351_f,2.996
MAR04352_f,2.996
MAR04354_f,-1.0
MAR04398_f,280.1
MAR04404_f,-1.0
MAR04473,-1.0
MAR04474,-1.0
MAR04476_f,-1.0
MAR04477_f,-1.0
MAR04501_f,-1.0
MAR04565_f,255.9
MAR04567,24.573
MAR09799_f,-1.0
MAR09800_f,-1.0
MAR04623,-1.0
MAR04625,-1.0
MAR04710_f,-1.0
MAR04841_f,-1.0
MAR08074,9.999
MAR08653_f,-1.0
MAR03998,9.257
MAR04000,1.4451999999999998
MAR04002_f,37.701
MAR04004_f,37.701
MAR04010,2.403
MAR04081,2.403
MAR04082,2.403
MAR04012,9.536
MAR04014,0.7067
MAR04020_f,-1.0
MAR04022,1.4451999999999998
MAR04038_f,70.66
MAR04040,-1.0
MAR04042,-1.0
MAR04046,-1.0
MAR04048,0.7067
MAR04080,-1.0
MAR04085,-1.0
MAR04086,-1.0
MAR04134,9.257
MAR04135_f,-1.0
MAR04168,-1.0
MAR04171,-1.0
MAR04290,-1.0
MAR04406,-1.0
MAR04412_f,1.2
MAR04417,2.403
MAR04418,41.66
MAR04419,16.23
MAR04421,-1.0
MAR04449,2.403
MAR04450,2.403
MAR04451,-1.0
MAR04452,41.66
MAR04453,-1.0
MAR04480_f,370.214
MAR04481,-1.0
MAR04482,-1.0
MAR04486,17.892
MAR04487,17.892
MAR04488,17.892
MAR04489,17.892
MAR04492,17.892
MAR04493,17.892
MAR04495,17.892
MAR04496,17.892
MAR04518,-1.0
MAR04519,-1.0
MAR04520,-1.0
MAR04573,-1.0
MAR04574_f,-1.0
MAR04600,-1.0
MAR04602,2.403
MAR04603_f,-1.0
MAR04611,0.479
MAR04612,0.479
MAR04614,0.479
MAR04615,0.479
MAR04617,0.479
MAR04618,0.479
MAR04619,0.479
MAR04621,0.479
MAR04632,2.403
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651_f,-1.0
MAR04663_f,-1.0
MAR04664,41.66
MAR04694,-1.0
MAR04695_f,-1.0
MAR04705,2.403
MAR04709_f,-1.0
MAR04799,-1.0
MAR04802,-1.0
MAR04804_f,44.21
MAR04808,-1.0
MAR04810,44.21
MAR04812_f,1.2
MAR04814_f,70.66
MAR05301,-1.0
MAR05353_f,-1.0
MAR06601,-1.0
MAR06602_f,-1.0
MAR06603_f,-1.0
MAR06605_f,-1.0
MAR06606_f,-1.0
MAR06607_f,-1.0
MAR06609_f,-1.0
MAR06610,-1.0
MAR06611_f,-1.0
MAR07144,76.3928
MAR08755,-1.0
MAR09797,-1.0
MAR04016_f,540.5
MAR04018_f,540.5
MAR04044_f,540.5
MAR04291_f,540.5
MAR04420,540.5
MAR04570_f,540.5
MAR04572,540.5
MAR04006_f,540.5
MAR04028_f,540.5
MAR04030_f,540.5
MAR04670_f,540.5
MAR04673_f,540.5
MAR04675,540.5
MAR06614_f,540.5
MAR06615_f,540.5
MAR06616_f,540.5
MAR04635_f,540.5
MAR03793_f,7.062
MAR03931,45.9
MAR03969,-1.0
MAR03970,2.403
MAR04008_f,-1.0
MAR04032,43.03
MAR04034,-1.0
MAR04036,-1.0
MAR04050_f,-1.0
MAR04056,2.403
MAR04059,9.257
MAR04060,9.257
MAR04127,-1.0
MAR04177,2.403
MAR04179,2.403
MAR04182,4.263
MAR04183,-1.0
MAR04192,-1.0
MAR04194,43.03
MAR04210,-1.0
MAR04211,-1.0
MAR04343,-1.0
MAR04345_f,-1.0
MAR04346,90.28
MAR04470,-1.0
MAR04471,-1.0
MAR04472,-1.0
MAR04484,2.403
MAR04485_f,-1.0
MAR04510,2.403
MAR04512_f,-1.0
MAR04513,9.536
MAR04514,186.0
MAR04577,-1.0
MAR04579_f,-1.0
MAR04580,186.0
MAR04608_f,-1.0
MAR04575_f,-1.0
MAR04637_f,-1.0
MAR04642,-1.0
MAR04643,-1.0
MAR04644_f,105.1
MAR04672,-1.0
MAR04676,-1.0
MAR04736,90.28
MAR04819,-1.0
MAR05299,-1.0
MAR05352,-1.0
MAR05415,0.479
MAR05416,0.479
MAR05417,75.59
MAR06612_f,-1.0
MAR06613_f,-1.0
MAR06621_f,0.479
MAR06622,0.479
MAR06623,3.527
MAR06624,-1.0
MAR06627_f,-1.0
MAR07744_f,-1.0
MAR08072,-1.0
MAR08637,-1.0
MAR03965,-1.0
MAR03966,-1.0
MAR03967_f,-1.0
MAR03968_f,-1.0
MAR03999,-1.0
MAR04024_f,-1.0
MAR04026_f,1.358
MAR04054,3.527
MAR04061,-1.0
MAR04083,9.536
MAR04136,957.4689999999999
MAR04180,-1.0
MAR04185,32.31
MAR04186,32.31
MAR04342,9.257
MAR04344_f,-1.0
MAR04483,-1.0
MAR04507,129.5
MAR04516,-1.0
MAR04601,-1.0
MAR04633,-1.0
MAR04640,-1.0
MAR04641,3.527
MAR04680_f,-1.0
MAR04806,-1.0
MAR05394,-1.0
MAR06625,-1.0
MAR06626,-1.0
MAR07160,125.762
MAR07161,0.3372
MAR07162,0.3372
MAR07163,2.614
MAR07164,2.614
MAR07713,2.403
MAR07716,2.403
MAR07717,2.403
MAR07721,2.403
MAR07725,2.403
MAR07728,2.403
MAR07800_f,-1.0
MAR07801_f,34.4
MAR07802_f,-1.0
MAR07863_f,-1.0
MAR07864_f,-1.0
MAR07865_f,-1.0
MAR07866_f,-1.0
MAR07867_f,-1.0
MAR07868_f,-1.0
MAR07869_f,-1.0
MAR07870_f,-1.0
MAR07871_f,-1.0
MAR07872_f,-1.0
MAR07873_f,-1.0
MAR07874_f,-1.0
MAR07875_f,1.358
MAR07876_f,-1.0
MAR07878_f,540.5
MAR07879,-1.0
MAR07880,-1.0
MAR07881_f,540.5
MAR07882_f,540.5
MAR07883_f,540.5
MAR07884_f,540.5
MAR07885_f,540.5
MAR07886_f,540.5
MAR07887_f,540.5
MAR07888_f,540.5
MAR07889_f,540.5
MAR07890_f,540.5
MAR07891_f,540.5
MAR07892_f,540.5
MAR07893_f,540.5
MAR07894_f,540.5
MAR07895_f,540.5
MAR08083,0.7067
MAR08085,0.7067
MAR08087,0.7067
MAR08443,76.3928
MAR08444,76.3928
MAR08445,-1.0
MAR08446,-1.0
MAR08448_f,-1.0
MAR08449_f,-1.0
MAR08450_f,-1.0
MAR08451_f,-1.0
MAR08452_f,-1.0
MAR08453_f,-1.0
MAR08454_f,-1.0
MAR08455_f,-1.0
MAR08456_f,-1.0
MAR08457_f,-1.0
MAR08458_f,-1.0
MAR08459_f,-1.0
MAR08460_f,-1.0
MAR08461_f,-1.0
MAR08462_f,-1.0
MAR08463_f,-1.0
MAR08464_f,-1.0
MAR08465_f,-1.0
MAR08466_f,-1.0
MAR08467_f,-1.0
MAR08468_f,-1.0
MAR08469_f,-1.0
MAR08470_f,-1.0
MAR08471_f,-1.0
MAR08472_f,-1.0
MAR08473,-1.0
MAR08474,9.257
MAR08477_f,9.536
MAR08478_f,9.536
MAR08479_f,9.536
MAR08480,-1.0
MAR08481_f,-1.0
MAR08482,29.69
MAR08483,-1.0
MAR08484,-1.0
MAR08485,9.257
MAR08486_f,-1.0
MAR08487,2.403
MAR08488,-1.0
MAR08489,-1.0
MAR08493,-1.0
MAR08494,-1.0
MAR08495,-1.0
MAR03802_f,11.93
MAR03804_f,11.93
MAR03811,251.9
MAR03813_f,-1.0
MAR03822,-1.0
MAR03827_f,-1.0
MAR03829_f,170.8
MAR03862,-1.0
MAR03865,-1.0
MAR03870,249.9
MAR03873,-1.0
MAR08654,-1.0
MAR03890,184.5
MAR03892,-1.0
MAR09802,-1.0
MAR03899_f,-1.0
MAR03903,-1.0
MAR04109_f,-1.0
MAR04114,-1.0
MAR04115,-1.0
MAR04118,249.9
MAR04172,-1.0
MAR04196,-1.0
MAR04197,81.99
MAR04287,419.7
MAR04690,-1.0
MAR04693_f,-1.0
MAR06780,-1.0
MAR06968_f,-1.0
MAR06969_f,-1.0
MAR06970_f,-1.0
MAR06971_f,-1.0
MAR06972_f,-1.0
MAR07641,-1.0
MAR07642_f,-1.0
MAR08626,-1.0
MAR08628,-1.0
MAR03806_f,-1.0
MAR03807_f,-1.0
MAR03809_f,-1.0
MAR03816,-1.0
MAR03819_f,-1.0
MAR03820_f,-1.0
MAR03832,-1.0
MAR03833,-1.0
MAR03835,-1.0
MAR03837,-1.0
MAR03895,-1.0
MAR03897,-1.0
MAR03956_f,-1.0
MAR03993,-1.0
MAR04073,-1.0
MAR04075,35.87
MAR04077,35.87
