,gene_contribution
ENSG00000187608,0.0
ENSG00000176022,1.0
ENSG00000116237,1.0
ENSG00000142583,1.0090936235792434
ENSG00000116649,2.0
ENSG00000117118,1.0
ENSG00000053371,8.0
ENSG00000188257,6.0
ENSG00000158825,2.0
ENSG00000117308,3.0
ENSG00000117682,2.334179715051488
ENSG00000116514,0.007988962316821214
ENSG00000084072,0.008525912995225487
ENSG00000171793,2.0
ENSG00000127125,2.0
ENSG00000117410,0.2699188109532134
ENSG00000117411,15.616066904859464
ENSG00000117450,0.11355634312305021
ENSG00000187048,2.2930023301290983
ENSG00000162365,0.7745620890924332
ENSG00000116171,6.855634768302714
ENSG00000162607,0.002172291877035842
ENSG00000079739,1.0
ENSG00000254685,1.0
ENSG00000116791,5.0
ENSG00000117054,56.43462336039364
ENSG00000097033,0.3706324718581633
ENSG00000153936,1.9510401035828404
ENSG00000137944,6.0
ENSG00000023909,1.0
ENSG00000162688,3.0
ENSG00000117620,2.0
ENSG00000240038,9.247061315259979
ENSG00000243480,5.59144339722546
ENSG00000237763,0.3487592219986588
ENSG00000174876,0.35087719298245623
ENSG00000187733,0.46185887253344604
ENSG00000213366,2.0594032726700617
ENSG00000134184,2.566700610187296
ENSG00000134202,1.5763024525377811
ENSG00000163399,0.0005925823880036437
ENSG00000203859,19.88799526907155
ENSG00000203857,3.112004730928443
ENSG00000092621,2.0
ENSG00000134240,1.0
ENSG00000263353,0.005049797112172114
ENSG00000131781,0.15990766670963058
ENSG00000163131,4.078723574972735
ENSG00000143363,0.23574757977769809
ENSG00000143554,7.1789920399859986
ENSG00000163344,2.0
ENSG00000160688,1.0
ENSG00000143224,3.0
ENSG00000143149,11.959426755363669
ENSG00000143158,1.25
ENSG00000143153,0.00229721852971478
ENSG00000007933,2.7766776419858687
ENSG00000010932,1.0634146913045006
ENSG00000116199,6.0
ENSG00000135821,1.0
ENSG00000123684,0.18453426681122748
ENSG00000136628,2.0
ENSG00000143815,2.0
ENSG00000143819,44.46373042405378
ENSG00000143799,0.014174060198182513
ENSG00000069248,1.0252302749628313
ENSG00000054267,0.6658202849485118
ENSG00000116984,2.0
ENSG00000143653,1.0
ENSG00000182551,2.0
ENSG00000134326,2.0
ENSG00000171848,3.5
ENSG00000143870,0.8960866455502198
ENSG00000115884,1.719568752635066
ENSG00000119772,2.618631630442379
ENSG00000084754,231.30514174401114
ENSG00000171174,3.0
ENSG00000115760,0.007757411561449145
ENSG00000138061,1.2371257687862778
ENSG00000170340,16.447127356972786
ENSG00000014641,2.0
ENSG00000115902,18.975760446485573
ENSG00000198380,1.0
ENSG00000116096,4.0
ENSG00000144048,1.6415561974624777
ENSG00000124356,0.0052943477314497354
ENSG00000065911,3.228906080543706
ENSG00000168906,2.0
ENSG00000115525,3.5826044703595725
ENSG00000163586,58.329490367503354
ENSG00000153574,2.0
ENSG00000153201,1.0083394569099577
ENSG00000153086,1.0
ENSG00000073734,1.9428166969933551
ENSG00000128708,0.2753303964757709
ENSG00000151689,2.0
ENSG00000196950,0.07300221495045985
ENSG00000119013,1.0
ENSG00000115361,1.3962329362371442
ENSG00000138363,2.0
ENSG00000115657,3.0257376107991543
ENSG00000242366,6.536673454817235
ENSG00000242515,5.807310456541253
ENSG00000241119,7.98693668714208
ENSG00000244122,2.784115525086861
ENSG00000167165,3.0061925228597945
ENSG00000288705,2.6375945268800844
ENSG00000244474,4.375326131032849
ENSG00000288702,10.553597544681876
ENSG00000241635,13.192283359819498
ENSG00000114166,0.2884850709740577
ENSG00000170266,45.05990585959124
ENSG00000188167,7.0
ENSG00000060971,130.8721226112949
ENSG00000211456,1.319478715681865
ENSG00000010256,1.0
ENSG00000172053,1.0
ENSG00000233276,2.9685825947253845
ENSG00000023330,3.0
ENSG00000163686,8.280431247364934
ENSG00000168291,0.5
ENSG00000144744,0.030793482925576456
ENSG00000080819,1.0
ENSG00000114423,0.001279525488848848
ENSG00000121579,0.01068115983053566
ENSG00000173193,0.16414129063181682
ENSG00000065485,0.07719423725349954
ENSG00000065534,1.0
ENSG00000180767,2.6703669441874807
ENSG00000163902,0.25
ENSG00000017260,1.0
ENSG00000114054,1.0
ENSG00000184432,4.0
ENSG00000163659,0.4288411311858671
ENSG00000163581,4.900870019324852
ENSG00000121879,2.0
ENSG00000114770,5.344734864719136
ENSG00000163882,2.0
ENSG00000163959,5.839423434440908
ENSG00000161267,1.0
ENSG00000002549,3.0
ENSG00000109814,1.0
ENSG00000078140,0.08835829222923047
ENSG00000128050,2.0
ENSG00000135220,0.10356623467579926
ENSG00000171234,43.003466499537794
ENSG00000135226,0.012937056924903205
ENSG00000173597,3.800887549915493
ENSG00000156136,6.0
ENSG00000163631,2.0
ENSG00000145293,1.0
ENSG00000198189,0.04671461964978964
ENSG00000170502,3.9012390301733486
ENSG00000118777,10.499256828435762
ENSG00000197894,7.007127318565418
ENSG00000187758,8.9711973639863
ENSG00000196616,10.83242044567509
ENSG00000248144,0.07095882954701967
ENSG00000138801,4.0
ENSG00000138796,64.26357851374856
ENSG00000170522,40.47154947716047
ENSG00000151012,1.0242395535144264
ENSG00000109452,3.0
ENSG00000164116,1.099052091486216
ENSG00000061918,1.099052091486216
ENSG00000052802,13.988383755493553
ENSG00000129187,1.0
ENSG00000151726,94.45832167618327
ENSG00000151729,0.06525664425075886
ENSG00000066230,3.0
ENSG00000145545,4.0
ENSG00000112941,0.027411964916873935
ENSG00000242110,11.003526102862416
ENSG00000113492,3.0
ENSG00000079215,4.135388516331365
ENSG00000112972,2.0
ENSG00000112992,1.0
ENSG00000145675,1.0
ENSG00000085231,0.03142845655717493
ENSG00000273841,0.035905062415037825
ENSG00000049860,60.98532365246893
ENSG00000164347,0.016036932538315334
ENSG00000113161,3.0
ENSG00000113163,3.891532817767202
ENSG00000228716,6.0
ENSG00000173221,1.0
ENSG00000168938,0.19421740789123826
ENSG00000164904,5.087161077282317
ENSG00000072682,2.5
ENSG00000164405,1.0
ENSG00000113552,1.0
ENSG00000120137,5.0
ENSG00000113732,3.100198412698413e-06
ENSG00000160883,6.58267426889829
ENSG00000197977,2.0475755234714885
ENSG00000204228,4.661354785962618
ENSG00000096060,0.01567900949121975
ENSG00000124713,1.0
ENSG00000137204,7.0
ENSG00000171453,2.0
ENSG00000146233,2.0
ENSG00000153291,1.9279394794204385
ENSG00000096006,0.000962057608533013
ENSG00000244067,49.689534163754416
ENSG00000001084,1.0
ENSG00000112309,1.0
ENSG00000013375,1.0
ENSG00000065833,1.0
ENSG00000135318,24.0
ENSG00000164414,2.0
ENSG00000198833,0.0006131021196026995
ENSG00000112367,0.23945285105556927
ENSG00000120265,1.0
ENSG00000112096,1.0005032468843098
ENSG00000120437,2.0
ENSG00000175003,67.0
ENSG00000189043,3.0
ENSG00000106080,0.0012051883793250942
ENSG00000136250,1.0
ENSG00000106605,2.0
ENSG00000106636,0.37836970777780926
ENSG00000196262,0.7326504895897157
ENSG00000132437,10.0
ENSG00000146648,0.42408575990268377
ENSG00000169919,14.0
ENSG00000127948,1.0
ENSG00000146701,2.0
ENSG00000135218,0.9147173094101017
ENSG00000085563,46.68891006622421
ENSG00000001630,7.0
ENSG00000004864,3.0
ENSG00000106258,15.592865745273324
ENSG00000160870,1.965737256198104
ENSG00000160868,49.27597095043813
ENSG00000021461,0.015231557330349492
ENSG00000106397,4.0
ENSG00000105835,1.0
ENSG00000091140,7.0
ENSG00000128524,1.8238622458616547e-26
ENSG00000198074,9.473416105658648
ENSG00000227471,0.007061332269197315
ENSG00000080802,0.02978794378870172
ENSG00000106462,1.9916217833632557
ENSG00000009335,0.011199307451063456
ENSG00000175806,1.0
ENSG00000079459,5.0
ENSG00000104763,4.0
ENSG00000171428,0.2572145545796738
ENSG00000156006,0.7427854454203263
ENSG00000147416,4.876186143397662e-16
ENSG00000130227,1.0
ENSG00000120915,10.536269575946225
ENSG00000104687,4.0
ENSG00000083168,0.12206314243759175
ENSG00000070501,0.47082951520705163
