,reaction_expression
MAR03905,9789.875
MAR03907,-1.0
MAR04097,-1.0
MAR04099,-1.0
MAR04108,-1.0
MAR04133,-1.0
MAR04281,331.7
MAR04388,331.7
MAR04283,-1.0
MAR08357,771.455
MAR04379,24.915000000000003
MAR04301,24.915000000000003
MAR04355,23.46
MAR04358,-1.0
MAR04360,-1.0
MAR04363,4.692
MAR04365,6.737
MAR04368,351.53819999999996
MAR04370,-1.0
MAR04371,6.737
MAR04372,-1.0
MAR04373,837.1
MAR04375,133.86
MAR04377,-1.0
MAR04381,34.88
MAR04391,3.676
MAR04394,21.747999999999998
MAR04396,130.0
MAR04521,-1.0
MAR06412,22.95
MAR07745,-1.0
MAR07747,-1.0
MAR08360,2265.0
MAR08652,-1.0
MAR08757,2375.0
MAR03989,11.76
MAR04122,703.1
MAR04837,-1.0
MAR05395,-1.0
MAR05396,-1.0
MAR09727,-1.0
MAR05397,-1.0
MAR05398,70.59
MAR05399,15.98
MAR05400,15.98
MAR05401,70.59
MAR08568,113.316
MAR08569,113.316
MAR08570,113.316
MAR08571,113.316
MAR08572,113.316
MAR08573,113.316
MAR08574,113.316
MAR08575,113.316
MAR08576,113.316
MAR08577,113.316
MAR08578,113.316
MAR08579,113.316
MAR08581,113.316
MAR08591,-1.0
MAR08592,11.76
MAR08580,113.316
MAR08582,113.316
MAR08587,-1.0
MAR08589,11.76
MAR08583,-1.0
MAR08584,-1.0
MAR08585,-1.0
MAR03944,-1.0
MAR04128,27.05
MAR04130,-1.0
MAR04131,-1.0
MAR04132,-1.0
MAR04303,11.76
MAR04414,-1.0
MAR04415,0.2675
MAR04416,6.9672
MAR04774,24.915000000000003
MAR04775,24.915000000000003
MAR04831,-1.0
MAR04832,0.2675
MAR07674,2.004
MAR08761,-1.0
MAR08762,133.86
MAR08764,-1.0
MAR08766,644.7
MAR08767,-1.0
MAR00454,-1.0
MAR04297,-1.0
MAR04310,-1.0
MAR04315,-1.0
MAR04316,644.7
MAR04317,3.51
MAR04318,3.51
MAR04319,21.747999999999998
MAR04320,3.51
MAR04356,133.86
MAR04383,0.4574
MAR04385,18.45
MAR04386,-1.0
MAR04387,-1.0
MAR04399,-1.0
MAR04400,56.24
MAR04401,1.302
MAR04402,-1.0
MAR04403,-1.0
MAR04490,21.747999999999998
MAR04706,27.72
MAR08768,56.24
MAR04590,-1.0
MAR04591,-1.0
MAR04592,644.7
MAR04593,-1.0
MAR04594,-1.0
MAR04595,-1.0
MAR08341,30.09
MAR08342,-1.0
MAR08344,-1.0
MAR08352,-1.0
MAR08353,-1.0
MAR08726,8.524
MAR08727,-1.0
MAR08728,-1.0
MAR08729,-1.0
MAR06537,-1.0
MAR01568,-1.0
MAR03853,4.729
MAR03854,644.7
MAR03855,644.7
MAR03857,-1.0
MAR03859,-1.0
MAR04087,11.8
MAR04089,91.5
MAR04091,11.8
MAR04093,-1.0
MAR04095,-1.0
MAR04101,-1.0
MAR04103,-1.0
MAR04143,-1.0
MAR04193,-1.0
MAR08497,30.09
MAR08498,2375.0
MAR08499,2375.0
MAR08500,30.09
MAR08501,-1.0
MAR08502,9789.875
MAR08503,461.855
MAR08504,771.455
MAR08506,771.455
MAR08507,9789.875
MAR08508,9789.875
MAR08509,30.09
MAR08511,-1.0
MAR08512,-1.0
MAR08514,-1.0
MAR08516,-1.0
MAR08517,-1.0
MAR04280,-1.0
MAR00153,-1.0
MAR03212,77.61
MAR03797,-1.0
MAR03800,1.17
MAR04105,-1.0
MAR04106,-1.0
MAR04107,-1.0
MAR04282,-1.0
MAR04331,-1.0
MAR04459,-1.0
MAR04460,-1.0
MAR04464,-1.0
MAR04497,-1.0
MAR04741,-1.0
MAR08078,-1.0
MAR09803,-1.0
MAR09804,962.2830000000001
MAR00718,-1.0
MAR00719,12.67
MAR01434,293.0
MAR01436,-1.0
MAR03163,77.61
MAR04461,16.03
MAR04604,5.059
MAR05351,-1.0
MAR07709,-1.0
MAR04052,-1.0
MAR04304,3.077
MAR04350,8.524
MAR04351,1.272
MAR04352,1.272
MAR04354,-1.0
MAR04398,295.2
MAR04404,-1.0
MAR04473,-1.0
MAR04474,-1.0
MAR04476,-1.0
MAR04477,-1.0
MAR04501,-1.0
MAR04565,226.6
MAR04567,24.915000000000003
MAR09799,-1.0
MAR09800,-1.0
MAR04623,-1.0
MAR04625,-1.0
MAR04710,-1.0
MAR04841,-1.0
MAR08074,8.524
MAR08653,-1.0
MAR03998,9.094
MAR04000,1.1499000000000001
MAR04002,28.1743
MAR04004,28.1743
MAR04010,1.228
MAR04081,1.228
MAR04082,1.228
MAR04012,9.049
MAR04014,0.3751
MAR04020,-1.0
MAR04022,1.1499000000000001
MAR04038,52.53
MAR04040,-1.0
MAR04042,-1.0
MAR04046,-1.0
MAR04048,0.3751
MAR04080,-1.0
MAR04085,-1.0
MAR04086,-1.0
MAR04134,9.094
MAR04135,-1.0
MAR04168,-1.0
MAR04171,-1.0
MAR04290,-1.0
MAR04406,-1.0
MAR04412,0.6177
MAR04417,1.228
MAR04418,38.85
MAR04419,15.64
MAR04421,-1.0
MAR04449,1.228
MAR04450,1.228
MAR04451,-1.0
MAR04452,38.85
MAR04453,-1.0
MAR04480,423.9785
MAR04481,-1.0
MAR04482,-1.0
MAR04486,21.747999999999998
MAR04487,21.747999999999998
MAR04488,21.747999999999998
MAR04489,21.747999999999998
MAR04492,21.747999999999998
MAR04493,21.747999999999998
MAR04495,21.747999999999998
MAR04496,21.747999999999998
MAR04518,-1.0
MAR04519,-1.0
MAR04520,-1.0
MAR04573,-1.0
MAR04574,-1.0
MAR04600,-1.0
MAR04602,1.228
MAR04603,-1.0
MAR04611,1.017
MAR04612,1.017
MAR04614,1.017
MAR04615,1.017
MAR04617,1.017
MAR04618,1.017
MAR04619,1.017
MAR04621,1.017
MAR04632,1.228
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651,-1.0
MAR04663,-1.0
MAR04664,38.85
MAR04694,-1.0
MAR04695,-1.0
MAR04705,1.228
MAR04709,-1.0
MAR04799,-1.0
MAR04802,-1.0
