,sample_1,sample_2,sample_3,sample_4,sample_5
ENSG00000000419,2.0,2.0,2.0,2.0,2.0
ENSG00000002549,1.9616829451540196,2.6672694394213385,2.558706749858196,2.5662100456621006,2.7486737400530505
ENSG00000004455,0.48125027632036027,0.8220013395741027,0.8985442038877154,0.5209750824259143,0.8636926725747777
ENSG00000004478,0.010678391959798991,0.038260937256733615,0.02201399864529239,0.020998864926220204,0.034947089184279564
ENSG00000004779,1.0,1.0,1.0,1.0,1.0
ENSG00000004864,3.0,3.0,3.0,3.0,3.0
ENSG00000004961,1.0,1.0,1.0,1.0,1.0
ENSG00000005022,0.03447607691161127,0.460678531701891,0.34236826165960016,0.5842008573178199,0.4935364405003145
ENSG00000005075,2.0,2.0,2.0,2.0,2.0
ENSG00000005339,0.029280895650925804,0.0173864273696018,0.08498825539184279,0.050511508951406645,0.027571115973741806
ENSG00000005469,12.337477797513321,12.855813953488372,12.426605504587156,12.359477124183007,12.299539170506913
ENSG00000005810,0.014443003132217554,0.0015444993037093306,0.02188081936685287,0.009822457920221362,0.002197052918671163
ENSG00000005882,0.21590909090909094,0.7506775067750677,0.5532786885245902,0.8216833095577747,0.7839549612948629
ENSG00000006007,1.0,1.0,1.0,1.0,1.0
ENSG00000006625,4.0,4.0,4.0,4.0,4.0
ENSG00000006695,3.5235247208931417,3.5881226053639845,3.0616740088105727,3.1808278867102397,3.2524752475247523
ENSG00000006757,6.81412188180144,5.552695537029472,1.2957571602362847,4.716146290421119,5.694704297475199
ENSG00000007168,1.581135091926459,0.3415409054805401,0.8830860534124628,0.6125244618395302,0.5321756894790602
ENSG00000007541,0.08576998050682261,0.06950672645739911,0.4950980392156863,0.22986247544204322,0.23452768729641696
ENSG00000008130,1.0,1.0,1.0,1.0,1.0
ENSG00000009335,0.0059480494827095255,0.0023294087859222676,0.005563314711359406,0.009107678118515108,0.0033523997121103085
ENSG00000009413,0.2571592210767468,0.02460317460317461,0.3015960374243259,0.10638297872340423,0.11356045424181695
ENSG00000010256,1.0,1.0,1.0,1.0,1.0
ENSG00000010404,3.0,3.0,3.0,3.0,3.0
ENSG00000011009,0.14953271028037385,0.2740157480314961,0.43824701195219123,0.28228228228228225,0.5345043914680051
ENSG00000011198,3.399719495091163,3.68922305764411,3.3007985803016853,1.2030075187969926,2.5504439063761097
ENSG00000011275,0.00569494099408359,0.0015444993037093306,0.006331471135940408,0.002905234032741528,0.0017803704685783555
ENSG00000011405,5.0,5.0,5.0,5.0,5.0
