,reaction_expression
MAR03905,79.2
MAR03907,64.9
MAR04097,15.3
MAR04099,-1.0
MAR04108,15.3
MAR04133,15.3
MAR04281_f,444.6
MAR04388_f,444.6
MAR04283,-1.0
MAR08357,163.5
MAR04379,93.50000000000001
MAR04301,93.50000000000001
MAR04355,10.7
MAR04358,180.0
MAR04360,22.0
MAR04363_f,273.2
MAR04365_f,106.2
MAR04368_f,168.7
MAR04370,43.3
MAR04371,106.2
MAR04372,43.3
MAR04373_f,1406.1
MAR04375_f,44.7
MAR04377,-1.0
MAR04381_f,45.0
MAR04391_f,309.7
MAR04394,34.2
MAR04396_f,37.4
MAR04521,-1.0
MAR06412,9.5
MAR07745_f,10.6
MAR07747,-1.0
MAR08360,38.3
MAR08652,-1.0
MAR08757,-1.0
MAR03989,23.2
MAR04122,20.1
MAR04837,-1.0
MAR05395,26.9
MAR05396,26.9
MAR09727,-1.0
MAR05397,26.9
MAR05398,11.9
MAR05399,15.4
MAR05400,15.4
MAR05401,11.9
MAR08568,-1.0
MAR08569,-1.0
MAR08570,-1.0
MAR08571,-1.0
MAR08572,-1.0
MAR08573,-1.0
MAR08574,-1.0
MAR08575,-1.0
MAR08576,-1.0
MAR08577,-1.0
MAR08578,-1.0
MAR08579,-1.0
MAR08581,-1.0
MAR08591,5.8
MAR08592,17.4
MAR08580,-1.0
MAR08582,-1.0
MAR08587,5.8
MAR08589,17.4
MAR08583,-1.0
MAR08584,-1.0
MAR08585,27.2
MAR03944,82.1
MAR04128_f,13.7
MAR04130,14.2
MAR04131_f,14.6
MAR04132,14.6
MAR04303,23.2
MAR04414,14.2
MAR04415,15.7
MAR04416,53.8
MAR04774_f,93.50000000000001
MAR04775_f,93.50000000000001
MAR04831_f,-1.0
MAR04832_f,15.7
MAR07674,56.6
MAR08761,-1.0
MAR08762_f,44.7
MAR08764,-1.0
MAR08766_f,61.5
MAR08767,14.6
MAR00454,-1.0
MAR04297,2.4
MAR04310,-1.0
MAR04315_f,-1.0
MAR04316_f,61.5
MAR04317,58.2
MAR04318,58.2
MAR04319,34.2
MAR04320,58.2
MAR04356,44.7
MAR04383_f,9.1
MAR04385,17.5
MAR04386,4.7
MAR04387,-1.0
MAR04399,24.4
MAR04400,49.1
MAR04401,-1.0
MAR04402_f,-1.0
