,sample_1,sample_2,sample_3,sample_4
ENSG00000000003,0.0,0.0,0.0,0.0
ENSG00000000419,1.9411764705882353,1.8558139534883722,1.7930174563591024,1.69375
ENSG00000002549,1.957367240089753,2.333333333333334,2.416494845360825,1.728495575221239
ENSG00000004455,0.3707472207868565,0.706700431264271,0.6706460173329026,0.4861193798491048
ENSG00000004478,0.008988526410405543,0.03391994478951001,0.014226307725979425,0.017449890517096167
ENSG00000004779,1.0,1.0,1.0,1.0
ENSG00000004799,0.9675635827497234,0.29445506692160617,0.8841405508072174,0.6265316995205115
ENSG00000004864,0.17986164488854728,2.0609756097560976,2.0804597701149423,2.990208877284595
ENSG00000004939,1.8571428571428572,1.1675675675675676,1.019736842105263,1.0472727272727274
ENSG00000004961,1.0,1.0,1.0,1.0
ENSG00000005022,0.03447607691161127,0.460678531701891,0.34236826165960016,0.5842008573178199
ENSG00000005075,2.0,2.0,2.0,2.0
ENSG00000005187,2.5961538461538454,7.582191780821917,7.304347826086957,1.3748085758039816
ENSG00000005339,0.029280895650925804,0.0173864273696018,0.08498825539184279,0.050511508951406645
ENSG00000005469,12.337477797513321,12.855813953488372,12.426605504587156,12.359477124183007
ENSG00000005810,0.013625645464585275,0.0014257666417352305,0.02018726913495405,0.009094014174707543
ENSG00000005882,0.007003317360855142,0.5296367112810708,0.06410256410256411,0.3068726691529036
ENSG00000006007,1.0,1.0,1.0,1.0
ENSG00000006530,6.0,6.0,6.0,6.0
ENSG00000006625,3.9484702093397743,3.823923444976076,3.866935483870968,3.6416666666666666
ENSG00000006695,3.502679938744257,3.5256849315068495,3.0553359683794463,3.1246246246246248
ENSG00000006756,1.9473684210526316,0.5040650406504066,1.9210526315789473,1.1856963613550815
ENSG00000006757,6.784878638921293,5.355813953488372,1.287370346092618,4.712143201152785
ENSG00000007168,1.581135091926459,0.3415409054805401,0.8830860534124628,0.6125244618395302
ENSG00000007541,0.08576998050682261,0.06950672645739911,0.3799472295514512,0.1422680412371134
ENSG00000007944,0.01517774527654241,0.002150336574420345,0.014002233485095777,0.0002134745111433694
ENSG00000008130,1.0,1.0,1.0,1.0
ENSG00000008394,0.13060344468836102,4.537214280056147,4.347895190034247,51.03533775711732
ENSG00000008513,8.552693208430913,3.12093023255814,8.839729119638823,10.059642147117295
