,sample_1,sample_2,sample_3,sample_4
"('MAR03905', 'ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144')","{'ENSG00000147576': ('ENSG00000147576', 0.14448275862068966, 41.9), 'ENSG00000180011': ('ENSG00000180011', 0.2144827586206897, 62.2), 'ENSG00000197894': ('ENSG00000197894', 0.6410344827586207, 185.9)}","{'ENSG00000147576': ('ENSG00000147576', 0.06237288135593219, 9.2), 'ENSG00000180011': ('ENSG00000180011', 0.14576271186440676, 21.5), 'ENSG00000197894': ('ENSG00000197894', 0.791864406779661, 116.8)}","{'ENSG00000147576': ('ENSG00000147576', 0.028220858895705518, 2.3), 'ENSG00000180011': ('ENSG00000180011', 0.26993865030674846, 22.0), 'ENSG00000197894': ('ENSG00000197894', 0.7018404907975461, 57.2)}","{'ENSG00000147576': ('ENSG00000147576', 0.10430930326218284, 25.9), 'ENSG00000180011': ('ENSG00000180011', 0.09706000805477245, 24.1), 'ENSG00000197894': ('ENSG00000197894', 0.7986306886830448, 198.3)}"
"('MAR03907', 'ENSG00000117448')","{'ENSG00000117448': ('ENSG00000117448', 1, 51.9)}","{'ENSG00000117448': ('ENSG00000117448', 1, 119.9)}","{'ENSG00000117448': ('ENSG00000117448', 1, 64.9)}","{'ENSG00000117448': ('ENSG00000117448', 1, 315.0)}"
"('MAR04097', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}"
"('MAR04099', 'ENSG00000111058 or ENSG00000154930')","{'ENSG00000111058': ('ENSG00000111058', 0.2972136222910217, 28.8), 'ENSG00000154930': ('ENSG00000154930', 0.7027863777089783, 68.1)}","{'ENSG00000111058': ('ENSG00000111058', 0.11030741410488244, 6.1), 'ENSG00000154930': ('ENSG00000154930', 0.8896925858951176, 49.2)}","{'ENSG00000111058': ('ENSG00000111058', 0.23076923076923078, 2.1), 'ENSG00000154930': ('ENSG00000154930', 0.7692307692307693, 7.0)}","{'ENSG00000111058': ('ENSG00000111058', 0.9368029739776952, 50.4), 'ENSG00000154930': ('ENSG00000154930', 0.06319702602230483, 3.4)}"
"('MAR04108', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}"
"('MAR04133', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}"
"('MAR04281', 'ENSG00000111716 or ENSG00000134333')","{'ENSG00000111716': ('ENSG00000111716', 0.8764089884372045, 2410.3), 'ENSG00000134333': ('ENSG00000134333', 0.12359101156279541, 339.9)}","{'ENSG00000111716': ('ENSG00000111716', 0.9027503145784649, 2511.0), 'ENSG00000134333': ('ENSG00000134333', 0.09724968542153514, 270.5)}","{'ENSG00000111716': ('ENSG00000111716', 0.2352941176470588, 136.8), 'ENSG00000134333': ('ENSG00000134333', 0.7647058823529411, 444.6)}","{'ENSG00000111716': ('ENSG00000111716', 0.020255863539445633, 11.4), 'ENSG00000134333': ('ENSG00000134333', 0.9797441364605544, 551.4)}"
"('MAR04388', 'ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989')","{'ENSG00000111716': ('ENSG00000111716', 0.8761859754989275, 2410.3), 'ENSG00000134333': ('ENSG00000134333', 0.12355956232505723, 339.9), 'ENSG00000166796': ('ENSG00000166796', 0.0002544621760151223, 0.7)}","{'ENSG00000111716': ('ENSG00000111716', 0.9007748600947052, 2511.0), 'ENSG00000134333': ('ENSG00000134333', 0.09703687760080355, 270.5), 'ENSG00000166796': ('ENSG00000166796', 0.0021882623044913187, 6.1)}","{'ENSG00000111716': ('ENSG00000111716', 0.23472889498970484, 136.8), 'ENSG00000134333': ('ENSG00000134333', 0.7628689087165408, 444.6), 'ENSG00000166796': ('ENSG00000166796', 0.0024021962937542892, 1.4)}","{'ENSG00000111716': ('ENSG00000111716', 0.020223523150612033, 11.4), 'ENSG00000134333': ('ENSG00000134333', 0.978179882916445, 551.4), 'ENSG00000166796': ('ENSG00000166796', 0.001596593932943055, 0.9)}"
"('MAR04283', 'ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254')","{'ENSG00000184254': ('ENSG00000184254', 1, 0.9)}","{'ENSG00000184254': ('ENSG00000184254', 1, 6.1)}","{'ENSG00000184254': ('ENSG00000184254', 1, 12.0)}","{'ENSG00000184254': ('ENSG00000184254', 1, 0.1)}"
"('MAR08357', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.12385919165580185, 76.0), 'ENSG00000111275': ('ENSG00000111275', 0.6831812255541069, 419.2), 'ENSG00000137124': ('ENSG00000137124', 0.013526727509778357, 8.3), 'ENSG00000143149': ('ENSG00000143149', 0.10202086049543677, 62.6), 'ENSG00000164904': ('ENSG00000164904', 0.07741199478487613, 47.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.09318996415770607, 33.8), 'ENSG00000111275': ('ENSG00000111275', 0.4915908464295561, 178.3), 'ENSG00000137124': ('ENSG00000137124', 0.016818307140887785, 6.1), 'ENSG00000143149': ('ENSG00000143149', 0.2288392610973256, 83.0), 'ENSG00000164904': ('ENSG00000164904', 0.1695616211745244, 61.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.16262566528681255, 27.5), 'ENSG00000111275': ('ENSG00000111275', 0.40863394441159073, 69.1), 'ENSG00000137124': ('ENSG00000137124', 0.03311649911295092, 5.6), 'ENSG00000143149': ('ENSG00000143149', 0.2584269662921349, 43.7), 'ENSG00000164904': ('ENSG00000164904', 0.13719692489651097, 23.2)}","{'ENSG00000072210': ('ENSG00000072210', 0.09120433017591342, 134.8), 'ENSG00000111275': ('ENSG00000111275', 0.6648849797023005, 982.7), 'ENSG00000137124': ('ENSG00000137124', 0.07760487144790258, 114.7), 'ENSG00000143149': ('ENSG00000143149', 0.10764546684709066, 159.1), 'ENSG00000164904': ('ENSG00000164904', 0.05866035182679297, 86.7)}"
"('MAR04379', 'ENSG00000067057 or ENSG00000141959 or ENSG00000152556')","{'ENSG00000067057': ('ENSG00000067057', 0.21402356577168244, 110.8), 'ENSG00000141959': ('ENSG00000141959', 0.014293992659841607, 7.4), 'ENSG00000152556': ('ENSG00000152556', 0.7716824415684759, 399.5)}","{'ENSG00000067057': ('ENSG00000067057', 0.17397454031117396, 24.6), 'ENSG00000141959': ('ENSG00000141959', 0.49999999999999994, 70.7), 'ENSG00000152556': ('ENSG00000152556', 0.326025459688826, 46.1)}","{'ENSG00000067057': ('ENSG00000067057', 0.34866310160427805, 32.6), 'ENSG00000141959': ('ENSG00000141959', 0.5155080213903743, 48.2), 'ENSG00000152556': ('ENSG00000152556', 0.13582887700534757, 12.7)}","{'ENSG00000067057': ('ENSG00000067057', 0.006042296072507554, 0.4), 'ENSG00000141959': ('ENSG00000141959', 0.9531722054380665, 63.1), 'ENSG00000152556': ('ENSG00000152556', 0.04078549848942598, 2.7)}"
"('MAR04301', 'ENSG00000067057 or ENSG00000141959 or ENSG00000152556')","{'ENSG00000067057': ('ENSG00000067057', 0.21402356577168244, 110.8), 'ENSG00000141959': ('ENSG00000141959', 0.014293992659841607, 7.4), 'ENSG00000152556': ('ENSG00000152556', 0.7716824415684759, 399.5)}","{'ENSG00000067057': ('ENSG00000067057', 0.17397454031117396, 24.6), 'ENSG00000141959': ('ENSG00000141959', 0.49999999999999994, 70.7), 'ENSG00000152556': ('ENSG00000152556', 0.326025459688826, 46.1)}","{'ENSG00000067057': ('ENSG00000067057', 0.34866310160427805, 32.6), 'ENSG00000141959': ('ENSG00000141959', 0.5155080213903743, 48.2), 'ENSG00000152556': ('ENSG00000152556', 0.13582887700534757, 12.7)}","{'ENSG00000067057': ('ENSG00000067057', 0.006042296072507554, 0.4), 'ENSG00000141959': ('ENSG00000141959', 0.9531722054380665, 63.1), 'ENSG00000152556': ('ENSG00000152556', 0.04078549848942598, 2.7)}"
"('MAR04355', 'ENSG00000109107 or ENSG00000136872')","{'ENSG00000109107': ('ENSG00000109107', 0.9860627177700348, 28.3), 'ENSG00000136872': ('ENSG00000136872', 0.013937282229965159, 0.4)}","{'ENSG00000109107': ('ENSG00000109107', 0.012927439532944122, 3.1), 'ENSG00000136872': ('ENSG00000136872', 0.9870725604670559, 236.7)}","{'ENSG00000109107': ('ENSG00000109107', 0.4592274678111588, 10.7), 'ENSG00000136872': ('ENSG00000136872', 0.5407725321888412, 12.6)}","{'ENSG00000109107': ('ENSG00000109107', 0.025274886380296145, 86.2), 'ENSG00000136872': ('ENSG00000136872', 0.9747251136197039, 3324.3)}"
"('MAR04358', 'ENSG00000067225 or ENSG00000143627')","{'ENSG00000067225': ('ENSG00000067225', 1, 298.0)}","{'ENSG00000067225': ('ENSG00000067225', 1, 528.6)}","{'ENSG00000067225': ('ENSG00000067225', 1, 180.0)}","{'ENSG00000067225': ('ENSG00000067225', 1, 3.8)}"
"('MAR04360', 'ENSG00000180011')","{'ENSG00000180011': ('ENSG00000180011', 1, 62.2)}","{'ENSG00000180011': ('ENSG00000180011', 1, 21.5)}","{'ENSG00000180011': ('ENSG00000180011', 1, 22.0)}","{'ENSG00000180011': ('ENSG00000180011', 1, 24.1)}"
"('MAR04363', 'ENSG00000074800 or ENSG00000108515 or ENSG00000111674')","{'ENSG00000074800': ('ENSG00000074800', 1, 72.0)}","{'ENSG00000074800': ('ENSG00000074800', 1, 670.0)}","{'ENSG00000074800': ('ENSG00000074800', 1, 273.2)}","{'ENSG00000074800': ('ENSG00000074800', 1, 357.8)}"
"('MAR04365', 'ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784')","{'ENSG00000164708': ('ENSG00000164708', 0.5201654601861427, 150.9), 'ENSG00000171314': ('ENSG00000171314', 0.3722854188210962, 108.0), 'ENSG00000172331': ('ENSG00000172331', 0.10754912099276112, 31.2)}","{'ENSG00000164708': ('ENSG00000164708', 0.06900420757363254, 24.6), 'ENSG00000171314': ('ENSG00000171314', 0.6723702664796634, 239.7), 'ENSG00000172331': ('ENSG00000172331', 0.25862552594670407, 92.2)}","{'ENSG00000164708': ('ENSG00000164708', 0.014842300556586273, 1.6), 'ENSG00000171314': ('ENSG00000171314', 0.8413729128014843, 90.7), 'ENSG00000172331': ('ENSG00000172331', 0.1437847866419295, 15.5)}","{'ENSG00000164708': ('ENSG00000164708', 0.007272727272727274, 1.0), 'ENSG00000171314': ('ENSG00000171314', 0.9629090909090909, 132.4), 'ENSG00000172331': ('ENSG00000172331', 0.029818181818181817, 4.1)}"
"('MAR04368', 'ENSG00000096006 or ENSG00000102144 or ENSG00000170950')","{'ENSG00000102144': ('ENSG00000102144', 1, 532.8)}","{'ENSG00000102144': ('ENSG00000102144', 1, 344.2)}","{'ENSG00000102144': ('ENSG00000102144', 1, 168.7)}","{'ENSG00000102144': ('ENSG00000102144', 1, 211.4)}"
"('MAR04370', 'ENSG00000119640 or ENSG00000170634')","{'ENSG00000119640': ('ENSG00000119640', 0.06847068470684707, 16.7), 'ENSG00000170634': ('ENSG00000170634', 0.931529315293153, 227.2)}","{'ENSG00000119640': ('ENSG00000119640', 0.4689725330620549, 46.1), 'ENSG00000170634': ('ENSG00000170634', 0.531027466937945, 52.2)}","{'ENSG00000119640': ('ENSG00000119640', 0.5034642032332564, 21.8), 'ENSG00000170634': ('ENSG00000170634', 0.4965357967667437, 21.5)}","{'ENSG00000119640': ('ENSG00000119640', 0.05527123848515865, 5.4), 'ENSG00000170634': ('ENSG00000170634', 0.9447287615148413, 92.3)}"
"('MAR04371', 'ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784')","{'ENSG00000164708': ('ENSG00000164708', 0.5201654601861427, 150.9), 'ENSG00000171314': ('ENSG00000171314', 0.3722854188210962, 108.0), 'ENSG00000172331': ('ENSG00000172331', 0.10754912099276112, 31.2)}","{'ENSG00000164708': ('ENSG00000164708', 0.06900420757363254, 24.6), 'ENSG00000171314': ('ENSG00000171314', 0.6723702664796634, 239.7), 'ENSG00000172331': ('ENSG00000172331', 0.25862552594670407, 92.2)}","{'ENSG00000164708': ('ENSG00000164708', 0.014842300556586273, 1.6), 'ENSG00000171314': ('ENSG00000171314', 0.8413729128014843, 90.7), 'ENSG00000172331': ('ENSG00000172331', 0.1437847866419295, 15.5)}","{'ENSG00000164708': ('ENSG00000164708', 0.007272727272727274, 1.0), 'ENSG00000171314': ('ENSG00000171314', 0.9629090909090909, 132.4), 'ENSG00000172331': ('ENSG00000172331', 0.029818181818181817, 4.1)}"
"('MAR04372', 'ENSG00000119640 or ENSG00000170634')","{'ENSG00000119640': ('ENSG00000119640', 0.06847068470684707, 16.7), 'ENSG00000170634': ('ENSG00000170634', 0.931529315293153, 227.2)}","{'ENSG00000119640': ('ENSG00000119640', 0.4689725330620549, 46.1), 'ENSG00000170634': ('ENSG00000170634', 0.531027466937945, 52.2)}","{'ENSG00000119640': ('ENSG00000119640', 0.5034642032332564, 21.8), 'ENSG00000170634': ('ENSG00000170634', 0.4965357967667437, 21.5)}","{'ENSG00000119640': ('ENSG00000119640', 0.05527123848515865, 5.4), 'ENSG00000170634': ('ENSG00000170634', 0.9447287615148413, 92.3)}"
"('MAR04373', 'ENSG00000105679 or ENSG00000111640')","{'ENSG00000111640': ('ENSG00000111640', 1, 555.1)}","{'ENSG00000111640': ('ENSG00000111640', 1, 2695.4)}","{'ENSG00000111640': ('ENSG00000111640', 1, 1406.1)}","{'ENSG00000111640': ('ENSG00000111640', 1, 2146.8)}"
"('MAR04375', 'ENSG00000109107 or ENSG00000136872 or ENSG00000149925')","{'ENSG00000109107': ('ENSG00000109107', 0.721938775510204, 28.3), 'ENSG00000136872': ('ENSG00000136872', 0.010204081632653062, 0.4), 'ENSG00000149925': ('ENSG00000149925', 0.26785714285714285, 10.5)}","{'ENSG00000109107': ('ENSG00000109107', 0.009250969859743361, 3.1), 'ENSG00000136872': ('ENSG00000136872', 0.7063563115487915, 236.7), 'ENSG00000149925': ('ENSG00000149925', 0.28439271859146525, 95.3)}","{'ENSG00000109107': ('ENSG00000109107', 0.18673647469458987, 10.7), 'ENSG00000136872': ('ENSG00000136872', 0.21989528795811517, 12.6), 'ENSG00000149925': ('ENSG00000149925', 0.5933682373472949, 34.0)}","{'ENSG00000109107': ('ENSG00000109107', 0.025241581259150804, 86.2), 'ENSG00000136872': ('ENSG00000136872', 0.9734407027818448, 3324.3), 'ENSG00000149925': ('ENSG00000149925', 0.0013177159590043923, 4.5)}"
"('MAR04377', 'ENSG00000130957 or ENSG00000165140')","{'ENSG00000165140': ('ENSG00000165140', 1, 0.2)}","{'ENSG00000165140': ('ENSG00000165140', 1, 58.4)}","{'ENSG00000165140': ('ENSG00000165140', 1, 4.4)}","{'ENSG00000165140': ('ENSG00000165140', 1, 590.8)}"
"('MAR04381', 'ENSG00000105220')","{'ENSG00000105220': ('ENSG00000105220', 1, 252.1)}","{'ENSG00000105220': ('ENSG00000105220', 1, 83.0)}","{'ENSG00000105220': ('ENSG00000105220', 1, 45.0)}","{'ENSG00000105220': ('ENSG00000105220', 1, 106.6)}"
"('MAR04391', 'ENSG00000111669')","{'ENSG00000111669': ('ENSG00000111669', 1, 619.7)}","{'ENSG00000111669': ('ENSG00000111669', 1, 1189.4)}","{'ENSG00000111669': ('ENSG00000111669', 1, 309.7)}","{'ENSG00000111669': ('ENSG00000111669', 1, 608.4)}"
"('MAR04394', 'ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883')","{'ENSG00000156515': ('ENSG00000156515', 1, 137.2)}","{'ENSG00000156515': ('ENSG00000156515', 1, 18.4)}","{'ENSG00000156515': ('ENSG00000156515', 1, 34.2)}","{'ENSG00000156515': ('ENSG00000156515', 1, 0.6)}"
"('MAR04396', 'ENSG00000079739 or ENSG00000169299')","{'ENSG00000079739': ('ENSG00000079739', 0.9564134495641345, 153.6), 'ENSG00000169299': ('ENSG00000169299', 0.043586550435865505, 7.0)}","{'ENSG00000079739': ('ENSG00000079739', 0.8953687821612349, 52.2), 'ENSG00000169299': ('ENSG00000169299', 0.104631217838765, 6.1)}","{'ENSG00000079739': ('ENSG00000079739', 0.33957219251336895, 12.7), 'ENSG00000169299': ('ENSG00000169299', 0.660427807486631, 24.7)}","{'ENSG00000079739': ('ENSG00000079739', 0.9517857142857142, 213.2), 'ENSG00000169299': ('ENSG00000169299', 0.048214285714285716, 10.8)}"
"('MAR04521', 'ENSG00000131482 or ENSG00000141349 or ENSG00000152254')","{'ENSG00000141349': ('ENSG00000141349', 1, 6.3)}","{'ENSG00000141349': ('ENSG00000141349', 1, 9.2)}","{'ENSG00000141349': ('ENSG00000141349', 1, 25.0)}","{'ENSG00000141349': ('ENSG00000141349', 1, 5.8)}"
"('MAR06412', 'ENSG00000110435 and ENSG00000150768')","{'ENSG00000110435': ('ENSG00000110435', 1, 138.6), 'ENSG00000150768': ('ENSG00000150768', 1, 67.3)}","{'ENSG00000110435': ('ENSG00000110435', 1, 46.1), 'ENSG00000150768': ('ENSG00000150768', 1, 49.2)}","{'ENSG00000110435': ('ENSG00000110435', 1, 11.5), 'ENSG00000150768': ('ENSG00000150768', 1, 9.5)}","{'ENSG00000110435': ('ENSG00000110435', 1, 23.1), 'ENSG00000150768': ('ENSG00000150768', 1, 15.3)}"
