,gene_contribution
ENSG00000000003,0.0
ENSG00000000419,1.69375
ENSG00000002549,1.728495575221239
ENSG00000004455,0.4861193798491048
ENSG00000004478,0.017449890517096167
ENSG00000004779,1.0
ENSG00000004799,0.6265316995205115
ENSG00000004864,2.990208877284595
ENSG00000004939,1.0472727272727274
ENSG00000004961,1.0
ENSG00000005022,0.5842008573178199
ENSG00000005075,2.0
ENSG00000005187,1.3748085758039816
ENSG00000005339,0.050511508951406645
ENSG00000005469,12.359477124183007
ENSG00000005810,0.009094014174707543
ENSG00000005882,0.3068726691529036
ENSG00000006007,1.0
ENSG00000006530,6.0
ENSG00000006625,3.6416666666666666
ENSG00000006695,3.1246246246246248
ENSG00000006756,1.1856963613550815
ENSG00000006757,4.712143201152785
ENSG00000007168,0.6125244618395302
ENSG00000007541,0.1422680412371134
ENSG00000007944,0.0002134745111433694
ENSG00000008130,1.0
ENSG00000008394,51.03533775711732
ENSG00000008513,10.059642147117295
ENSG00000009335,0.008432243190163094
ENSG00000009413,0.08882309400444117
ENSG00000010256,1.0
ENSG00000010379,2.0
ENSG00000010404,3.0
ENSG00000010932,1.0022388059701492
ENSG00000011009,0.28101644245142
ENSG00000011198,0.5369127516778525
ENSG00000011275,0.0026897788404064544
ENSG00000011405,5.0
ENSG00000012232,4.373493975903615
ENSG00000012660,23.93245639012819
ENSG00000012963,0.0019853129536333367
ENSG00000013375,1.0
ENSG00000013392,1.0
ENSG00000013503,2.0
ENSG00000013561,0.006276150627615062
ENSG00000014641,2.0
ENSG00000016391,2.0208531755977743
ENSG00000016864,0.42173913043478256
ENSG00000017260,0.18906605922551253
ENSG00000017797,2.0
ENSG00000018280,0.023420865862313695
ENSG00000018510,1.0
ENSG00000023041,0.059604443240314255
ENSG00000023228,1.0
ENSG00000023330,3.0
ENSG00000023572,0.14388243335611756
ENSG00000023697,1.0
ENSG00000023909,1.0
ENSG00000024048,0.006404235334301086
ENSG00000025708,1.0
ENSG00000025800,0.6557377049180327
ENSG00000027847,1.1728260869565217
ENSG00000030066,1.04
ENSG00000031698,1.0
ENSG00000033100,0.49523809523809526
ENSG00000033178,0.004803176500725812
ENSG00000033627,0.08411020139434146
ENSG00000033867,1.2424242424242422
ENSG00000034677,0.008047989070105023
ENSG00000035687,0.6647398843930636
ENSG00000036530,2.0
ENSG00000036672,0.02494826396872844
ENSG00000037897,1.0
ENSG00000038002,4.0
ENSG00000038210,1.5175438596491229
ENSG00000038274,1.1735015772870663
ENSG00000039123,0.05952380952380953
ENSG00000039650,1.0
ENSG00000040933,3.0
ENSG00000041880,0.04137931034482758
ENSG00000043514,1.0
ENSG00000047230,2.0
ENSG00000047249,0.05834305717619603
ENSG00000047315,2.0
ENSG00000047410,1.0
ENSG00000048392,3.5
ENSG00000049759,0.009542310648108607
ENSG00000049860,35.31358372210417
ENSG00000051382,0.991549295774648
ENSG00000052802,13.895110258868648
ENSG00000053371,4.976003801377999
ENSG00000054148,2.316917411947806
ENSG00000054267,0.39639639639639634
ENSG00000055483,0.014830995631179572
ENSG00000055609,0.3201344917908717
ENSG00000058600,2.0
ENSG00000059377,2.0
ENSG00000059378,0.05172413793103448
ENSG00000060642,2.1619565217391306
ENSG00000060762,1.3802723347725008
ENSG00000060971,140.96054901690943
ENSG00000061918,0.037470725995316166
ENSG00000062485,1.0
ENSG00000063176,3.3553113553113554
ENSG00000063854,1.9966258962463095
ENSG00000064225,4.0
ENSG00000064601,32.55393071254619
ENSG00000065154,1.0
ENSG00000065427,1.0
ENSG00000065518,1.0
ENSG00000065534,1.0
ENSG00000065615,0.04172821270310192
ENSG00000065621,0.03065520919652252
ENSG00000066322,44.24281984334203
ENSG00000066379,2.0
ENSG00000066651,0.7391304347826086
ENSG00000066926,1.0
ENSG00000067057,0.03021148036253777
ENSG00000067064,2.0
ENSG00000067113,2.0897071248146055
ENSG00000067225,7.0
ENSG00000067829,1.9081225033288942
ENSG00000067992,0.06659563132658498
ENSG00000068001,0.19392741273066386
ENSG00000068120,4.0
ENSG00000068308,0.021959071050816275
ENSG00000068366,4.502218008968063
ENSG00000068650,15.0
ENSG00000068745,1.85278276481149
ENSG00000068903,0.1969860064585576
ENSG00000069248,1.04
ENSG00000069535,7.123459772892005
ENSG00000069849,5.7977736549165135e-05
ENSG00000070214,0.9770674079221681
ENSG00000070423,0.004696439245154128
ENSG00000070501,0.10880829015544044
ENSG00000070610,2.0
ENSG00000070614,1.8046462513199577
ENSG00000070950,0.000789855691230467
ENSG00000071073,0.18160651920838186
ENSG00000071553,0.10764294049008168
ENSG00000071794,0.003799846298351982
ENSG00000072210,30.776510636253786
ENSG00000072401,0.003778498847237638
ENSG00000072506,59.671527340568566
ENSG00000072609,0.001686448638032618
ENSG00000072682,2.0107686095032977
ENSG00000072756,0.026504941599281226
ENSG00000072778,59.42173119533936
ENSG00000073060,3.0
ENSG00000073578,1.0
ENSG00000074416,8.82247874358894
ENSG00000074696,9.50232126276695
ENSG00000074800,1.0
ENSG00000075188,1.04
ENSG00000075239,3.0
ENSG00000075415,2.0
ENSG00000075975,0.001686448638032618
