,sample_1,sample_2,sample_3
MAR03905,300.9,4942.9,139.5
MAR03907,51.9,315.0,39.0
MAR04097,38.4,108.1,19.5
MAR04099,96.89999999999999,53.8,25.299999999999997
MAR04108,38.4,108.1,19.5
MAR04133,38.4,108.1,19.5
MAR04281_f,2750.2000000000003,562.8,499.6
MAR04388_f,2750.2000000000003,562.8,499.6
MAR04283,2.4,2.1,6.9
MAR08357,613.6,1478.0,213.79999999999998
MAR04379,517.7,66.2,278.2
MAR04301,517.7,66.2,278.2
MAR04355,28.3,86.2,1.0
MAR04358,298.0,3.8,485.0
MAR04360,62.2,24.1,23.4
MAR04363_f,970.8000000000001,407.6,2811.2000000000003
MAR04365_f,290.09999999999997,137.5,843.1
MAR04368_f,532.8,211.4,148.3
MAR04370,243.89999999999998,97.7,152.3
MAR04371,290.09999999999997,137.5,843.1
MAR04372,243.89999999999998,97.7,152.3
MAR04373_f,555.1,2146.8,5935.8
MAR04375_f,38.8,90.7,81.0
MAR04377,-1.0,-1.0,-1.0
MAR04381_f,252.1,106.6,70.3
MAR04391_f,619.7,608.4,471.3
MAR04394,151.29999999999998,0.8999999999999999,43.9
MAR04396_f,160.6,224.0,388.29999999999995
MAR04521,6.3,5.8,5.9
MAR06412,67.3,15.3,17.6
MAR07745_f,19.5,51.6,16.6
MAR07747,3.1,19.3,6.8
MAR08360,66.3,435.1,43.9
MAR08652,6.3,5.8,5.9
MAR08757,-1.0,-1.0,-1.0
MAR03989,30.5,33.4,146.4
MAR04122,10.1,239.0,11.7
MAR04837,3.0,11.899999999999999,3.0
MAR05395,272.4,13.8,146.4
MAR05396,327.59999999999997,18.0,171.8
MAR09727,391.09999999999997,223.9,148.3
MAR05397,91.4,64.9,94.7
MAR05398,79.0,63.5,19.6
MAR05399,147.9,91.0,274.2
MAR05400,147.9,91.0,274.2
MAR05401,79.0,63.5,19.6
MAR08568,6.6,4.3,4.9
MAR08569,6.6,4.3,4.9
MAR08570,6.6,4.3,4.9
MAR08571,6.6,4.3,4.9
MAR08572,6.6,4.3,4.9
MAR08573,6.6,4.3,4.9
MAR08574,6.6,4.3,4.9
MAR08575,6.6,4.3,4.9
MAR08576,6.6,4.3,4.9
MAR08577,6.6,4.3,4.9
MAR08578,6.6,4.3,4.9
MAR08579,6.6,4.3,4.9
MAR08581,6.6,4.3,4.9
MAR08591,9.4,11.1,33.2
MAR08592,17.7,18.7,8.8
MAR08580,6.6,4.3,4.9
MAR08582,6.6,4.3,4.9
MAR08587,9.4,11.1,33.2
MAR08589,17.7,18.7,8.8
MAR08583,-1.0,-1.0,-1.0
MAR08584,-1.0,-1.0,-1.0
MAR08585,5.9,0.9,29.3
MAR03944,378.4,597.8,180.5
MAR04128_f,3.4,40.8,3.9
MAR04130,19.2,144.8,35.1
MAR04131_f,25.2,74.8,15.6
MAR04132,25.2,74.8,15.6
MAR04303,27.1,29.799999999999997,42.0
MAR04414,31.5,151.5,46.8
MAR04415,1.3,0.9,1.0
MAR04416,228.6,626.5,53.7
MAR04774_f,517.7,66.2,278.2
MAR04775_f,517.7,66.2,278.2
MAR04831_f,-1.0,-1.0,-1.0
MAR04832_f,1.3,0.9,1.0
MAR07674,52.699999999999996,191.7,22.5
MAR08761,1.4,387.6,2.9
MAR08762_f,38.8,90.7,81.0
MAR08764,-1.0,-1.0,-1.0
MAR08766_f,274.5,79.4,103.39999999999999
MAR08767,25.2,74.8,15.6
MAR00454,-1.0,-1.0,-1.0
MAR04297,107.6,25.0,124.9
MAR04310,1.4,387.6,2.9
MAR04315_f,-1.0,-1.0,-1.0
MAR04316_f,274.5,79.4,103.39999999999999
MAR04317,107.89999999999999,201.9,251.8
MAR04318,107.89999999999999,201.9,251.8
MAR04319,151.29999999999998,0.8999999999999999,43.9
MAR04320,107.89999999999999,201.9,251.8
MAR04356,38.8,90.7,81.0
MAR04383_f,39.5,18.8,12.7
MAR04385,20.2,142.2,24.4
MAR04386,6.3,49.7,30.3
MAR04387,5.6,27.1,8.8
MAR04399,2.8,17.1,3.9
MAR04400,11.4,73.0,4.9
MAR04401,7.8,9.3,4.9
MAR04402_f,2.5,7.1,1.0
MAR04403,-1.0,-1.0,-1.0
MAR04490,151.29999999999998,0.8999999999999999,43.9
MAR04706,110.1,26.9,125.9
MAR08768,11.4,73.0,4.9
MAR04590,152.5,4143.6,108.3
MAR04591,23.5,113.6,17.6
MAR04592_f,274.5,79.4,103.39999999999999
MAR04593,-1.0,-1.0,-1.0
MAR04594,-1.0,-1.0,-1.0
MAR04595_f,1.5,50.2,2.0
MAR08341,344.4,420.9,173.6
MAR08342_f,-1.0,-1.0,-1.0
MAR08344_f,51.9,315.0,39.0
MAR08352_f,9.9,334.2,16.6
MAR08353_f,-1.0,-1.0,-1.0
MAR08726,6.6,37.7,6.8
MAR08727,20.7,75.8,12.7
MAR08728,-1.0,-1.0,-1.0
MAR08729,22.5,11.3,24.4
MAR06537_f,51.9,315.0,39.0
MAR01568,2.4,2.1,6.9
MAR03853,209.6,189.60000000000002,93.7
MAR03854,274.5,79.4,103.39999999999999
MAR03855,274.5,79.4,103.39999999999999
MAR03857,107.2,237.1,71.3
MAR03859,28.5,88.1,23.4
MAR04087,179.0,12.2,39.0
MAR04089,58.3,19.7,7.800000000000001
MAR04091,179.0,12.2,39.0
MAR04093,-1.0,-1.0,-1.0
MAR04095,-1.0,-1.0,-1.0
MAR04101,-1.0,-1.0,-1.0
MAR04103,0.6,307.6,1.0
MAR04143,2.1,162.6,4.9
MAR04193,298.0,3.8,485.0
MAR08497,344.4,420.9,173.6
MAR08498,-1.0,-1.0,-1.0
MAR08499,-1.0,-1.0,-1.0
MAR08500,344.4,420.9,173.6
MAR08501,103.0,949.2,66.4
MAR08502_f,238.7,4918.799999999999,116.1
MAR08503,188.5,382.7,136.7
MAR08504,613.6,1478.0,213.79999999999998
MAR08506,613.6,1478.0,213.79999999999998
MAR08507,300.9,4942.9,139.5
MAR08508,300.9,4942.9,139.5
MAR08509,344.4,420.9,173.6
MAR08511,107.2,237.1,71.3
MAR08512_f,28.3,88.0,22.4
MAR08514,28.5,88.1,23.4
MAR08516,55.0,20.4,12.7
MAR08517,-1.0,-1.0,-1.0
MAR04280_f,2410.3,11.4,95.6
MAR00153,135.3,161.9,44.8
MAR03212,820.5999999999999,1012.8999999999999,192.2
MAR03797,135.3,161.9,44.8
MAR03800,27.9,40.9,5.9
MAR04105,110.3,43.4,47.8
MAR04106,110.3,43.4,47.8
MAR04107,110.3,43.4,47.8
MAR04282,103.6,540.4,37.1
MAR04331_f,135.3,161.9,44.8
MAR04459,135.3,161.9,44.8
MAR04460,135.3,161.9,44.8
MAR04464,-1.0,-1.0,-1.0
MAR04497,3.1,825.3,2.0
MAR04741,26.0,135.3,48.8
MAR08078,-1.0,-1.0,-1.0
MAR09803_f,-1.0,-1.0,-1.0
MAR09804_f,484.00000000000006,1977.5999999999997,191.40000000000006
MAR00718,17.3,11.0,12.7
MAR00719,2.4,115.2,3.9
MAR01434_f,1.9,225.1,9.8
MAR01436,6.5,3.3,2.0
MAR03163,820.5999999999999,1012.8999999999999,192.2
MAR04461_f,63.7,208.0,19.5
MAR04604,16.8,441.9,11.7
