,reaction_expression
MAR03905,69.5
MAR03907,141.4
MAR04097,15.3
MAR04099,13.200000000000001
MAR04108,15.3
MAR04133,15.3
MAR04281_f,506.9
MAR04388_f,509.2
MAR04283,35.5
MAR08357,278.0
MAR04379,79.1
MAR04301,79.1
MAR04355,3.3
MAR04358,470.8
MAR04360,18.7
MAR04363_f,447.6
MAR04365_f,126.69999999999999
MAR04368_f,295.7
MAR04370,34.5
MAR04371,126.69999999999999
MAR04372,34.5
MAR04373_f,1814.7
MAR04375_f,136.3
MAR04377,-1.0
MAR04381_f,64.1
MAR04391_f,444.5
MAR04394,112.7
MAR04396_f,38.6
MAR04521,-1.0
MAR06412,10.8
MAR07745_f,32.4
MAR07747,73.2
MAR08360,105.1
MAR08652,-1.0
MAR08757,0.5
MAR03989,97.30000000000001
MAR04122,13.5
MAR04837,10.3
MAR05395,49.1
MAR05396,57.0
MAR09727,25.200000000000003
MAR05397,16.8
MAR05398,62.7
MAR05399,13.9
MAR05400,13.9
MAR05401,62.7
MAR08568,7.0
MAR08569,7.0
MAR08570,7.0
MAR08571,7.0
MAR08572,7.0
MAR08573,7.0
MAR08574,7.0
MAR08575,7.0
MAR08576,7.0
MAR08577,7.0
MAR08578,7.0
MAR08579,7.0
MAR08581,7.0
MAR08591,11.5
MAR08592,81.4
MAR08580,7.0
MAR08582,7.0
MAR08587,11.5
MAR08589,81.4
MAR08583,-1.0
MAR08584,-1.0
MAR08585,12.9
MAR03944,85.4
MAR04128_f,12.9
MAR04130,11.8
MAR04131_f,12.2
MAR04132,12.2
MAR04303,92.9
MAR04414,12.9
MAR04415,4.8
MAR04416,233.3
MAR04774_f,79.1
MAR04775_f,79.1
MAR04831_f,-1.0
MAR04832_f,4.8
MAR07674,146.4
MAR08761,-1.0
MAR08762_f,136.3
MAR08764,-1.0
MAR08766_f,146.4
MAR08767,12.2
MAR00454,-1.0
MAR04297,152.0
MAR04310,-1.0
MAR04315_f,7.3
MAR04316_f,146.4
MAR04317,45.099999999999994
MAR04318,45.099999999999994
MAR04319,112.6
MAR04320,45.099999999999994
MAR04356,136.3
MAR04383_f,7.1
MAR04385,38.6
MAR04386,21.7
MAR04387,15.5
MAR04399,11.7
MAR04400,28.4
MAR04401,-1.0
MAR04402_f,4.2
MAR04403,-1.0
MAR04490,112.6
MAR04706,166.4
MAR08768,28.4
MAR04590,77.2
MAR04591,10.9
MAR04592_f,146.4
MAR04593,7.3
MAR04594,-1.0
MAR04595_f,2.5
MAR08341,332.5
MAR08342_f,-1.0
MAR08344_f,141.4
MAR08352_f,40.9
MAR08353_f,-1.0
MAR08726,13.1
MAR08727,39.6
MAR08728,-1.0
MAR08729,21.2
MAR06537_f,141.4
MAR01568,35.5
MAR03853,102.2
MAR03854,146.4
MAR03855,146.4
MAR03857,56.9
MAR03859,3.4000000000000004
MAR04087,74.3
MAR04089,30.2
MAR04091,74.3
MAR04093,-1.0
MAR04095,-1.0
MAR04101,-1.0
MAR04103,16.3
MAR04143,3.7
MAR04193,470.8
MAR08497,332.5
MAR08498,0.5
MAR08499,0.5
MAR08500,332.5
MAR08501,48.9
MAR08502_f,50.8
MAR08503,121.69999999999999
MAR08504,278.0
MAR08506,278.0
MAR08507,69.5
MAR08508,69.5
MAR08509,332.5
MAR08511,56.9
MAR08512_f,2.7
MAR08514,3.4000000000000004
MAR08516,8.1
MAR08517,-1.0
MAR04280_f,146.2
MAR00153,28.5
MAR03212,72.3
MAR03797,28.5
MAR03800,4.1
MAR04105,8.8
MAR04106,8.8
MAR04107,8.8
MAR04282,12.8
MAR04331_f,28.5
MAR04459,28.5
MAR04460,28.5
MAR04464,-1.0
MAR04497,9.3
MAR04741,14.9
MAR08078,-1.0
MAR09803_f,-1.0
MAR09804_f,341.9
MAR00718,1.8
MAR00719,5.5
MAR01434_f,22.9
MAR01436,5.6
MAR03163,72.3
MAR04461_f,15.7
MAR04604,34.5
MAR05351_f,148.5
MAR07709_f,12.4
MAR04052,59.900000000000006
MAR04304,53.9
MAR04350_f,13.1
MAR04351_f,22.6
MAR04352_f,22.6
MAR04354_f,25.3
MAR04398_f,31.9
MAR04404_f,353.3
MAR04473,157.3
MAR04474,157.3
MAR04476_f,7.1
MAR04477_f,21.1
MAR04501_f,353.3
MAR04565_f,292.9
MAR04567,79.1
MAR09799_f,2.2
MAR09800_f,-1.0
MAR04623,18.8
MAR04625,192.2
MAR04710_f,25.3
MAR04841_f,35.5
MAR08074,13.1
MAR08653_f,211.0
MAR03998,117.1
MAR04000,69.5
MAR04002_f,125.80000000000001
MAR04004_f,125.80000000000001
MAR04010,142.2
MAR04081,142.2
MAR04082,142.2
MAR04012,81.1
MAR04014,357.9
MAR04020_f,266.8
MAR04022,69.5
MAR04038_f,21.9
MAR04040,93.8
MAR04042,53.599999999999994
MAR04046,24.2
MAR04048,357.9
MAR04080,69.3
MAR04085,219.3
MAR04086,219.3
MAR04134,117.1
MAR04135_f,266.8
MAR04168,47.3
MAR04171,470.8
MAR04290,61.7
MAR04406,5.2
MAR04412_f,99.0
MAR04417,142.2
MAR04418,51.5
MAR04419,37.4
MAR04421,470.8
MAR04449,142.2
MAR04450,142.2
MAR04451,-1.0
MAR04452,51.5
MAR04453,24.2
MAR04480_f,290.2
MAR04481,161.3
MAR04482,161.3
MAR04486,112.6
MAR04487,112.6
MAR04488,112.6
MAR04489,112.6
MAR04492,112.6
MAR04493,112.6
MAR04495,112.6
MAR04496,112.6
MAR04518,0.7
MAR04519,-1.0
MAR04520,-1.0
MAR04573,470.8
MAR04574_f,92.9
MAR04600,71.7
MAR04602,142.2
MAR04603_f,92.9
MAR04611,28.6
MAR04612,28.6
MAR04614,28.6
MAR04615,28.6
MAR04617,28.6
MAR04618,28.6
MAR04619,28.6
MAR04621,28.6
MAR04632,142.2
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651_f,92.9
MAR04663_f,92.9
MAR04664,51.5
MAR04694,161.3
MAR04695_f,92.9
MAR04705,142.2
MAR04709_f,92.9
MAR04799,19.0
MAR04802,19.0
MAR04804_f,16.7
MAR04808,3.6
MAR04810,16.7
MAR04812_f,99.0
MAR04814_f,21.9
MAR05301,32.7
MAR05353_f,266.8
MAR06601,-1.0
MAR06602_f,153.2
MAR06603_f,153.2
MAR06605_f,-1.0
MAR06606_f,-1.0
MAR06607_f,-1.0
MAR06609_f,-1.0
MAR06610,-1.0
MAR06611_f,-1.0
MAR07144,64.4
MAR08755,-1.0
MAR09797,-1.0
MAR04016_f,127.0
MAR04018_f,127.0
MAR04044_f,127.0
MAR04291_f,127.0
MAR04420,127.0
MAR04570_f,127.0
MAR04572,127.0
MAR04006_f,127.0
MAR04028_f,127.0
MAR04030_f,127.0
MAR04670_f,127.0
MAR04673_f,127.0
MAR04675,127.0
MAR06614_f,127.0
MAR06615_f,127.0
MAR06616_f,127.0
MAR04635_f,127.0
MAR03793_f,-1.0
MAR03931,68.9
MAR03969,19.0
MAR03970,132.29999999999998
MAR04008_f,94.5
MAR04032,13.299999999999999
MAR04034,4.4
MAR04036,10.3
MAR04050_f,4.4
MAR04056,142.2
MAR04059,117.1
MAR04060,117.1
MAR04127,44.6
MAR04177,142.2
MAR04179,142.2
MAR04182,45.099999999999994
MAR04183,61.7
MAR04192,61.7
MAR04194,13.299999999999999
MAR04210,470.8
MAR04211,47.3
MAR04343,9.8
MAR04345_f,78.3
MAR04346,137.6
MAR04470,78.3
MAR04471,78.3
MAR04472,78.3
MAR04484,142.2
MAR04485_f,541.4
MAR04510,142.2
MAR04512_f,94.5
MAR04513,49.8
MAR04514,33.8
MAR04577,10.3
MAR04579_f,194.5
MAR04580,33.8
MAR04608_f,4.4
MAR04575_f,3.5
MAR04637_f,21.4
MAR04642,58.0
MAR04643,141.5
MAR04644_f,11.5
MAR04672,-1.0
MAR04676,32.7
MAR04736,1.6
MAR04819,-1.0
MAR05299,32.7
MAR05352,32.7
MAR05415,28.6
MAR05416,28.6
MAR05417,85.0
MAR06612_f,21.4
MAR06613_f,21.4
MAR06621_f,28.6
MAR06622,28.6
MAR06623,-1.0
MAR06624,26.4
MAR06627_f,470.8
MAR07744_f,8.4
MAR08072,-1.0
MAR08637,-1.0
MAR03965,94.2
MAR03966,47.3
MAR03967_f,94.5
MAR03968_f,21.4
MAR03999,61.7
MAR04024_f,94.5
MAR04026_f,-1.0
MAR04054,-1.0
MAR04061,61.7
MAR04083,81.1
MAR04136,6832.9
MAR04180,32.7
MAR04185,112.8
MAR04186,112.8
MAR04342,117.1
MAR04344_f,-1.0
MAR04483,26.4
MAR04507,28.1
MAR04516,27.9
MAR04601,71.7
MAR04633,21.9
MAR04640,21.4
MAR04641,-1.0
MAR04680_f,194.5
MAR04806,19.0
MAR05394,-1.0
MAR06625,26.4
MAR06626,58.0
MAR07160,254.99999999999997
MAR07161,2.7
MAR07162,2.7
MAR07163,13.9
MAR07164,13.9
MAR07713,132.29999999999998
MAR07716,132.29999999999998
MAR07717,132.29999999999998
MAR07721,132.29999999999998
MAR07725,132.29999999999998
MAR07728,132.29999999999998
MAR07800_f,0.4
MAR07801_f,32.6
MAR07802_f,0.4
MAR07863_f,94.5
MAR07864_f,94.5
MAR07865_f,94.5
MAR07866_f,94.5
MAR07867_f,94.5
MAR07868_f,94.5
MAR07869_f,94.5
MAR07870_f,94.5
MAR07871_f,94.5
MAR07872_f,94.5
MAR07873_f,94.5
MAR07874_f,94.5
MAR07875_f,-1.0
MAR07876_f,94.5
MAR07878_f,127.0
MAR07879,47.3
MAR07880,57.3
MAR07881_f,-1.0
MAR07882_f,-1.0
MAR07883_f,131.6
MAR07884_f,-1.0
MAR07885_f,-1.0
MAR07886_f,131.6
MAR07887_f,-1.0
MAR07888_f,-1.0
MAR07889_f,-1.0
MAR07890_f,131.6
MAR07891_f,-1.0
MAR07892_f,-1.0
MAR07893_f,-1.0
MAR07894_f,131.6
MAR07895_f,131.6
MAR08083,357.9
MAR08085,357.9
MAR08087,357.9
MAR08443,64.4
MAR08444,64.4
MAR08445,32.7
MAR08446,-1.0
MAR08448_f,94.5
MAR08449_f,94.5
MAR08450_f,94.5
MAR08451_f,94.5
MAR08452_f,94.5
MAR08453_f,94.5
MAR08454_f,94.5
MAR08455_f,94.5
MAR08456_f,94.5
MAR08457_f,94.5
MAR08458_f,94.5
MAR08459_f,94.5
MAR08460_f,94.5
MAR08461_f,0.4
MAR08462_f,94.5
MAR08463_f,94.5
MAR08464_f,94.5
MAR08465_f,94.5
MAR08466_f,94.5
MAR08467_f,94.5
MAR08468_f,94.5
MAR08469_f,94.5
MAR08470_f,94.5
MAR08471_f,94.5
MAR08472_f,94.5
MAR08473,21.9
MAR08474,117.1
MAR08477_f,49.8
MAR08478_f,49.8
MAR08479_f,49.8
MAR08480,-1.0
MAR08481_f,-1.0
MAR08482,16.1
MAR08483,94.2
MAR08484,-1.0
MAR08485,49.5
MAR08486_f,92.9
MAR08487,27.400000000000002
MAR08488,47.3
MAR08489,47.3
MAR08493,30.7
MAR08494,30.7
MAR08495,30.7
MAR03802_f,89.2
MAR03804_f,89.2
MAR03811,7.3
MAR03813_f,24.3
MAR03822,4.4
MAR03827_f,16.1
MAR03829_f,12.3
MAR03862,20.2
MAR03865,16.1
MAR03870,29.2
MAR03873,0.3
MAR08654,0.3
MAR03890,733.6
MAR03892,109.7
MAR09802,0.4
MAR03899_f,0.9
MAR03903,0.3
MAR04109_f,3.0
MAR04114,28.2
MAR04115,28.2
MAR04118,29.2
MAR04172,20.2
MAR04196,-1.0
MAR04197,15.700000000000001
MAR04287,360.7
MAR04690,0.4
MAR04693_f,6.7
MAR06780,16.1
MAR06968_f,-1.0
MAR06969_f,0.6
MAR06970_f,0.9
MAR06971_f,41.7
MAR06972_f,41.7
MAR07641,-1.0
MAR07642_f,-1.0
MAR08626,0.9
MAR08628,0.6
MAR03806_f,4.4
MAR03807_f,51.5
MAR03809_f,-1.0
MAR03816,-1.0
MAR03819_f,4.4
MAR03820_f,4.4
MAR03832,-1.0
MAR03833,21.400000000000002
MAR03835,21.400000000000002
MAR03837,20.1
MAR03895,4.1
MAR03897,4.1
MAR03956_f,8.799999999999999
MAR03993,0.6
MAR04073,146.7
MAR04075,47.8
MAR04077,173.0
MAR04190_f,0.6
MAR04191,3.1
MAR04212,44.7
MAR04422,44.7
MAR04423,-1.0
MAR04424,2.2
MAR04583_f,12.6
MAR04605,278.0
MAR04606,-1.0
MAR04607,87.5
MAR04776,62.3
MAR04777,62.3
MAR04778,21.400000000000002
MAR04779,21.400000000000002
MAR04780,21.400000000000002
MAR04781,21.400000000000002
MAR04784,4.4
MAR04785,4.4
MAR04786,28.400000000000002
MAR04787,0.5
MAR05384,18.5
MAR06929_f,4160.9
MAR06930_f,4160.9
MAR06931,-1.0
MAR06932,-1.0
MAR06933,-1.0
MAR06934,-1.0
MAR06935,-1.0
MAR06936,-1.0
MAR06938_f,4160.9
MAR06939_f,4160.9
MAR06940_f,-1.0
MAR06941,-1.0
MAR06942,-1.0
MAR06943,-1.0
MAR06944,-1.0
MAR06945,-1.0
MAR06946,-1.0
MAR06947,-1.0
MAR06948,-1.0
MAR06949,-1.0
MAR06950,-1.0
MAR06951,-1.0
MAR06952,-1.0
MAR06953,65.9
MAR06954,65.9
MAR06955_f,-1.0
MAR06956_f,-1.0
MAR06957_f,-1.0
MAR06958,34.699999999999996
MAR06959,34.699999999999996
MAR06960_f,-1.0
MAR06961,34.699999999999996
MAR06962,34.699999999999996
MAR06963,34.699999999999996
MAR06964,34.699999999999996
MAR06965_f,17.6
MAR06966_f,17.6
MAR06967_f,17.6
MAR06973_f,65.9
MAR08096_f,4.4
MAR08097_f,4.4
MAR08098,16.1
MAR08416,-1.0
MAR08425_f,-1.0
MAR08426,8.5
MAR08427_f,35.3
MAR08431,-1.0
MAR08432,0.2
MAR08603,4160.9
MAR08604,12.0
MAR08605,278.0
MAR08606,-1.0
MAR08607,-1.0
MAR08608,-1.0
MAR08609,20.1
MAR08610,-1.0
MAR08611,0.1
MAR04285,1.8
MAR00457,8.2
MAR00460,8.2
MAR03750_f,-1.0
MAR03752_f,7.0
MAR03770_f,28.9
MAR03771_f,-1.0
MAR03772_f,-1.0
MAR03782_f,-1.0
MAR03784_f,7.0
MAR03794_f,-1.0
MAR03839_f,62.7
MAR03841_f,3.3
MAR03843,162.8
MAR03845_f,21.7
MAR03847_f,2.3
MAR03849,2.0
MAR03852,-1.0
MAR03856,48.9
MAR03860,-1.0
MAR03883,30.5
MAR03901,1.0
MAR03939_f,35.0
MAR03974,30.5
MAR04198,-1.0
MAR04199_f,-1.0
MAR04200,30.5
MAR04284,-1.0
MAR04348,27.5
MAR04466,17.5
MAR04467,-1.0
MAR04582_f,53.5
MAR04584_f,35.3
MAR04696,3.1
MAR04697,12.0
MAR04698,12.0
MAR04699,2.5
MAR04700_f,15.6
MAR04742,35.0
MAR04788,-1.0
MAR04789,-1.0
MAR04791,-1.0
MAR04792_f,22.5
MAR04937_f,7.699999999999999
MAR05392,20.5
MAR05393,10.9
MAR06409_f,35.1
MAR07702_f,48.9
MAR07703,-1.0
MAR08433,0.2
MAR08434,1.4
MAR08439,1.6
MAR08440,12.0
MAR08441,3.1
MAR08442,-1.0
MAR09718,-1.0
MAR09486,0.8
MAR04426_f,195.39999999999998
MAR04428,-1.0
MAR04429,132.5
MAR04430,12.0
MAR04431,35.5
MAR04437,-1.0
MAR04658_f,1.1
MAR04660,-1.0
MAR04712,-1.0
MAR05336_f,375.9
MAR05337_f,132.9
MAR05338,100.80000000000001
MAR05339_f,375.9
MAR05340,375.9
MAR08783,-1.0
MAR08784,278.0
MAR08786,203.8
MAR04239,20.2
MAR04241_f,581.1
MAR04288,4.4
MAR04596_f,0.3
MAR04597_f,0.3
MAR04599,53.9
MAR04667,37.3
MAR04668,4.4
MAR04737,12.0
MAR04739,12.0
MAR04740_f,-1.0
MAR06415,20.2
MAR06974,-1.0
MAR06975,548.5000000000001
MAR06976,548.5000000000001
MAR06977,548.5000000000001
MAR06978,69.2
MAR06979,11.8
MAR06980,22.5
MAR06981,44.8
MAR06982,5.1
MAR06983,44.6
MAR06984,92.30000000000001
MAR06985,24.7
MAR08017,-1.0
MAR08018,-1.0
MAR08019,-1.0
MAR08021,1.8
MAR08025,575.1
MAR08026,575.1
MAR08027,575.1
MAR08029,69.2
MAR03164,2.9
MAR03166,24.9
MAR03885_f,34.8
MAR04250,-1.0
MAR08091,-1.0
MAR08092,12.0
MAR08563,203.8
MAR08564,15.700000000000001
MAR08565,-1.0
MAR08566,-1.0
MAR03935_f,19.4
MAR04681,-1.0
MAR04682,12.0
MAR04683,35.5
MAR04685,35.5
MAR04686_f,35.5
MAR04687_f,35.5
MAR04702,-1.0
MAR04703,1.9
MAR04704,1.9
MAR06988,-1.0
MAR07689,45.5
MAR07701,3.3
MAR08094,-1.0
MAR08529,-1.0
MAR08530_f,50.8
MAR08533,-1.0
MAR08534,45.5
MAR08535,45.5
MAR08537,-1.0
MAR08541,-1.0
MAR08542,-1.0
MAR08543,-1.0
MAR08544,-1.0
MAR08630,-1.0
MAR08540,-1.0
MAR03206,44.0
MAR03208,9.0
MAR03213,10.1
MAR03215,10.0
MAR03747,76.8
MAR03744,8.0
MAR03757,103.30000000000001
MAR03761,12.8
MAR03777,76.8
MAR03778,8.0
MAR03795,12.8
MAR04797,278.0
MAR06417_f,9.0
MAR06419,4.1
MAR06420,9.0
MAR06421,4.1
MAR06422,9.0
MAR06923,76.8
MAR03765,8.0
MAR06924,-1.0
MAR06925_f,341.9
MAR06926_f,10.9
MAR06927_f,10.9
MAR08088_f,6.7
MAR08787,8.8
MAR03743_f,-1.0
MAR03940,-1.0
MAR04214,-1.0
MAR04216,19.1
MAR04218,105.0
MAR04219,19.1
MAR04220_f,-1.0
MAR04222_f,15.700000000000001
MAR04224,105.0
MAR04225,105.0
MAR04227,105.1
MAR04231,1.3
MAR04232_f,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,10.3
MAR04244,15.700000000000001
MAR04245,-1.0
MAR04246_f,15.700000000000001
MAR04248_f,-1.0
MAR06707,-1.0
MAR06708_f,-1.0
MAR06709_f,-1.0
MAR06711,-1.0
MAR06712_f,-1.0
MAR06713,12.0
MAR06714,278.0
MAR06715,152.9
MAR06716,-1.0
MAR06717,19.1
MAR06718,-1.0
MAR06719,12.0
MAR06720,-1.0
MAR06721,-1.0
MAR06722_f,-1.0
MAR06723_f,1750.5
MAR06725_f,28.400000000000002
MAR06726,-1.0
MAR06727,213.2
MAR06728,-1.0
MAR06729,-1.0
MAR06730,152.9
MAR06731,-1.0
MAR06734_f,-1.0
MAR06735,152.9
MAR06736,152.9
MAR06738_f,-1.0
MAR06739,152.9
MAR06740,-1.0
MAR06741,-1.0
MAR06742_f,-1.0
MAR06743,2.3
MAR06744_f,-1.0
MAR06745,12.0
MAR06746,152.9
MAR06747,12.0
MAR06748,35.5
MAR06749,35.5
MAR06750,152.9
MAR06751,12.0
MAR06752,12.0
MAR06753,35.5
MAR06754,35.5
MAR06755_f,152.9
MAR06756_f,50.8
MAR06757,152.9
MAR06758,12.0
MAR06759_f,-1.0
MAR06760,35.5
MAR06761,35.5
MAR06762,152.9
MAR06763,152.9
MAR06764,12.0
MAR06765_f,-1.0
MAR06766,35.5
MAR06767,35.5
MAR06768,28.400000000000002
MAR06770,-1.0
MAR06771,213.2
MAR06772,-1.0
MAR06774,2.9
MAR06776,18.3
MAR06778,27.1
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,-1.0
MAR06788,152.9
MAR06789,12.0
MAR06790,35.5
MAR06791,35.5
MAR06792_f,-1.0
MAR06798_f,-1.0
MAR06799,-1.0
MAR06800_f,-1.0
MAR06801,-1.0
MAR06802,-1.0
MAR06803,-1.0
MAR06806_f,-1.0
MAR06807_f,-1.0
MAR06808,153.2
MAR06811_f,1750.5
MAR06813,152.1
MAR06814_f,9.2
MAR06815_f,1750.5
MAR06817_f,9.2
MAR06818,-1.0
MAR06819_f,9.2
MAR06820_f,1750.5
MAR06822,-1.0
MAR06823_f,9.2
MAR06824_f,1750.5
MAR06826_f,1.9
MAR06827_f,1.9
MAR06828,-1.0
MAR06829,102.5
MAR06830,-1.0
MAR06831,3.5
MAR06834_f,1.9
MAR06835_f,1.9
MAR06836_f,-1.0
MAR06837,-1.0
MAR06838,11.0
MAR06839,3.5
MAR06840_f,1.9
MAR06841_f,1.9
MAR06842_f,-1.0
MAR06843,-1.0
MAR06844,11.0
MAR06845,3.5
MAR06848_f,1.9
MAR06849_f,1.9
MAR06850,11.0
MAR06851,3.5
