,reaction_expression
MAR03905,106.0
MAR03907,6.8
MAR04097,16.7
MAR04099,444.09999999999997
MAR04108,16.7
MAR04133,16.7
MAR04281,85.1
MAR04388,86.3
MAR04283,1.2
MAR08357,168.7
MAR04379,201.3
MAR04301,201.3
MAR04355,92.6
MAR04358,102.8
MAR04360,11.8
MAR04363,145.8
MAR04365,35.300000000000004
MAR04368,19.2
MAR04370,96.6
MAR04371,35.300000000000004
MAR04372,96.6
MAR04373,216.4
MAR04375,171.6
MAR04377,-1.0
MAR04381,93.8
MAR04391,32.8
MAR04394,42.00000000000001
MAR04396,50.8
MAR04521,-1.0
MAR06412,14.6
MAR07745,12.7
MAR07747,21.4
MAR08360,39.0
MAR08652,-1.0
MAR08757,5.3
MAR03989,79.0
MAR04122,4.3
MAR04837,22.9
MAR05395,15.5
MAR05396,36.2
MAR09727,212.7
MAR05397,29.7
MAR05398,70.3
MAR05399,91.7
MAR05400,91.7
MAR05401,70.3
MAR08568,53.3
MAR08569,53.3
MAR08570,53.3
MAR08571,53.3
MAR08572,53.3
MAR08573,53.3
MAR08574,53.3
MAR08575,53.3
MAR08576,53.3
MAR08577,53.3
MAR08578,53.3
MAR08579,53.3
MAR08581,53.3
MAR08591,33.8
MAR08592,30.0
MAR08580,53.3
MAR08582,53.3
MAR08587,33.8
MAR08589,30.0
MAR08583,-1.0
MAR08584,-1.0
MAR08585,8.1
MAR03944,101.9
MAR04128,6.5
MAR04130,46.1
MAR04131,10.2
MAR04132,10.2
MAR04303,63.8
MAR04414,83.6
MAR04415,3.1
MAR04416,40.300000000000004
MAR04774,201.3
MAR04775,201.3
MAR04831,-1.0
MAR04832,3.1
MAR07674,10.2
MAR08761,-1.0
MAR08762,171.6
MAR08764,-1.0
MAR08766,8.7
MAR08767,10.2
MAR00454,-1.0
MAR04297,257.90000000000003
MAR04310,-1.0
MAR04315,5.3
MAR04316,8.7
MAR04317,116.9
MAR04318,116.9
MAR04319,41.400000000000006
MAR04320,116.9
MAR04356,171.6
MAR04383,7.4
MAR04385,42.5
MAR04386,17.0
MAR04387,1.5
MAR04399,38.7
MAR04400,3.7
MAR04401,-1.0
MAR04402,11.8
MAR04403,-1.0
MAR04490,41.400000000000006
MAR04706,267.8
MAR08768,3.7
MAR04590,15.8
MAR04591,20.1
MAR04592,8.7
MAR04593,5.3
MAR04594,-1.0
MAR04595,13.3
MAR08341,30.099999999999998
MAR08342,-1.0
MAR08344,6.8
MAR08352,54.8
MAR08353,-1.0
MAR08726,13.9
MAR08727,10.5
MAR08728,-1.0
MAR08729,18.0
MAR06537,6.8
MAR01568,1.2
MAR03853,35.6
MAR03854,8.7
MAR03855,8.7
MAR03857,52.6
MAR03859,13.0
MAR04087,66.9
MAR04089,77.39999999999999
MAR04091,66.9
MAR04093,-1.0
MAR04095,-1.0
MAR04101,-1.0
MAR04103,1.2
MAR04143,25.1
MAR04193,102.8
MAR08497,30.099999999999998
MAR08498,5.3
MAR08499,5.3
MAR08500,30.099999999999998
MAR08501,22.9
MAR08502,94.2
MAR08503,121.3
MAR08504,168.7
MAR08506,168.7
MAR08507,106.0
MAR08508,106.0
MAR08509,30.099999999999998
MAR08511,52.6
MAR08512,7.4
MAR08514,13.0
MAR08516,71.2
MAR08517,-1.0
MAR04280,64.7
MAR00153,460.79999999999995
MAR03212,101.69999999999999
MAR03797,460.79999999999995
MAR03800,4.6
MAR04105,8.1
MAR04106,8.1
MAR04107,8.1
MAR04282,23.2
MAR04331,460.79999999999995
MAR04459,460.79999999999995
MAR04460,460.79999999999995
MAR04464,-1.0
MAR04497,11.8
MAR04741,122.6
MAR08078,-1.0
MAR09803,-1.0
MAR09804,1101.3000000000002
MAR00718,15.8
MAR00719,30.0
MAR01434,14.6
MAR01436,15.5
MAR03163,101.69999999999999
MAR04461,58.2
MAR04604,66.9
MAR05351,65.9
MAR07709,153.0
MAR04052,4.8999999999999995
MAR04304,4.3
MAR04350,13.9
MAR04351,4.3
MAR04352,4.3
MAR04354,5.0
MAR04398,19.2
MAR04404,44.9
MAR04473,11.1
MAR04474,11.1
MAR04476,13.9
MAR04477,13.6
MAR04501,44.9
MAR04565,10.2
MAR04567,201.3
MAR09799,10.5
MAR09800,-1.0
MAR04623,17.0
MAR04625,6.8
MAR04710,5.0
MAR04841,1.2
MAR08074,13.9
MAR08653,23.8
MAR03998,128.5
MAR04000,789.0
MAR04002,209.29999999999998
MAR04004,209.29999999999998
MAR04010,245.79999999999998
MAR04081,245.79999999999998
MAR04082,245.79999999999998
MAR04012,135.9
MAR04014,1900.3
MAR04020,33.4
MAR04022,789.0
MAR04038,17.6
MAR04040,8.0
MAR04042,15.5
MAR04046,18.6
MAR04048,1900.3
MAR04080,18.0
MAR04085,5.6
MAR04086,5.6
MAR04134,128.5
MAR04135,33.4
MAR04168,14.6
MAR04171,102.8
MAR04290,74.89999999999999
MAR04406,15.8
MAR04412,256.4
MAR04417,245.79999999999998
MAR04418,10.5
MAR04419,18.6
MAR04421,102.8
MAR04449,245.79999999999998
MAR04450,245.79999999999998
MAR04451,-1.0
MAR04452,10.5
MAR04453,18.6
MAR04480,414.3
MAR04481,5.6
MAR04482,5.6
MAR04486,41.400000000000006
MAR04487,41.400000000000006
MAR04488,41.400000000000006
MAR04489,41.400000000000006
MAR04492,41.400000000000006
MAR04493,41.400000000000006
MAR04495,41.400000000000006
MAR04496,41.400000000000006
MAR04518,3.7
MAR04519,-1.0
MAR04520,-1.0
MAR04573,102.8
MAR04574,5.6
MAR04600,13.9
MAR04602,245.79999999999998
MAR04603,5.6
MAR04611,9.2
MAR04612,9.2
MAR04614,9.2
MAR04615,9.2
MAR04617,9.2
MAR04618,9.2
MAR04619,9.2
MAR04621,9.2
MAR04632,245.79999999999998
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651,5.6
MAR04663,5.6
MAR04664,10.5
MAR04694,5.6
MAR04695,5.6
MAR04705,245.79999999999998
MAR04709,5.6
MAR04799,16.4
MAR04802,16.4
MAR04804,16.1
MAR04808,3.7
MAR04810,16.1
MAR04812,256.4
MAR04814,17.6
MAR05301,33.7
MAR05353,33.4
MAR06601,-1.0
MAR06602,123.3
MAR06603,123.3
MAR06605,-1.0
MAR06606,-1.0
MAR06607,-1.0
MAR06609,-1.0
MAR06610,-1.0
MAR06611,-1.0
MAR07144,47.4
MAR08755,-1.0
MAR09797,-1.0
MAR04016,178.7
MAR04018,178.7
MAR04044,178.7
MAR04291,178.7
MAR04420,178.7
MAR04570,178.7
MAR04572,178.7
MAR04006,178.7
MAR04028,178.7
MAR04030,178.7
MAR04670,178.7
MAR04673,178.7
MAR04675,178.7
MAR06614,178.7
MAR06615,178.7
MAR06616,178.7
MAR04635,178.7
MAR03793,-1.0
MAR03931,61.300000000000004
MAR03969,17.6
MAR03970,244.29999999999998
MAR04008,13.6
MAR04032,17.299999999999997
MAR04034,12.1
MAR04036,6.2
MAR04050,12.1
MAR04056,245.79999999999998
MAR04059,128.5
MAR04060,128.5
MAR04127,10.3
MAR04177,245.79999999999998
MAR04179,245.79999999999998
MAR04182,116.9
MAR04183,74.89999999999999
MAR04192,74.89999999999999
MAR04194,17.299999999999997
MAR04210,102.8
MAR04211,14.6
MAR04343,7.7
MAR04345,22.6
MAR04346,184.8
MAR04470,22.6
MAR04471,22.6
MAR04472,22.6
MAR04484,245.79999999999998
MAR04485,0.3
MAR04510,245.79999999999998
MAR04512,13.6
MAR04513,6.5
MAR04514,0.3
MAR04577,6.2
MAR04579,27.9
MAR04580,0.3
MAR04608,12.1
MAR04575,1.5
MAR04637,7.7
MAR04642,31.6
MAR04643,52.4
MAR04644,1.5
MAR04672,-1.0
MAR04676,33.7
MAR04736,0.9
MAR04819,-1.0
MAR05299,33.7
MAR05352,33.7
MAR05415,9.2
MAR05416,9.2
MAR05417,71.80000000000001
MAR06612,7.7
MAR06613,7.7
MAR06621,9.2
MAR06622,9.2
MAR06623,-1.0
MAR06624,18.6
MAR06627,102.8
MAR07744,6.5
MAR08072,-1.0
MAR08637,-1.0
MAR03965,37.8
MAR03966,14.6
MAR03967,13.6
MAR03968,7.7
MAR03999,74.89999999999999
MAR04024,13.6
MAR04026,-1.0
MAR04054,-1.0
MAR04061,74.89999999999999
MAR04083,135.9
MAR04136,661.7
MAR04180,33.7
MAR04185,42.699999999999996
MAR04186,42.699999999999996
MAR04342,128.5
MAR04344,-1.0
MAR04483,18.6
MAR04507,8.4
MAR04516,0.6
MAR04601,13.9
MAR04633,2.8
MAR04640,7.7
MAR04641,-1.0
MAR04680,27.9
MAR04806,16.4
MAR05394,-1.0
MAR06625,18.6
MAR06626,31.6
MAR07160,482.59999999999997
MAR07161,1.5
MAR07162,1.5
MAR07163,12.1
MAR07164,12.1
MAR07713,244.29999999999998
MAR07716,244.29999999999998
MAR07717,244.29999999999998
MAR07721,244.29999999999998
MAR07725,244.29999999999998
MAR07728,244.29999999999998
MAR07800,10.2
MAR07801,74.0
MAR07802,10.2
MAR07863,13.6
MAR07864,13.6
MAR07865,13.6
MAR07866,13.6
MAR07867,13.6
MAR07868,13.6
MAR07869,13.6
MAR07870,13.6
MAR07871,13.6
MAR07872,13.6
MAR07873,13.6
MAR07874,13.6
MAR07875,-1.0
MAR07876,13.6
MAR07878,178.7
MAR07879,14.6
MAR07880,21.1
MAR07881,-1.0
MAR07882,-1.0
MAR07883,198.79999999999998
MAR07884,-1.0
MAR07885,-1.0
MAR07886,198.79999999999998
MAR07887,-1.0
MAR07888,-1.0
MAR07889,-1.0
MAR07890,198.79999999999998
MAR07891,-1.0
MAR07892,-1.0
MAR07893,-1.0
MAR07894,198.79999999999998
MAR07895,198.79999999999998
MAR08083,1900.3
MAR08085,1900.3
MAR08087,1900.3
MAR08443,47.4
MAR08444,47.4
MAR08445,33.7
MAR08446,-1.0
MAR08448,13.6
MAR08449,13.6
MAR08450,13.6
MAR08451,13.6
MAR08452,13.6
MAR08453,13.6
MAR08454,13.6
MAR08455,13.6
MAR08456,13.6
MAR08457,13.6
MAR08458,13.6
MAR08459,13.6
MAR08460,13.6
MAR08461,10.2
MAR08462,13.6
MAR08463,13.6
MAR08464,13.6
MAR08465,13.6
MAR08466,13.6
MAR08467,13.6
MAR08468,13.6
MAR08469,13.6
MAR08470,13.6
MAR08471,13.6
MAR08472,13.6
MAR08473,2.8
MAR08474,128.5
MAR08477,6.5
MAR08478,6.5
MAR08479,6.5
MAR08480,-1.0
MAR08481,-1.0
MAR08482,10.5
