,sample_1,sample_2,sample_3
"('MAR03905', 'ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144')","{'ENSG00000147576': ('ENSG00000147576', 0.6839622641509434, 72.5), 'ENSG00000180011': ('ENSG00000180011', 0.11132075471698115, 11.8), 'ENSG00000197894': ('ENSG00000197894', 0.20471698113207545, 21.7)}","{'ENSG00000147576': ('ENSG00000147576', 0.02014388489208633, 1.4), 'ENSG00000180011': ('ENSG00000180011', 0.26906474820143883, 18.7), 'ENSG00000197894': ('ENSG00000197894', 0.7107913669064748, 49.4)}","{'ENSG00000147576': ('ENSG00000147576', 0.3333333333333333, 13.4), 'ENSG00000180011': ('ENSG00000180011', 0.2885572139303482, 11.6), 'ENSG00000197894': ('ENSG00000197894', 0.37810945273631835, 15.2)}"
"('MAR03907', 'ENSG00000117448')","{'ENSG00000117448': ('ENSG00000117448', 1, 6.8)}","{'ENSG00000117448': ('ENSG00000117448', 1, 141.4)}","{'ENSG00000117448': ('ENSG00000117448', 1, 19.7)}"
"('MAR04097', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 16.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 17.0)}"
"('MAR04099', 'ENSG00000111058 or ENSG00000154930')","{'ENSG00000111058': ('ENSG00000111058', 0.3584778203107408, 159.2), 'ENSG00000154930': ('ENSG00000154930', 0.6415221796892592, 284.9)}","{'ENSG00000111058': ('ENSG00000111058', 0.09848484848484848, 1.3), 'ENSG00000154930': ('ENSG00000154930', 0.9015151515151515, 11.9)}","{'ENSG00000111058': ('ENSG00000111058', 0.4632152588555858, 34.0), 'ENSG00000154930': ('ENSG00000154930', 0.5367847411444141, 39.4)}"
"('MAR04108', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 16.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 17.0)}"
"('MAR04133', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 16.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 17.0)}"
"('MAR04281', 'ENSG00000111716 or ENSG00000134333')","{'ENSG00000111716': ('ENSG00000111716', 0.7602820211515865, 64.7), 'ENSG00000134333': ('ENSG00000134333', 0.23971797884841364, 20.4)}","{'ENSG00000111716': ('ENSG00000111716', 0.28841980666798184, 146.2), 'ENSG00000134333': ('ENSG00000134333', 0.7115801933320182, 360.7)}","{'ENSG00000111716': ('ENSG00000111716', 0.6204238921001927, 32.2), 'ENSG00000134333': ('ENSG00000134333', 0.3795761078998073, 19.7)}"
"('MAR04388', 'ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989')","{'ENSG00000111716': ('ENSG00000111716', 0.7497103128621091, 64.7), 'ENSG00000134333': ('ENSG00000134333', 0.23638470451911936, 20.4), 'ENSG00000166796': ('ENSG00000166796', 0.013904982618771726, 1.2)}","{'ENSG00000111716': ('ENSG00000111716', 0.2871170463472113, 146.2), 'ENSG00000134333': ('ENSG00000134333', 0.7083660644147682, 360.7), 'ENSG00000166796': ('ENSG00000166796', 0.004516889238020424, 2.3)}","{'ENSG00000111716': ('ENSG00000111716', 0.5996275605214153, 32.2), 'ENSG00000134333': ('ENSG00000134333', 0.366852886405959, 19.7), 'ENSG00000166796': ('ENSG00000166796', 0.0335195530726257, 1.8)}"
"('MAR04283', 'ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254')","{'ENSG00000006534': ('ENSG00000006534', 0.75, 0.9), 'ENSG00000184254': ('ENSG00000184254', 0.25, 0.3)}","{'ENSG00000006534': ('ENSG00000006534', 0.9295774647887324, 33.0), 'ENSG00000184254': ('ENSG00000184254', 0.07042253521126761, 2.5)}","{'ENSG00000006534': ('ENSG00000006534', 0.6666666666666666, 1.8), 'ENSG00000184254': ('ENSG00000184254', 0.3333333333333333, 0.9)}"
"('MAR08357', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.08239478363959693, 13.9), 'ENSG00000111275': ('ENSG00000111275', 0.28808535862477774, 48.6), 'ENSG00000143149': ('ENSG00000143149', 0.07172495554238292, 12.1), 'ENSG00000164904': ('ENSG00000164904', 0.5577949021932425, 94.1)}","{'ENSG00000072210': ('ENSG00000072210', 0.10575539568345324, 29.4), 'ENSG00000111275': ('ENSG00000111275', 0.6899280575539569, 191.8), 'ENSG00000143149': ('ENSG00000143149', 0.16115107913669066, 44.8), 'ENSG00000164904': ('ENSG00000164904', 0.04316546762589928, 12.0)}","{'ENSG00000072210': ('ENSG00000072210', 0.2256317689530686, 12.5), 'ENSG00000111275': ('ENSG00000111275', 0.4512635379061372, 25.0), 'ENSG00000143149': ('ENSG00000143149', 0.11371841155234656, 6.3), 'ENSG00000164904': ('ENSG00000164904', 0.20938628158844766, 11.6)}"
