,sample_1,sample_2,sample_3,sample_4,sample_5
"('MAR03905', 'ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144')","{'ENSG00000180011': ('ENSG00000180011', 0.2507053607416364, 62.2), 'ENSG00000197894': ('ENSG00000197894', 0.7492946392583635, 185.9)}","{'ENSG00000180011': ('ENSG00000180011', 0.15545914678235717, 21.5), 'ENSG00000197894': ('ENSG00000197894', 0.8445408532176427, 116.8)}","{'ENSG00000180011': ('ENSG00000180011', 0.2777777777777778, 22.0), 'ENSG00000197894': ('ENSG00000197894', 0.7222222222222222, 57.2)}","{'ENSG00000180011': ('ENSG00000180011', 0.10836330935251799, 24.1), 'ENSG00000197894': ('ENSG00000197894', 0.8916366906474821, 198.3)}","{'ENSG00000180011': ('ENSG00000180011', 0.06007067137809187, 17.0), 'ENSG00000197894': ('ENSG00000197894', 0.9399293286219081, 266.0)}"
"('MAR03907', 'ENSG00000117448')","{'ENSG00000117448': ('ENSG00000117448', 1, 51.9)}","{'ENSG00000117448': ('ENSG00000117448', 1, 119.9)}","{'ENSG00000117448': ('ENSG00000117448', 1, 64.9)}","{'ENSG00000117448': ('ENSG00000117448', 1, 315.0)}","{'ENSG00000117448': ('ENSG00000117448', 1, 1034.2)}"
"('MAR04097', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 54.4)}"
"('MAR04099', 'ENSG00000111058 or ENSG00000154930')",{},{},{},{},{}
"('MAR04108', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 54.4)}"
"('MAR04133', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 38.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 15.3)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 54.4)}"
"('MAR04281', 'ENSG00000111716 or ENSG00000134333')","{'ENSG00000134333': ('ENSG00000134333', 1, 339.9)}","{'ENSG00000134333': ('ENSG00000134333', 1, 270.5)}","{'ENSG00000134333': ('ENSG00000134333', 1, 444.6)}","{'ENSG00000134333': ('ENSG00000134333', 1, 551.4)}","{'ENSG00000134333': ('ENSG00000134333', 1, 458.3)}"
"('MAR04388', 'ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989')","{'ENSG00000134333': ('ENSG00000134333', 1, 339.9)}","{'ENSG00000134333': ('ENSG00000134333', 1, 270.5)}","{'ENSG00000134333': ('ENSG00000134333', 1, 444.6)}","{'ENSG00000134333': ('ENSG00000134333', 1, 551.4)}","{'ENSG00000134333': ('ENSG00000134333', 1, 458.3)}"
"('MAR04283', 'ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254')",{},{},{},{},{}
"('MAR08357', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.12555757475631918, 76.0), 'ENSG00000111275': ('ENSG00000111275', 0.6925491491822238, 419.2), 'ENSG00000143149': ('ENSG00000143149', 0.10341979183875766, 62.6), 'ENSG00000164904': ('ENSG00000164904', 0.0784734842226995, 47.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.09478407178911945, 33.8), 'ENSG00000111275': ('ENSG00000111275', 0.5, 178.3), 'ENSG00000143149': ('ENSG00000143149', 0.2327537857543466, 83.0), 'ENSG00000164904': ('ENSG00000164904', 0.1724621424565339, 61.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.16819571865443425, 27.5), 'ENSG00000111275': ('ENSG00000111275', 0.42262996941896025, 69.1), 'ENSG00000143149': ('ENSG00000143149', 0.26727828746177373, 43.7), 'ENSG00000164904': ('ENSG00000164904', 0.1418960244648318, 23.2)}","{'ENSG00000072210': ('ENSG00000072210', 0.09887772317171568, 134.8), 'ENSG00000111275': ('ENSG00000111275', 0.7208244700359422, 982.7), 'ENSG00000143149': ('ENSG00000143149', 0.1167021198562312, 159.1), 'ENSG00000164904': ('ENSG00000164904', 0.06359568693611091, 86.7)}","{'ENSG00000072210': ('ENSG00000072210', 0.0821109425054797, 97.4), 'ENSG00000111275': ('ENSG00000111275', 0.5458607317484405, 647.5), 'ENSG00000143149': ('ENSG00000143149', 0.14053279379531278, 166.7), 'ENSG00000164904': ('ENSG00000164904', 0.23149553195076722, 274.6)}"
