,sample_1,sample_2,sample_3,sample_4,sample_5
MAR03905,248.10000000000002,138.3,79.2,222.4,283.0
MAR03907,51.9,119.9,64.9,315.0,1034.2
MAR04097,38.4,18.4,15.3,108.1,54.4
MAR04099,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04108,38.4,18.4,15.3,108.1,54.4
MAR04133,38.4,18.4,15.3,108.1,54.4
MAR04281,339.9,270.5,444.6,551.4,458.3
MAR04388,339.9,270.5,444.6,551.4,458.3
MAR04283,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08357,605.3,356.6,163.5,1363.3,1186.1999999999998
MAR04379,517.7,141.4,93.50000000000001,66.2,159.0
MAR04301,517.7,141.4,93.50000000000001,66.2,159.0
MAR04355,28.3,3.1,10.7,86.2,2.2
MAR04358,298.0,528.6,180.0,3.8,206.4
MAR04360,62.2,21.5,22.0,24.1,17.0
MAR04363,72.0,670.0,273.2,357.8,1029.8
MAR04365,139.2,331.9,106.2,136.5,270.6
MAR04368,532.8,344.2,168.7,211.4,528.2
MAR04370,243.89999999999998,98.30000000000001,43.3,97.7,79.80000000000001
MAR04371,139.2,331.9,106.2,136.5,270.6
MAR04372,243.89999999999998,98.30000000000001,43.3,97.7,79.80000000000001
MAR04373,555.1,2695.4,1406.1,2146.8,6752.7
MAR04375,38.8,98.39999999999999,44.7,90.7,83.60000000000001
MAR04377,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04381,252.1,83.0,45.0,106.6,98.5
MAR04391,619.7,1189.4,309.7,608.4,1501.3
MAR04394,137.2,18.4,34.2,0.6,1.1
MAR04396,160.6,58.300000000000004,37.4,224.0,66.8
MAR04521,-1.0,-1.0,-1.0,-1.0,-1.0
MAR06412,67.3,46.1,9.5,15.3,28.1
MAR07745,19.5,15.4,10.6,51.6,196.9
MAR07747,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08360,66.3,166.0,38.3,435.1,224.8
MAR08652,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08757,-1.0,-1.0,-1.0,-1.0,-1.0
MAR03989,27.1,12.299999999999999,23.2,29.799999999999997,23.9
MAR04122,10.1,46.1,20.1,239.0,78.4
MAR04837,-1.0,-1.0,-1.0,-1.0,-1.0
MAR05395,272.4,30.7,26.9,13.8,18.3
MAR05396,272.4,30.7,26.9,13.8,18.3
MAR09727,-1.0,-1.0,-1.0,-1.0,-1.0
MAR05397,91.4,21.5,26.9,64.9,45.7
MAR05398,77.9,9.2,11.9,3.7,11.8
MAR05399,147.9,18.4,15.4,91.0,17.5
MAR05400,147.9,18.4,15.4,91.0,17.5
MAR05401,77.9,9.2,11.9,3.7,11.8
MAR08568,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08569,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08570,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08571,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08572,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08573,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08574,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08575,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08576,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08577,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08578,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08579,-1.0,-1.0,-1.0,-1.0,-1.0
