,gene_contribution
ENSG00000000419,2.0
ENSG00000002549,1.9616829451540196
ENSG00000004455,0.48125027632036027
ENSG00000004478,0.010678391959798991
ENSG00000004779,1.0
ENSG00000004864,3.0
ENSG00000004961,1.0
ENSG00000005022,0.03447607691161127
ENSG00000005075,2.0
ENSG00000005339,0.029280895650925804
ENSG00000005469,9.337477797513321
ENSG00000005810,0.014443003132217554
ENSG00000005882,0.21590909090909094
ENSG00000006007,1.0
ENSG00000006625,4.0
ENSG00000006695,3.5235247208931417
ENSG00000006757,6.81412188180144
ENSG00000007168,1.581135091926459
ENSG00000007541,0.08576998050682261
ENSG00000008130,1.0
ENSG00000009335,0.0059480494827095255
ENSG00000009413,0.2571592210767468
ENSG00000010256,1.0
ENSG00000010404,3.0
ENSG00000011009,0.14953271028037385
ENSG00000011198,3.399719495091163
ENSG00000011275,0.00569494099408359
ENSG00000011405,5.0
ENSG00000012232,4.560830860534125
ENSG00000012660,48.31113788047715
ENSG00000012963,0.004318663587180057
ENSG00000013375,1.0
ENSG00000013392,1.0
ENSG00000013503,2.0
ENSG00000013561,0.010678014363906725
ENSG00000014641,2.0
ENSG00000016864,0.3769423558897243
ENSG00000017260,0.024503029658764754
ENSG00000017797,2.0
ENSG00000018510,1.0
ENSG00000023041,0.0636423405654175
ENSG00000023228,1.0
ENSG00000023330,3.0
ENSG00000023572,0.3606973058637084
ENSG00000023697,1.0
ENSG00000023909,1.0
ENSG00000024048,0.008447495807890658
ENSG00000025708,1.0
ENSG00000025800,0.5373665480427046
ENSG00000027847,1.1443609022556391
ENSG00000030066,1.0763827919227391
ENSG00000031698,1.0
ENSG00000033100,0.4307692307692308
ENSG00000033178,0.002499446325181132
ENSG00000033627,0.09699740693378268
ENSG00000033867,3.0
ENSG00000034677,0.00896953206568165
ENSG00000035687,1.0
ENSG00000038002,4.0
ENSG00000038210,0.31007751937984496
ENSG00000038274,1.7544378698224852
ENSG00000039123,0.04184139409188333
ENSG00000039650,1.0
ENSG00000040933,3.0
ENSG00000043514,1.0
ENSG00000047249,0.13072203869749882
ENSG00000047315,2.0
ENSG00000047410,1.0
ENSG00000048392,3.5
ENSG00000049759,0.008020375233334388
ENSG00000049860,43.8311105005389
ENSG00000051382,1.221324717285945
ENSG00000052802,14.0
ENSG00000053371,4.21602787456446
ENSG00000054148,4.170773262571001
ENSG00000054267,0.412280701754386
ENSG00000055483,0.007965242577842141
ENSG00000055609,0.3428908347759558
ENSG00000058600,2.0
ENSG00000060762,1.5
ENSG00000060971,125.27262016292408
ENSG00000062485,1.0
ENSG00000063176,2.329411764705882
ENSG00000063854,2.0
ENSG00000064601,32.095759581009524
ENSG00000065154,1.0
ENSG00000065427,1.0
ENSG00000065518,1.0
ENSG00000065534,1.0
ENSG00000065615,0.060984570168993384
ENSG00000065621,0.06609696772337822
ENSG00000066322,43.8810975609756
