,reaction_expression
MAR03905,331.68448696999997
MAR03907,55.1772174
MAR04097,50.72090763
MAR04099,70.35567858
MAR04108,50.72090763
MAR04133,50.72090763
MAR04281,80.45664740999999
MAR04388,248.36499815
MAR04283,171.60843827
MAR08357,265.62307055
MAR04379,124.53360228
MAR04301,124.53360228
MAR04355,132.25787256
MAR04358,70.86882942
MAR04360,35.70449408
MAR04363,138.49670625000002
MAR04365,170.69016838
MAR04368,144.24939702999998
MAR04370,82.82794436
MAR04371,170.69016838
MAR04372,82.82794436
MAR04373,82.99539358000001
MAR04375,178.92758948
MAR04377,77.43175833999999
MAR04381,51.15303464
MAR04391,47.39893125
MAR04394,253.90162546
MAR04396,91.47588612
MAR04521,93.15037827
MAR06412,21.87642981
MAR07745,37.75709737
MAR07747,47.99310589
MAR08360,56.50060637
MAR08652,93.15037827
MAR08757,40.89001818
MAR03989,182.7087008
MAR04122,42.24041509
MAR04837,45.13026446
MAR05395,90.07147336
MAR05396,174.82238292
MAR09727,194.18707449
MAR05397,50.80193144
MAR05398,134.01338853
MAR05399,44.56309776
MAR05400,44.56309776
MAR05401,134.01338853
MAR08568,197.09042781
MAR08569,197.09042781
MAR08570,197.09042781
MAR08571,197.09042781
MAR08572,197.09042781
MAR08573,197.09042781
MAR08574,197.09042781
MAR08575,197.09042781
MAR08576,197.09042781
MAR08577,197.09042781
MAR08578,197.09042781
MAR08579,197.09042781
MAR08581,197.09042781
MAR08591,90.96273529
MAR08592,60.03864625
MAR08580,197.09042781
MAR08582,197.09042781
MAR08587,90.96273529
MAR08589,60.03864625
MAR08583,48.77633609
MAR08584,39.35056571
MAR08585,44.10396282
MAR03944,52.44941567
MAR04128,37.75709737
MAR04130,112.1909746
MAR04131,46.58869311
MAR04132,46.58869311
MAR04303,190.35194725
MAR04414,145.92388921
MAR04415,40.78198644
MAR04416,131.87976142999997
MAR04774,124.53360228
MAR04775,124.53360228
MAR04831,-1.0
MAR04832,40.78198644
MAR07674,161.80455675000002
MAR08761,40.02576417
MAR08762,178.92758948
MAR08764,43.13167705
MAR08766,95.39203714
MAR08767,46.58869311
MAR00454,-1.0
MAR04297,175.20049403
MAR04310,40.02576417
MAR04315,37.37898624
MAR04316,95.39203714
MAR04317,211.4721548
MAR04318,211.4721548
MAR04319,173.98513681
MAR04320,211.4721548
MAR04356,178.92758948
MAR04383,47.75003445
MAR04385,134.17543615
MAR04386,74.89301218
MAR04387,22.28154888
MAR04399,43.21270086
MAR04400,-1.0
MAR04401,30.03282709
MAR04402,-1.0
MAR04403,-1.0
MAR04490,173.98513681
MAR04706,175.20049403
MAR08768,-1.0
MAR04590,46.91278837
MAR04591,88.64005263
MAR04592,95.39203714
MAR04593,37.37898624
MAR04594,39.53962128
MAR04595,33.78693048
MAR08341,183.49193099000001
MAR08342,-1.0
MAR08344,55.1772174
MAR08352,42.67254209
MAR08353,-1.0
MAR08726,40.10678798
MAR08727,35.94756552
MAR08728,-1.0
MAR08729,44.86018507
