,sample_1,sample_2,sample_3,sample_4
MAR03905,95.2,153.6,569.6,365.0
MAR03907,83.6,119.9,315.0,1034.2
MAR04097,11.7,18.4,108.1,54.4
MAR04099,19.4,55.300000000000004,53.8,44.099999999999994
MAR04108,11.7,18.4,108.1,54.4
MAR04133,11.7,18.4,108.1,54.4
MAR04281,725.4000000000001,2781.5,562.8,3315.8
MAR04388,725.4000000000001,2781.5,562.8,3315.8
MAR04283,107.0,6.1,0.1,0.7
MAR08357,192.5,362.70000000000005,1478.0,1356.0
MAR04379,149.7,141.4,66.2,159.0
MAR04301,149.7,141.4,66.2,159.0
MAR04355,97.30000000000001,239.79999999999998,3410.5,5342.099999999999
MAR04358,832.4,528.6,3.8,206.4
MAR04360,27.2,21.5,24.1,17.0
MAR04363,548.4,670.0,357.8,1029.8
MAR04365,124.5,331.9,136.5,270.6
MAR04368,173.1,344.2,211.4,528.2
MAR04370,81.6,98.30000000000001,97.7,79.80000000000001
MAR04371,124.5,331.9,136.5,270.6
MAR04372,81.6,98.30000000000001,97.7,79.80000000000001
MAR04373,1034.7,2695.4,2146.8,6752.7
MAR04375,138.10000000000002,335.09999999999997,3415.0,5423.499999999999
MAR04377,52.5,58.4,590.8,628.6
MAR04381,52.5,83.0,106.6,98.5
MAR04391,377.3,1189.4,608.4,1501.3
MAR04394,38.9,21.5,0.8,17.900000000000002
MAR04396,17.5,58.300000000000004,224.0,66.8
MAR04521,42.8,9.2,5.8,30.3
MAR06412,3.9,46.1,15.3,28.1
MAR07745,62.2,15.4,51.6,196.9
MAR07747,-1.0,-1.0,-1.0,-1.0
MAR08360,70.0,166.0,435.1,224.8
MAR08652,42.8,9.2,5.8,30.3
MAR08757,-1.0,-1.0,-1.0,-1.0
MAR03989,15.5,15.399999999999999,33.4,85.0
MAR04122,21.4,46.1,239.0,78.4
MAR04837,-1.0,-1.0,-1.0,-1.0
MAR05395,35.0,30.7,13.8,18.3
MAR05396,35.0,30.7,13.8,18.3
MAR09727,13.6,9.2,219.7,8.0
MAR05397,27.2,21.5,64.9,45.7
MAR05398,35.0,15.299999999999999,63.5,17.1
MAR05399,13.6,18.4,91.0,17.5
MAR05400,13.6,18.4,91.0,17.5
MAR05401,35.0,15.299999999999999,63.5,17.1
MAR08568,-1.0,-1.0,-1.0,-1.0
MAR08569,-1.0,-1.0,-1.0,-1.0
MAR08570,-1.0,-1.0,-1.0,-1.0
MAR08571,-1.0,-1.0,-1.0,-1.0
MAR08572,-1.0,-1.0,-1.0,-1.0
MAR08573,-1.0,-1.0,-1.0,-1.0
MAR08574,-1.0,-1.0,-1.0,-1.0
MAR08575,-1.0,-1.0,-1.0,-1.0
MAR08576,-1.0,-1.0,-1.0,-1.0
MAR08577,-1.0,-1.0,-1.0,-1.0
MAR08578,-1.0,-1.0,-1.0,-1.0
MAR08579,-1.0,-1.0,-1.0,-1.0
MAR08581,-1.0,-1.0,-1.0,-1.0
MAR08591,1.9,9.2,11.1,6.6
MAR08592,11.7,3.1,18.7,17.3
MAR08580,-1.0,-1.0,-1.0,-1.0
MAR08582,-1.0,-1.0,-1.0,-1.0
MAR08587,1.9,9.2,11.1,6.6
MAR08589,11.7,3.1,18.7,17.3
MAR08583,-1.0,-1.0,-1.0,-1.0
MAR08584,-1.0,-1.0,-1.0,-1.0
MAR08585,11.7,9.2,0.9,6.0
MAR03944,48.6,196.7,597.8,277.0
MAR04128,42.8,27.7,40.8,67.5
MAR04130,21.4,46.1,144.8,131.9
MAR04131,9.7,18.4,74.8,42.7
MAR04132,9.7,18.4,74.8,42.7
MAR04303,13.6,12.299999999999999,29.799999999999997,23.9
MAR04414,25.299999999999997,67.6,151.5,144.0
MAR04415,3.9,3.1,0.9,14.1
MAR04416,182.8,494.79999999999995,626.5,666.0
MAR04774,149.7,141.4,66.2,159.0
MAR04775,149.7,141.4,66.2,159.0
MAR04831,-1.0,-1.0,-1.0,-1.0
MAR04832,3.9,3.1,0.9,14.1
