,sample_1,sample_2,sample_3,sample_4
"('MAR03905', 'ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144')","{'ENSG00000147576': ('ENSG00000147576', 0.101890756302521, 9.7), 'ENSG00000172955': ('ENSG00000172955', 0.06092436974789915, 5.8), 'ENSG00000180011': ('ENSG00000180011', 0.2857142857142857, 27.2), 'ENSG00000197894': ('ENSG00000197894', 0.551470588235294, 52.5)}","{'ENSG00000147576': ('ENSG00000147576', 0.05989583333333333, 9.2), 'ENSG00000172955': ('ENSG00000172955', 0.039713541666666664, 6.1), 'ENSG00000180011': ('ENSG00000180011', 0.13997395833333334, 21.5), 'ENSG00000197894': ('ENSG00000197894', 0.7604166666666666, 116.8)}","{'ENSG00000147576': ('ENSG00000147576', 0.04547050561797753, 25.9), 'ENSG00000172955': ('ENSG00000172955', 0.5640800561797753, 321.3), 'ENSG00000180011': ('ENSG00000180011', 0.04231039325842697, 24.1), 'ENSG00000197894': ('ENSG00000197894', 0.34813904494382025, 198.3)}","{'ENSG00000147576': ('ENSG00000147576', 0.03561643835616439, 13.0), 'ENSG00000172955': ('ENSG00000172955', 0.18904109589041093, 69.0), 'ENSG00000180011': ('ENSG00000180011', 0.04657534246575342, 17.0), 'ENSG00000197894': ('ENSG00000197894', 0.7287671232876712, 266.0)}"
"('MAR03907', 'ENSG00000117448')","{'ENSG00000117448': ('ENSG00000117448', 1, 83.6)}","{'ENSG00000117448': ('ENSG00000117448', 1, 119.9)}","{'ENSG00000117448': ('ENSG00000117448', 1, 315.0)}","{'ENSG00000117448': ('ENSG00000117448', 1, 1034.2)}"
"('MAR04097', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 11.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 54.4)}"
"('MAR04099', 'ENSG00000111058 or ENSG00000154930')","{'ENSG00000111058': ('ENSG00000111058', 0.5, 9.7), 'ENSG00000154930': ('ENSG00000154930', 0.5, 9.7)}","{'ENSG00000111058': ('ENSG00000111058', 0.11030741410488244, 6.1), 'ENSG00000154930': ('ENSG00000154930', 0.8896925858951176, 49.2)}","{'ENSG00000111058': ('ENSG00000111058', 0.9368029739776952, 50.4), 'ENSG00000154930': ('ENSG00000154930', 0.06319702602230483, 3.4)}","{'ENSG00000111058': ('ENSG00000111058', 0.6281179138321996, 27.7), 'ENSG00000154930': ('ENSG00000154930', 0.3718820861678005, 16.4)}"
"('MAR04108', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 11.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 54.4)}"
"('MAR04133', 'ENSG00000131069')","{'ENSG00000131069': ('ENSG00000131069', 1, 11.7)}","{'ENSG00000131069': ('ENSG00000131069', 1, 18.4)}","{'ENSG00000131069': ('ENSG00000131069', 1, 108.1)}","{'ENSG00000131069': ('ENSG00000131069', 1, 54.4)}"
"('MAR04281', 'ENSG00000111716 or ENSG00000134333')","{'ENSG00000111716': ('ENSG00000111716', 0.6004962779156328, 435.6), 'ENSG00000134333': ('ENSG00000134333', 0.3995037220843672, 289.8)}","{'ENSG00000111716': ('ENSG00000111716', 0.9027503145784649, 2511.0), 'ENSG00000134333': ('ENSG00000134333', 0.09724968542153514, 270.5)}","{'ENSG00000111716': ('ENSG00000111716', 0.020255863539445633, 11.4), 'ENSG00000134333': ('ENSG00000134333', 0.9797441364605544, 551.4)}","{'ENSG00000111716': ('ENSG00000111716', 0.861782978466735, 2857.5), 'ENSG00000134333': ('ENSG00000134333', 0.13821702153326498, 458.3)}"
"('MAR04388', 'ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989')","{'ENSG00000111716': ('ENSG00000111716', 0.6004962779156328, 435.6), 'ENSG00000134333': ('ENSG00000134333', 0.3995037220843672, 289.8)}","{'ENSG00000111716': ('ENSG00000111716', 0.9027503145784649, 2511.0), 'ENSG00000134333': ('ENSG00000134333', 0.09724968542153514, 270.5)}","{'ENSG00000111716': ('ENSG00000111716', 0.020255863539445633, 11.4), 'ENSG00000134333': ('ENSG00000134333', 0.9797441364605544, 551.4)}","{'ENSG00000111716': ('ENSG00000111716', 0.861782978466735, 2857.5), 'ENSG00000134333': ('ENSG00000134333', 0.13821702153326498, 458.3)}"
"('MAR04283', 'ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254')","{'ENSG00000184254': ('ENSG00000184254', 1, 107.0)}","{'ENSG00000184254': ('ENSG00000184254', 1, 6.1)}","{'ENSG00000184254': ('ENSG00000184254', 1, 0.1)}","{'ENSG00000184254': ('ENSG00000184254', 1, 0.7)}"
"('MAR08357', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.13142857142857142, 25.3), 'ENSG00000111275': ('ENSG00000111275', 0.3231168831168831, 62.2), 'ENSG00000137124': ('ENSG00000137124', 0.12103896103896104, 23.3), 'ENSG00000143149': ('ENSG00000143149', 0.22233766233766233, 42.8), 'ENSG00000164904': ('ENSG00000164904', 0.20207792207792208, 38.9)}","{'ENSG00000072210': ('ENSG00000072210', 0.09318996415770607, 33.8), 'ENSG00000111275': ('ENSG00000111275', 0.4915908464295561, 178.3), 'ENSG00000137124': ('ENSG00000137124', 0.016818307140887785, 6.1), 'ENSG00000143149': ('ENSG00000143149', 0.2288392610973256, 83.0), 'ENSG00000164904': ('ENSG00000164904', 0.1695616211745244, 61.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.09120433017591342, 134.8), 'ENSG00000111275': ('ENSG00000111275', 0.6648849797023005, 982.7), 'ENSG00000137124': ('ENSG00000137124', 0.07760487144790258, 114.7), 'ENSG00000143149': ('ENSG00000143149', 0.10764546684709066, 159.1), 'ENSG00000164904': ('ENSG00000164904', 0.05866035182679297, 86.7)}","{'ENSG00000072210': ('ENSG00000072210', 0.07182890855457229, 97.4), 'ENSG00000111275': ('ENSG00000111275', 0.4775073746312685, 647.5), 'ENSG00000137124': ('ENSG00000137124', 0.12522123893805312, 169.8), 'ENSG00000143149': ('ENSG00000143149', 0.12293510324483777, 166.7), 'ENSG00000164904': ('ENSG00000164904', 0.20250737463126844, 274.6)}"
