,reaction_expression
MAR03905,95.2
MAR03907,83.6
MAR04097,11.7
MAR04099,19.4
MAR04108,11.7
MAR04133,11.7
MAR04281_f,725.4000000000001
MAR04388_f,725.4000000000001
MAR04283,107.0
MAR08357,192.5
MAR04379,149.7
MAR04301,149.7
MAR04355,97.30000000000001
MAR04358,832.4
MAR04360,27.2
MAR04363_f,548.4
MAR04365_f,124.5
MAR04368_f,173.1
MAR04370,81.6
MAR04371,124.5
MAR04372,81.6
MAR04373_f,1034.7
MAR04375_f,138.10000000000002
MAR04377,52.5
MAR04381_f,52.5
MAR04391_f,377.3
MAR04394,38.9
MAR04396_f,17.5
MAR04521,42.8
MAR06412,3.9
MAR07745_f,62.2
MAR07747,-1.0
MAR08360,70.0
MAR08652,42.8
MAR08757,-1.0
MAR03989,15.5
MAR04122,21.4
MAR04837,-1.0
MAR05395,35.0
MAR05396,35.0
MAR09727,13.6
MAR05397,27.2
MAR05398,35.0
MAR05399,13.6
MAR05400,13.6
MAR05401,35.0
MAR08568,-1.0
MAR08569,-1.0
MAR08570,-1.0
MAR08571,-1.0
MAR08572,-1.0
MAR08573,-1.0
MAR08574,-1.0
MAR08575,-1.0
MAR08576,-1.0
MAR08577,-1.0
MAR08578,-1.0
MAR08579,-1.0
MAR08581,-1.0
MAR08591,1.9
MAR08592,11.7
MAR08580,-1.0
MAR08582,-1.0
MAR08587,1.9
MAR08589,11.7
MAR08583,-1.0
MAR08584,-1.0
MAR08585,11.7
MAR03944,48.6
MAR04128_f,42.8
MAR04130,21.4
MAR04131_f,9.7
MAR04132,9.7
MAR04303,13.6
MAR04414,25.299999999999997
MAR04415,3.9
MAR04416,182.8
MAR04774_f,149.7
MAR04775_f,149.7
MAR04831_f,-1.0
MAR04832_f,3.9
MAR07674,149.8
MAR08761,21.4
MAR08762_f,138.10000000000002
MAR08764,-1.0
MAR08766_f,657.4
MAR08767,9.7
MAR00454,-1.0
MAR04297,15.6
MAR04310,21.4
MAR04315_f,15.6
MAR04316_f,657.4
MAR04317,72.0
MAR04318,72.0
MAR04319,38.9
MAR04320,72.0
MAR04356,138.10000000000002
MAR04383_f,13.6
MAR04385,44.7
MAR04386,23.3
MAR04387,17.5
MAR04399,44.7
MAR04400,11.7
MAR04401,9.7
MAR04402_f,-1.0
MAR04403,-1.0
MAR04490,38.9
MAR04706,15.6
MAR08768,11.7
MAR04590,163.4
MAR04591,44.7
MAR04592_f,657.4
MAR04593,15.6
MAR04594,-1.0
MAR04595_f,-1.0
MAR08341,811.0
MAR08342_f,-1.0
MAR08344_f,83.6
MAR08352_f,54.5
MAR08353_f,-1.0
MAR08726,15.6
MAR08727,44.7
MAR08728,-1.0
MAR08729,81.7
MAR06537_f,83.6
MAR01568,107.0
MAR03853,175.1
MAR03854,657.4
MAR03855,657.4
MAR03857,50.6
MAR03859,9.7
MAR04087,13.6
