,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7
ENSG00000121410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128274,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000118017,2.0785973194034515,2.082661886084944,2.0687109905068155,2.0776693615980886,2.0641434606511133,2.079654802168351,2.0595855175371405
ENSG00000094914,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000081760,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000114771,1.4438448004044282,1.4668599547024643,1.5136805266024749,1.4942751773727911,1.4113337268841333,1.4301608878046146,1.4360217095668886
ENSG00000109576,9.0,9.0,9.0,9.0,9.0,9.0,9.0
ENSG00000129673,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000157426,0.9125821919225281,0.9949463394696574,0.9694190895604066,0.9620701713946997,0.8692431422104935,0.8937583192181614,0.49890616367898943
ENSG00000149313,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000008311,2.342183517444246,2.372283920720945,2.375560925025576,2.3451355661413698,2.309218203016237,2.3745113369672133,2.441531664312277
ENSG00000183044,4.4824945295586875,4.517748478718462,4.504802561357568,4.478165938892871,4.473867595837813,4.50965937969394,4.3407384231058375
ENSG00000165029,80.15013580525459,78.580977965672,79.90076552049324,81.23757922253193,82.61749813662242,80.39066646874495,84.74320783386156
ENSG00000167972,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000198691,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000141338,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ENSG00000085563,42.90266701428024,42.70248009563475,42.11394899555095,41.54355658117928,44.49312504094611,41.91899589446233,44.68852192342204
ENSG00000073734,20.331553780970104,19.20603440188672,21.296616279690717,20.944219694943367,19.424596401442574,19.026287331243324,22.70786297253756
ENSG00000005471,7.570675911779691,8.502076790424626,7.871965673009473,7.13684905538833,7.58287454685535,7.827819548806684,8.39684234770289
ENSG00000115657,3.642437591720541,3.655006418460244,3.6251989993453106,3.6253608704850704,3.640866873051601,3.626986869354008,3.555555555511221
ENSG00000103222,25.493861999386134,24.980613071488968,25.94033297698903,26.55142671808192,23.15941464416388,26.14757405755758,23.16505429196358
ENSG00000121270,9.016676449406873,8.566925413221734,8.563387548401517,8.394626772459272,9.314260868771438,8.870329727585215,7.507673894047729
ENSG00000023839,20.74102191727308,20.981864734815627,22.00745932558297,22.62241248289855,22.817491442553056,21.88538543150912,18.349699431469368
ENSG00000108846,28.44981724244262,29.060918674987203,27.120624319367433,28.260750752620687,27.28955158427683,29.336851336252803,24.75646263157582
ENSG00000125257,16.62394962009621,18.3258185145136,16.965738572199292,16.721975772521496,17.311733029792435,17.376516935539648,19.067390605634714
ENSG00000114770,4.805700344320563,4.694367688592209,4.844035936418701,4.8110094539745525,4.710230053529896,4.723425791196194,4.683102582742393
ENSG00000006071,0.10210562041196204,0.09526821125875813,0.10421677817193223,0.09350139139227427,0.10159598321510842,0.10278918931298477,0.12736143686125462
ENSG00000069431,0.04671445309169039,0.052094027322649776,0.04404002040029703,0.05175983063499742,0.04274794163327035,0.04618215513272368,0.030942469913965563
ENSG00000101986,19.81717087162773,19.79458303621668,19.801433827024702,19.74556557152234,19.83929011588749,19.843028229192267,19.803142108854725
ENSG00000173208,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ENSG00000117528,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ENSG00000160179,0.29122081707457,0.27998803468198125,0.2569458527892222,0.2531944171374556,0.26482008803665646,0.2745651850985082,0.29953432486785886
ENSG00000118777,22.932131288975423,22.7119182139042,22.527209624648922,21.5391510791368,22.303024200019486,22.051368819761112,25.81825479429368
ENSG00000138075,1.2637402723832487,1.2874663476220625,1.2843236666479396,1.2482799292336777,1.1669686771741512,1.2500371637155483,1.2155625656469518
ENSG00000143921,1.2637402723832487,1.2874663476220625,1.2843236666479396,1.2482799292336777,1.1669686771741512,1.2500371637155483,1.2155625656469518
ENSG00000100997,4.665612895284408,4.299859704323381,5.013571150108514,4.811190724541208,4.675792261698804,4.7089790494208605,5.083807720505715
ENSG00000011198,0.7864224499163659,0.6712125704083204,0.6884699926687504,0.6307952624477418,0.654265124991552,0.713936430388449,0.8474955277937272
ENSG00000163686,1.7368748405091923,2.1387903194013465,1.543741922125946,1.8394592649358468,1.7091306039995822,1.7563012325546628,2.0037814267605136
ENSG00000166016,0.4709090909036408,0.5264735264806419,0.5144749755216481,0.49284848482156757,0.5615952732906783,0.522492000691046,0.40580377703561066
ENSG00000060971,130.53691205334584,130.15728452079009,130.57189043283552,130.1702970756155,129.27092446288276,130.12266978057212,130.46342039851794
ENSG00000167315,66.56799203152542,66.9404751225818,67.08757894731559,66.92433517788197,66.45948330906583,66.83850948235033,66.01455572446912
ENSG00000278540,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000076555,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000111271,0.3245809100064796,0.3548616040379532,0.36806006783667616,0.33623231133154324,0.3425119914446445,0.3375664821576285,0.2600363857418996
ENSG00000240303,0.4202018474579597,0.39683666230183984,0.40459172623096745,0.4081662735895799,0.4567418724600371,0.38456528817652713,0.4681625227956208
ENSG00000151498,0.31541912029641106,0.2937363253911527,0.2903446531548888,0.30435839088872685,0.32437373889236043,0.3170377271433843,0.40889076775489575
ENSG00000177646,12.844187977942754,12.813121689094183,11.854996748675028,12.95243553808558,12.231398796064603,12.557384910829507,9.096885676785606
ENSG00000115361,12.808715197000355,13.534704101725794,13.105242744441156,12.871712506078316,14.594229985593245,13.333326187516164,15.46275831376518
ENSG00000117054,38.53120333005278,39.541709320001154,37.215168757890794,37.77517729414947,37.77952194431842,39.05536514876067,37.01932486753893
ENSG00000122971,17.790397290405323,16.76222082835772,18.3304832558479,17.66960649825393,17.354599021263166,17.24584047769852,18.31743956261143
ENSG00000196177,3.2771638344171214,3.1924590749453348,3.468265160789789,3.3670812117774016,3.5863948905779046,3.352420431126375,3.4037014732600444
ENSG00000072778,41.07727960621637,41.124622204496845,41.82925221411582,41.46829759860008,40.98648825907291,40.99871019594939,43.23511647149286
ENSG00000075239,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000120437,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000159640,1.3995905454092408,1.3740157479394035,1.3862137203072187,1.4059375946525159,1.3578358208480383,1.4059758122570902,1.3630206569208299
ENSG00000130234,6.739006997301045,6.7831198366457555,6.756820642699608,6.745281313904621,6.769160262324838,6.7266530818692,6.739127922841364
ENSG00000167769,0.7701966596848102,0.8649287437888893,0.7764329619596259,0.8136161938761197,0.8149249133224417,0.8411455347170272,0.5228010479814346
ENSG00000177076,0.7484173197248412,0.775698753389184,0.7425604624162631,0.7668481096326205,0.6695214010532526,0.699419015690441,0.7033694893419855
ENSG00000078124,16.670921378520674,16.661919960641598,16.69128470651289,16.722185260755225,16.707491108194063,16.673609830680466,16.858277981766015
