,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7
MAR03905,323.34964378999996,324.99694972000003,327.50346977999993,331.68448696999997,333.99815716,325.83961977999996,389.36404194999994
MAR03907,54.76774018,53.69909983,55.19928831,55.1772174,69.88695258,56.56408492,44.27828242
MAR04097,42.74989288,38.74060587,45.54666551,50.72090763,45.33025151,45.89235363,43.10914871
MAR04099,65.78275231,63.81028438,67.33100003,70.35567858,72.52164678,66.08264379,60.24227193
MAR04108,42.74989288,38.74060587,45.54666551,50.72090763,45.33025151,45.89235363,43.10914871
MAR04133,42.74989288,38.74060587,45.54666551,50.72090763,45.33025151,45.89235363,43.10914871
MAR04281,79.15927952,73.31555521,79.51545832,80.45664740999999,75.73056921,75.67938381,66.87444866
MAR04388,237.04111999999998,239.52525138,256.11098366000004,248.36499815,247.45858609,240.32895235,252.61791091
MAR04283,172.22885334,167.951698,181.13173059999997,171.60843827,176.15295202000001,173.62085911999998,205.19359593
MAR08357,270.57139918,258.11922741,266.8449112,265.62307055,277.75756941,268.41554184,243.24358421
MAR04379,133.78144680999998,124.06082584,125.85332242999999,124.53360228,137.57832668999998,131.10984161,174.11589601
MAR04301,133.78144680999998,124.06082584,125.85332242999999,124.53360228,137.57832668999998,131.10984161,174.11589601
MAR04355,119.24033684,125.23478359,124.32367181000001,132.25787256,132.61294144,118.93312258,125.20359264999999
MAR04358,73.27166656,66.87772238,69.94195537,70.86882942,67.15092399,65.02719783,49.379956840000006
MAR04360,32.96416257,29.15959581,33.81055309,35.70449408,30.9407678,34.0674499,38.00747431
MAR04363,138.55300129,140.53410399999999,135.98066437,138.49670625000002,134.43696049,133.96345474,79.18223814000001
MAR04365,175.09178599,179.61553633,180.26141214999998,170.69016838,169.32976958999998,181.43897728000002,157.15282864
MAR04368,144.13329376000002,151.51628946,148.87720138999998,144.24939702999998,154.36605766000002,150.28377641,129.54001593
MAR04370,88.4112427,86.2290905,88.3557839,82.82794436,95.33539631,87.90692063,100.21389089
MAR04371,175.09178599,179.61553633,180.26141214999998,170.69016838,169.32976958999998,181.43897728000002,157.15282864
MAR04372,88.4112427,86.2290905,88.3557839,82.82794436,95.33539631,87.90692063,100.21389089
MAR04373,82.55597928,78.57943029,90.09114614,82.99539358000001,83.87109871999999,81.7384254,78.28944512999999
MAR04375,164.69141478,168.70909008,165.04402591000002,178.92758948,176.82851463999998,163.34003374,144.37738561999998
MAR04377,83.38089208,85.3959592,76.93087624,77.43175833999999,87.75558377,83.53659259,85.66561602
MAR04381,47.61849588,50.02574816,50.79494949,51.15303464,40.39864441,46.8109825,47.21174521
