,reaction_expression
MAR03905,324.99694972000003
MAR03907,53.69909983
MAR04097,38.74060587
MAR04099,63.81028438
MAR04108,38.74060587
MAR04133,38.74060587
MAR04281,73.31555521
MAR04388,239.52525138
MAR04283,167.951698
MAR08357,258.11922741
MAR04379,124.06082584
MAR04301,124.06082584
MAR04355,125.23478359
MAR04358,66.87772238
MAR04360,29.15959581
MAR04363,140.53410399999999
MAR04365,179.61553633
MAR04368,151.51628946
MAR04370,86.2290905
MAR04371,179.61553633
MAR04372,86.2290905
MAR04373,78.57943029
MAR04375,168.70909008
MAR04377,85.3959592
MAR04381,50.02574816
MAR04391,46.95831016
MAR04394,248.99265263000004
MAR04396,89.4480069
MAR04521,102.13432457
MAR06412,22.34306693
MAR07745,33.09803474
MAR07747,46.80683173
MAR08360,53.85057825
MAR08652,102.13432457
MAR08757,36.69564721
MAR03989,173.10196426000002
MAR04122,47.18552779
MAR04837,39.19504113
MAR05395,96.3024054
MAR05396,176.32088069
MAR09727,192.49120202
MAR05397,50.29083538
MAR05398,132.35426934
MAR05399,43.55004571
MAR05400,43.55004571
MAR05401,132.35426934
MAR08568,205.25325886999997
MAR08569,205.25325886999997
MAR08570,205.25325886999997
MAR08571,205.25325886999997
MAR08572,205.25325886999997
MAR08573,205.25325886999997
MAR08574,205.25325886999997
MAR08575,205.25325886999997
MAR08576,205.25325886999997
MAR08577,205.25325886999997
MAR08578,205.25325886999997
MAR08579,205.25325886999997
MAR08581,205.25325886999997
MAR08591,91.15213912
MAR08592,52.41153327
MAR08580,205.25325886999997
MAR08582,205.25325886999997
MAR08587,91.15213912
MAR08589,52.41153327
MAR08583,46.20091804
MAR08584,39.15717152
MAR08585,52.60088129
MAR03944,49.04113842
MAR04128,33.36312196
MAR04130,110.27628966
MAR04131,52.44940286
MAR04132,52.44940286
MAR04303,182.72084391
MAR04414,141.70806177
MAR04415,32.9086867
MAR04416,113.64668447
MAR04774,124.06082584
MAR04775,124.06082584
MAR04831,-1.0
MAR04832,32.9086867
MAR07674,143.98023804
MAR08761,37.22582167
MAR08762,168.70909008
MAR08764,38.51338824
MAR08766,89.97818139
MAR08767,52.44940286
MAR00454,-1.0
MAR04297,163.74817183
MAR04310,37.22582167
MAR04315,37.68025693
MAR04316,89.97818139
MAR04317,230.20932853999997
MAR04318,230.20932853999997
MAR04319,173.9729652
MAR04320,230.20932853999997
MAR04356,168.70909008
MAR04383,54.57010076
MAR04385,134.89153288
MAR04386,72.70964152
MAR04387,26.66020188
MAR04399,42.30034875
MAR04400,-1.0
MAR04401,37.83173536
MAR04402,-1.0
MAR04403,-1.0
MAR04490,173.9729652
MAR04706,163.74817183
MAR08768,-1.0
MAR04590,42.22460952
MAR04591,82.4799996
MAR04592,89.97818139
MAR04593,37.68025693
MAR04594,37.4530393
MAR04595,31.31816329
MAR08341,161.89256121
MAR08342,-1.0
MAR08344,53.69909983
MAR08352,42.52756638
MAR08353,-1.0
MAR08726,33.17377395
MAR08727,34.99151498
MAR08728,-1.0
MAR08729,41.69443506
MAR06537,53.69909983
MAR01568,167.951698
MAR03853,88.69061481
MAR03854,89.97818139
MAR03855,89.97818139
MAR03857,117.01707933
MAR03859,82.97230447
MAR04087,52.52514209
MAR04089,113.19224924
MAR04091,52.52514209
MAR04093,35.40808063
MAR04095,35.40808063
MAR04101,37.68025693
MAR04103,39.64947639
MAR04143,48.43522475
MAR04193,66.87772238
MAR08497,161.89256121
MAR08498,36.69564721
MAR08499,36.69564721
MAR08500,161.89256121
MAR08501,33.24951315
MAR08502,295.83735391000005
MAR08503,335.60043915
MAR08504,258.11922741
MAR08506,258.11922741
MAR08507,324.99694972000003
MAR08508,324.99694972000003
MAR08509,161.89256121
MAR08511,117.01707933
MAR08512,48.28374632
MAR08514,82.97230447
MAR08516,42.37608795
MAR08517,-1.0
MAR04280,77.21612453
MAR00153,102.55089025000001
MAR03212,373.50791370999997
MAR03797,102.55089025000001
MAR03800,36.77138641
MAR04105,27.53120281
