GeneID,healthy,diseased
ENSG00000187608,111.6,69.91
ENSG00000176022,10.96,11.62
ENSG00000078369,365.7,419.7
ENSG00000169598,2.002,3.206
ENSG00000116251,95.11,168.6
ENSG00000116237,1.743,3.358
ENSG00000162413,1.556,3.849
ENSG00000116288,843.7,916.5
ENSG00000142583,1.24,1.936
ENSG00000171603,10.69,8.574
ENSG00000160049,2.445,1.47
ENSG00000009724,195.7,215.9
ENSG00000116649,24.87,35.87
ENSG00000028137,19.71,19.23
ENSG00000132906,8.143,2.973
ENSG00000065526,7.045,7.806
ENSG00000117118,894.5,809.6
ENSG00000053371,30.09,22.19
ENSG00000158748,0.3035,0.5717
ENSG00000188257,141.5,69.28
ENSG00000158825,177.7,186.0
ENSG00000158828,261.4,266.1
ENSG00000076864,0.691,0.3661
ENSG00000142798,0.1018,0.2876
ENSG00000070831,106.2,139.2
ENSG00000173372,37.99,45.63
ENSG00000159189,12.14,17.97
ENSG00000173369,810.8,919.1
ENSG00000133216,0.977,0.6664
ENSG00000142676,3322.0,3759.0
ENSG00000117308,27.05,16.72
ENSG00000188529,2.702,2.479
ENSG00000169504,180.2,177.4
ENSG00000183726,20.05,33.91
ENSG00000117632,21.48,29.27
ENSG00000169442,1068.0,928.0
ENSG00000117682,7.107,14.25
ENSG00000117676,5.484,0.731
ENSG00000142784,17.28,13.83
ENSG00000142765,2.5,2.12
ENSG00000000938,21.42,24.34
ENSG00000117748,12.88,10.48
ENSG00000130766,25.49,22.63
ENSG00000162511,436.1,300.7
ENSG00000084636,3.244,2.167
ENSG00000084652,91.3,113.7
ENSG00000182866,2.581,1.823
ENSG00000116514,8.66,5.681
ENSG00000171812,0.7834,0.2013
ENSG00000054116,157.7,149.6
ENSG00000119535,1.663,0.8812
ENSG00000214114,0.1499,0.6352
ENSG00000127603,5.432,3.531
ENSG00000084072,11.8,12.43
ENSG00000171793,50.92,43.03
ENSG00000198815,4.812,5.529
ENSG00000186409,7.077,6.511
ENSG00000127125,26.48,24.36
ENSG00000117395,299.2,235.8
ENSG00000142949,0.8772,0.3262
ENSG00000117408,2.806,1.79
ENSG00000132768,0.6966,0.1968
ENSG00000117410,42.59,21.09
ENSG00000117411,2.004,0.4357
ENSG00000142945,0.33,0.6218
ENSG00000173846,1.526,1.961
ENSG00000117450,196.2,210.7
ENSG00000086015,7.627,6.814
ENSG00000132128,20.54,29.95
ENSG00000079277,2.347,2.605
ENSG00000159658,1.057,1.4
ENSG00000187048,553.0,609.8
ENSG00000162365,186.8,282.5
ENSG00000123473,0.3623,0.9386
ENSG00000085832,27.49,27.02
ENSG00000116171,812.1,869.8
ENSG00000116221,138.9,114.3
ENSG00000243725,17.17,22.68
ENSG00000177606,6.609,12.67
ENSG00000162607,0.3982,0.1407
ENSG00000125703,14.96,12.41
ENSG00000079739,130.0,158.3
ENSG00000162434,42.75,45.55
ENSG00000116717,124.0,165.9
ENSG00000024526,0.5078,0.5125
ENSG00000254685,1.302,2.99
ENSG00000116791,158.3,208.3
ENSG00000117054,77.61,105.3
ENSG00000137955,348.8,413.4
ENSG00000122420,14.12,17.04
ENSG00000137965,6.74,6.135
ENSG00000162618,10.86,0.6138
ENSG00000142875,15.16,23.18
ENSG00000142871,3.375,4.291
ENSG00000097033,19.64,24.75
ENSG00000153936,42.88,49.61
ENSG00000137944,74.14,81.99
ENSG00000154451,0.09488,0.8044
ENSG00000097046,1.392,1.21
ENSG00000154511,46.39,49.25
ENSG00000143033,24.4,19.21
ENSG00000067334,16.82,20.82
ENSG00000023909,84.01,108.8
ENSG00000117525,5.134,2.267
ENSG00000117519,181.9,178.0
ENSG00000162627,29.91,39.63
ENSG00000162688,15.98,18.97
ENSG00000117620,14.69,19.57
ENSG00000156875,40.62,48.87
ENSG00000162692,7.68,3.391
ENSG00000060718,0.1413,0.1997
ENSG00000185946,27.43,29.13
ENSG00000240038,65.49,36.58
ENSG00000243480,39.6,28.47
ENSG00000237763,2.47,2.685
ENSG00000174876,2.485,2.701
ENSG00000187733,3.271,3.852
ENSG00000134215,0.6814,0.3466
ENSG00000134222,8.653,2.788
ENSG00000065135,11.01,6.305
ENSG00000213366,26.48,18.57
ENSG00000134184,39.16,51.32
ENSG00000134202,39.4,46.06
ENSG00000198758,6.829,11.36
ENSG00000162777,8.771,5.23
ENSG00000143110,3.535,1.211
ENSG00000116752,135.1,173.8
ENSG00000213281,12.71,15.69
ENSG00000163399,83.05,85.53
ENSG00000116815,51.16,50.29
ENSG00000116824,7.954,7.933
ENSG00000065183,9.49,12.32
ENSG00000203859,7.311,3.247
ENSG00000203857,1.144,1.293
ENSG00000092621,12.67,11.01
ENSG00000134240,2726.0,2630.0
ENSG00000134250,16.74,17.09
ENSG00000263353,6.989,6.583
ENSG00000188610,1.133,1.373
ENSG00000263513,0.9562,1.158
ENSG00000215784,0.6045,0.7321
ENSG00000117262,53.81,47.69
ENSG00000131791,10.8,10.58
ENSG00000131781,45.49,34.16
ENSG00000188092,57.88,51.3
ENSG00000150337,3.841,3.101
ENSG00000288825,256.2,203.4
ENSG00000288859,594.6,478.0
ENSG00000184678,3.977,9.772
ENSG00000184260,413.4,343.0
ENSG00000143401,66.64,66.56
ENSG00000143384,269.0,320.0
ENSG00000163131,549.0,601.9
ENSG00000143437,66.95,71.65
ENSG00000143409,0.7836,5.647
ENSG00000143363,5.26,1.77
ENSG00000213190,4.18,8.093
ENSG00000163159,45.67,62.44
ENSG00000159352,61.37,27.38
ENSG00000143390,33.25,43.02
ENSG00000143375,14.13,11.9
ENSG00000159445,10.55,6.894
ENSG00000163220,155.0,109.0
ENSG00000196154,27.36,29.96
ENSG00000196754,6.995,4.448
ENSG00000189171,45.54,52.07
ENSG00000143621,99.22,101.7
ENSG00000143624,3.659,3.93
ENSG00000143554,17.87,12.75
ENSG00000163344,6.901,11.02
ENSG00000160691,39.15,37.76
ENSG00000173207,12.45,13.49
ENSG00000160688,9.034,5.945
ENSG00000176444,59.96,50.68
ENSG00000132680,33.1,18.16
ENSG00000116584,7.065,4.992
ENSG00000160856,0.1608,0.2271
ENSG00000163563,8.96,9.495
ENSG00000132693,249.3,149.6
ENSG00000122218,21.5,21.54
ENSG00000158793,64.12,67.7
ENSG00000143224,0.5689,0.5359
ENSG00000158869,2083.0,2158.0
ENSG00000143257,137.6,92.75
ENSG00000173110,4.407,2.537
ENSG00000203747,47.82,26.1
ENSG00000162747,50.26,27.43
ENSG00000118217,17.88,15.28
ENSG00000162745,4.672,4.418
ENSG00000162733,0.09328,0.2636
ENSG00000143149,262.4,307.1
ENSG00000143183,5.185,6.745
ENSG00000143162,200.1,229.2
ENSG00000198771,2.006,3.562
ENSG00000197965,36.99,46.91
ENSG00000143158,251.4,242.3
ENSG00000143185,17.78,5.798
ENSG00000143184,5.684,2.425
ENSG00000143153,121.2,141.9
ENSG00000198734,13.21,13.46
ENSG00000174175,0.3239,1.22
ENSG00000188404,1.434,2.927
ENSG00000007908,0.5952,0.9811
ENSG00000000460,3.637,2.327
ENSG00000007933,789.9,666.8
ENSG00000010932,18.04,15.79
ENSG00000117560,2.63,3.716
ENSG00000116199,3.51,4.263
ENSG00000135821,128.2,184.5
ENSG00000058085,1.708,1.724
ENSG00000116701,88.24,82.42
ENSG00000116741,33.93,39.48
ENSG00000000971,1507.0,1299.0
ENSG00000116785,0.2615,0.3695
ENSG00000244414,2738.0,2420.0
ENSG00000177888,11.82,11.6
ENSG00000081237,5.753,5.712
ENSG00000118193,0.3381,0.3412
ENSG00000118200,9.799,7.362
ENSG00000174307,2.97,7.631
ENSG00000159176,85.73,85.64
ENSG00000117139,0.141,0.09958
ENSG00000159388,17.18,20.1
ENSG00000196550,0.4924,0.5964
ENSG00000263528,1.071,0.1513
ENSG00000143479,5.585,6.717
ENSG00000162889,137.4,143.9
ENSG00000136634,4.48,4.998
ENSG00000162894,12.07,3.908
ENSG00000196352,10.45,14.29
ENSG00000197721,4.834,6.533
ENSG00000196878,2.036,0.8389
ENSG00000123689,187.8,146.3
ENSG00000117650,0.4693,1.658
ENSG00000123684,2.653,4.857
ENSG00000143476,1.064,1.272
ENSG00000066027,0.3314,0.6243
ENSG00000117691,125.5,86.56
ENSG00000162772,3.177,1.738
ENSG00000117724,0.2215,0.4174
ENSG00000136628,2.677,1.446
ENSG00000067704,53.46,67.54
ENSG00000143514,0.1546,1.092
ENSG00000143748,3.941,0.8735
ENSG00000143815,15.97,9.776
ENSG00000143742,412.4,463.6
ENSG00000143819,3839.0,4258.0
ENSG00000182827,16.62,23.18
ENSG00000143799,1.449,1.092
ENSG00000143801,13.34,11.8
ENSG00000163050,75.64,73.09
ENSG00000181218,6.2,4.38
ENSG00000168118,12.15,6.798
ENSG00000069248,22.65,15.43
ENSG00000135776,8.617,10.13
ENSG00000135775,33.43,30.56
ENSG00000143633,39.78,46.71
ENSG00000135750,0.4193,3.752
ENSG00000168275,45.02,56.49
ENSG00000059588,7.975,4.54
ENSG00000173726,25.06,37.72
ENSG00000188739,26.81,34.04
ENSG00000054267,14.16,11.93
ENSG00000143669,0.1682,0.2906
ENSG00000086619,16.48,14.42
ENSG00000116977,6.462,6.274
ENSG00000119285,1.091,1.284
ENSG00000077522,0.2255,0.1062
