ID,Expression
MAR04388_f,247.45858609
MAR04379,137.57832669
MAR04358,67.15092399
MAR04363_f,134.43696049
MAR04368_f,154.36605766
MAR04391_f,45.60047655
MAR04394,252.18752443
MAR06412,19.01708763
MAR08514,87.89069627999999
MAR00710_f,56.24058775
MAR03977,129.74180031
MAR06914,32.39322741
MAR06916,1.14
MAR00397,408.24248865
MAR02368,148.04954721
MAR02371,294.7479692000001
MAR02374,1.14
MAR02376,1.14
MAR02378,119.57458296
MAR02380,148.04954721
MAR00410,258.03114106
MAR02591_f,128.42445324
MAR07672,65.49579559
MAR07673,65.49579559
MAR08709_f,355.71749525
MAR08746,74.44700023
MAR02590,39.58796927
MAR04898_f,1.14
MAR04926,76.00079425999999
MAR05043,33.17012443
MAR06328_f,107.81979345
MAR07638,216.58537456
MAR02195,176.15295202
MAR02303_f,45.43158591
MAR20069,38.03417526
MAR04365_r,169.32976959
MAR04373_r,83.87109871999999
MAR04375_r,176.82851464
MAR04381_r,40.39864441
MAR04002_r,433.94764615
MAR06409_r,49.14718029
MAR03958_r,44.08046067
MAR02593_r,95.76100076
MAR06638_r,355.71749525
MAR04888_r,88.05958695
MAR00060_r,39.58796927
MAR02192_r,176.15295202
temporary_exchange_MAM01965c,-1.0
temporary_exchange_MAM02387c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02046c,-1.0
temporary_exchange_MAM02555c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM02630c,-1.0
temporary_exchange_MAM01362c,-1.0
temporary_exchange_MAM01596c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM02554c,-1.0
temporary_exchange_MAM02040c,-1.0
