ID,Expression
MAR04379,66.2
MAR06412,15.3
MAR07747,1.14
MAR08503,380.7
MAR08508,569.6
MAR08509,420.9
MAR08516,20.4
MAR03829_f,192.1
MAR03856,949.2
MAR00710_f,304.2
MAR04139_f,194.3
MAR04145,24.0
MAR04149,43.4
MAR04410_f,93.5
MAR03977,319.7
MAR06914,630.5
MAR06916,0.8
MAR06918,146.8
MAR06921,49.5
MAR00397,1251.6
MAR00409,1251.6
MAR02368,1.14
MAR02371,191.5
MAR02374,1.14
MAR02376,1.14
MAR02378,105.2
MAR02380,1.14
MAR00410,72.69999999999999
MAR04271,361.0
MAR07672,14.4
MAR07673,14.4
MAR08746,179.4
MAR03825,153.2
MAR04855_f,67.9
MAR04898_f,1.14
MAR04926,1204.4
MAR05043,451.0
MAR06291,199.4
MAR06328_f,653.2
MAR02216_f,199.4
MAR20069,30.6
MAR04388_r,562.8
MAR04375_r,3415.0
MAR04381_r,106.6
MAR04391_r,608.4
MAR04002_r,796.0999999999999
MAR03827_r,167.1
MAR06409_r,82.2
MAR03958_r,309.7
MAR04141_r,269.6
MAR04408_r,93.5
MAR00125_r,199.4
temporary_exchange_MAM01965c,-1.0
temporary_exchange_MAM02387c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02046c,-1.0
temporary_exchange_MAM02555c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM02630c,-1.0
temporary_exchange_MAM01362c,-1.0
temporary_exchange_MAM01596c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM02554c,-1.0
temporary_exchange_MAM02040c,-1.0
