ID,Flux
MAR04375_f,1.0
MAR04377,1.0
MAR04381_f,1.0
MAR03944,1.0
MAR00454,2.0
MAR03804_f,1.999999999999999
MAR03829_f,2.0
MAR04139_f,2.0
MAR04410_f,1.0
MAR03977,1.0
MAR06916,1.0
MAR06921,2.0
MAR00761,1.0
MAR00762,1.0
MAR04271,1.999999999999999
MAR04523_f,2.0
MAR05029_f,1.0
MAR03825,2.0
MAR04855_f,1.0
MAR05043,1.0
MAR06293,3.0
MAR06328_f,3.0
MAR02416_f,1.0
MAR02420_f,2.0
MAR04391_r,1.0
MAR04396_r,1.0
MAR04006_r,1.0
MAR03802_r,1.999999999999999
MAR03827_r,2.0
MAR04141_r,2.0
MAR04408_r,1.0
MAR06911_r,2.0
MAR00453_r,2.0
MAR03925_r,2.0
MAR04883_r,1.0
MAR01621_r,1.0
temporary_exchange_MAM01983[c],2.0
temporary_exchange_MAM01371[m],2.0
temporary_exchange_MAM01802[m],2.0
temporary_exchange_MAM02040[c],1.0
temporary_exchange_MAM02040[r],1.0
temporary_exchange_MAM01965[e],1.0
temporary_exchange_MAM01285[m],2.0
temporary_exchange_MAM01803[m],2.0
temporary_exchange_MAM02039[m],2.0
temporary_exchange_MAM02751[c],1.0
temporary_exchange_MAM02751[r],1.0
