ID,Flux
MAR02592,2.0
MAR02593_f,2.0
MAR04914_f,2.0
MAR_dummy_007,1.0
MAR_dummy_008,1.0
MAR_dummy_009,1.0
MAR_dummy_010,1.0
MAR_dummy_011,1.0
MAR_dummy_012,1.0
MAR_dummy_013,1.0
MAR_dummy_014,1.0
MAR_dummy_015,1.0
MAR_dummy_016,1.0
MAR_dummy_017,1.0
MAR_dummy_018,1.0
MAR_dummy_019,1.0
MAR_dummy_020,1.0
MAR_dummy_021,1.0
MAR_dummy_022,1.0
MAR_dummy_023,1.0
MAR_dummy_024,1.0
MAR_dummy_025,1.0
MAR_dummy_026,1.0
MAR_dummy_027,1.0
MAR_dummy_028,1.0
MAR_dummy_029,1.0
MAR_dummy_030,1.0
MAR_dummy_031,1.0
MAR_dummy_032,1.0
MAR_dummy_033,1.0
MAR_dummy_034,1.0
MAR_dummy_035,1.0
MAR_dummy_036,1.0
MAR_dummy_037,1.0
MAR_dummy_038,1.0
MAR_dummy_039,1.0
MAR_dummy_040,1.0
MAR_dummy_041,1.0
MAR_dummy_042,1.0
MAR_dummy_043,1.0
MAR_dummy_047,1.0
MAR_dummy_048,1.0
MAR_dummy_049,1.0
MAR_dummy_050,1.0
MAR_dummy_051,1.0
MAR_dummy_052,1.0
MAR_dummy_053,1.0
MAR_dummy_054,1.0
MAR_dummy_055,1.0
MAR_dummy_056,1.0
MAR_dummy_057,1.0
MAR_dummy_058,1.0
MAR02591_r,2.0
MAR03106_r,2.0
temporary_exchange_MAM01597[x]_f,2.0
temporary_exchange_MAM01597[x]_r,1.0
temporary_exchange_MAM_dummy_039[e],1.0
temporary_exchange_MAM01371[c],1.0
temporary_exchange_MAM01597[c],1.0
temporary_exchange_MAM02040[x],2.0
temporary_exchange_MAM02630[x],2.0
temporary_exchange_MAM02552[x],2.0
temporary_exchange_MAM02348[x],1.0
temporary_exchange_MAM02040[m],9.0
temporary_exchange_MAM01597[m],10.0
temporary_exchange_MAM01802[m],9.0
temporary_exchange_MAM02552[m],9.0
temporary_exchange_MAM01334[c],1.0
temporary_exchange_MAM02759[c],1.0
temporary_exchange_MAM02041[x],2.0
temporary_exchange_MAM02553[x],2.0
temporary_exchange_MAM02039[x],2.0
temporary_exchange_MAM02348[m],1.0
temporary_exchange_MAM01803[m],9.0
temporary_exchange_MAM02553[m],9.0
temporary_exchange_MAM02039[m],9.0
temporary_exchange_MAM01261[m],12.0
