ID,Flux
MAR04082,1.0
MAR04083,1.0
MAR03215,1.0
MAR03744,1.0
MAR03757,1.0
MAR03761,1.0
MAR03748,1.0
MAR03753,1.0
MAR03755,1.0
MAR03752_r,1.0
temporary_exchange_MAM03135[m],1.0
temporary_exchange_MAM01306[m],1.0
temporary_exchange_MAM02552[m],3.0
temporary_exchange_MAM01597[m],1.0
temporary_exchange_MAM01802[m],1.0
temporary_exchange_MAM02040[m],3.0
temporary_exchange_MAM01371[m],1.0
temporary_exchange_MAM01974[m],1.0
temporary_exchange_MAM02553[m],3.0
temporary_exchange_MAM01596[m],1.0
temporary_exchange_MAM01803[m],1.0
temporary_exchange_MAM02039[m],4.0
temporary_exchange_MAM02751[m],1.0
temporary_exchange_MAM01285[m],1.0
temporary_exchange_MAM02944[m],1.0
