ID,Flux
MAR04379,1.0
MAR04358,2.0
MAR04363_f,2.0
MAR04368_f,2.0
MAR04391_f,1.0
MAR04396_f,1.0
MAR04132,1.0
MAR04414,1.0
MAR04365_r,2.0
MAR04373_r,2.0
MAR04375_r,1.0
MAR04381_r,1.0
MAR04858_r,1.0
temporary_exchange_MAM01910[e],1.0
temporary_exchange_MAM03108[c],1.0
temporary_exchange_MAM01285[c],2.0
temporary_exchange_MAM02552[c],2.0
temporary_exchange_MAM02751[c],2.0
temporary_exchange_MAM03107[c],1.0
temporary_exchange_MAM02039[c],2.0
temporary_exchange_MAM01371[c],2.0
temporary_exchange_MAM02553[c],2.0
temporary_exchange_MAM02040[c],2.0
temporary_exchange_MAM02819[c],2.0
