ID,Flux
MAR04379,0.75
MAR04391_f,0.75
MAR04477_f,0.25
MAR04501_f,0.25
MAR04565_f,0.25
MAR04375_r,0.75
MAR04381_r,1.0
MAR04352_r,0.25
MAR04404_r,0.5
temporary_exchange_MAM01285c_f,0.0
temporary_exchange_MAM01285c_r,0.75
temporary_exchange_MAM01968c,1.0
temporary_exchange_MAM02554c,0.0
temporary_exchange_MAM02040c,0.0
temporary_exchange_MAM01371c,0.75
temporary_exchange_MAM02039c,0.75
temporary_exchange_MAM02555c,0.0
temporary_exchange_MAM01596c,0.0
temporary_exchange_MAM01939c,1.0
temporary_exchange_MAM01785c,0.75
