ID,Flux
MAR12462,1.0
MAR12470,1.0
MAR12926_f,1.0
MAR12927_f,1.0
temporary_exchange_MAM02039r_f,0.0
temporary_exchange_MAM02039r_r,1.0
temporary_exchange_MAM03402e,1.0
temporary_exchange_MAM01371c,1.0
temporary_exchange_MAM02040c,1.0
temporary_exchange_MAM03109r,1.0
temporary_exchange_MAM02555r,0.0
temporary_exchange_MAM02630r,0.0
temporary_exchange_MAM02026r,0.0
temporary_exchange_MAM01628c,0.0
temporary_exchange_MAM01285c,1.0
temporary_exchange_MAM02039c,1.0
temporary_exchange_MAM02751c,1.0
temporary_exchange_MAM03403c,1.0
temporary_exchange_MAM03106r,1.0
temporary_exchange_MAM02040r,0.0
temporary_exchange_MAM02554r,0.0
temporary_exchange_MAM03526c,0.0
temporary_exchange_MAM02026c,0.0
