ID,Expression
MAR04379,125.85332243
MAR04358,69.94195537
MAR04363_f,135.98066437
MAR04368_f,148.87720139
MAR04391_f,44.38624091
MAR04394,241.39468989
MAR04365_r,180.26141215
MAR04373_r,90.09114614
MAR04375_r,165.04402591
MAR04381_r,50.79494949
temporary_exchange_MAM01965c,-1.0
temporary_exchange_MAM02552c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM02819c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02553c,-1.0
temporary_exchange_MAM02040c,-1.0
