ID,Flux
MAR30005,1.0
temporary_exchange_MAM02039c_f,0.0
temporary_exchange_MAM02039c_r,0.0
temporary_exchange_MAM03402c,1.0
temporary_exchange_MAM02555c,0.0
temporary_exchange_MAM02630c,0.0
temporary_exchange_MAM02682c,0.0
temporary_exchange_MAM03109c,1.0
temporary_exchange_MAM03779r,0.0
temporary_exchange_MAM02040r,0.0
temporary_exchange_MAM02554r,0.0
temporary_exchange_MAM02681c,0.0
temporary_exchange_MAM03958c,0.0
temporary_exchange_MAM03106r,1.0
temporary_exchange_MAM02039r,1.0
temporary_exchange_MAM03403r,1.0
