GeneID,T0,T30min,T3h,T6h,T12h,T24h,T4d
ENSG00000121410,60.10541125,53.69909983,57.70475052,60.06565419,67.28603652,65.00765254,96.4641602
ENSG00000148584,46.7450588,44.68613386,51.69164123,45.91349465,46.34359544,40.65421444,70.99830211
ENSG00000175899,41.08389252,50.89674907,42.40824444,46.56168517,45.46536402,46.59598426,31.12021386
ENSG00000166535,63.70267806,62.34851761,59.59307782,67.37940381,56.30138839,59.7851496,49.43522498
ENSG00000184389,28.30583145,30.78798883,27.53371094,26.92691423,28.33985172,29.80657549,15.02868252
ENSG00000128274,44.09239803,48.1322679,43.99064162,47.04782805,42.25644161,41.3187545,36.32817316
ENSG00000118017,37.7033675,39.7252156,33.38858051,37.62205769,31.41366163,38.42605077,32.43814643
ENSG00000094914,30.74822035,33.28738276,36.26326872,33.48984317,32.76478686,35.94379826,33.30968245
ENSG00000081760,43.13808714,42.45182715,35.97316256,41.37616106,47.52583001,44.07464116,32.31060457
ENSG00000114771,30.21445324,31.58325054,35.5248167,33.57086698,28.77896743,30.04111904,29.52594061
ENSG00000197953,61.70671258,59.98545426,60.89591816,66.25047199,66.27269259,63.20948536,51.03800101
ENSG00000188984,33.48175492,31.05307607,38.87422407,36.67677985,35.87237489,36.43243064,61.85780215
ENSG00000204518,41.84410626,39.46012838,38.71598435,41.97033571,43.74267935,37.56605779,37.05091036
ENSG00000109576,49.00952532,48.17013751,51.19054879,51.9092569,55.531247,52.92865998,76.61014396
ENSG00000103591,57.97034283,53.66123024,57.25640464,55.47430472,60.05751652,61.7826788,36.66828478
ENSG00000115977,31.78340503,27.72055083,29.51170742,29.19558102,35.02792161,30.7056591,38.00747431
ENSG00000087884,42.89546572,44.19382899,45.38842579,46.93979631,40.56753507,40.28285384,78.54452885
ENSG00000127837,44.1894466,43.05774084,42.61923072,43.83388343,33.37279322,41.20148273,53.26998356
ENSG00000129673,34.8080853,30.18207515,33.44132707,37.0008751,34.52124965,33.91108753,19.21630692
ENSG00000131043,48.79925343,53.66123024,46.89170311,46.39963754,49.38362721,51.09140219,57.01121147
ENSG00000205002,34.12874535,32.64359948,32.65012848,34.73220831,30.46787396,33.05109455,28.10172318
ENSG00000124608,45.77457315,43.92874175,44.28074776,41.67324839,38.13550966,41.78784159,48.42339288
ENSG00000266967,46.69653451,46.23878766,45.52029223,50.28878061,49.21473654,51.42367222,27.42149992
ENSG00000157426,50.9990209,55.78192811,53.35315827,53.69178081,47.52583001,49.03914618,24.46678016
ENSG00000149313,49.94766144,49.34409527,52.24548025,50.63988381,61.91531372,56.01681664,46.6803208
ENSG00000008311,26.0575397,29.19746542,28.69413553,29.22258895,26.85361397,28.0865895,31.86420806
ENSG00000275700,38.78707647,42.45182715,38.21489191,36.32567666,32.22433676,39.75513086,47.9557394
ENSG00000181409,41.52061106,46.01157003,39.0060905,44.5901057,44.14801692,46.20507835,56.77738471
ENSG00000183044,35.66534763,38.66486667,37.42369332,35.48843058,32.15678051,39.18831729,23.14884761
ENSG00000165029,59.19962464,54.75944877,59.6563737,68.49213086,74.14299706,62.50585472,68.61752073
ENSG00000154263,53.11791458,56.16062416,60.21021272,57.41887626,59.65217895,55.87999958,35.22281036
ENSG00000144452,44.5129418,41.2399998,41.22144655,41.45718488,41.8173259,39.46195143,29.22834293
ENSG00000179869,36.94315373,38.77847549,40.98408697,38.29725613,40.87153825,35.08380525,41.85498708
ENSG00000107331,26.80157869,26.7738107,29.3534677,29.87077946,28.17096107,27.85204596,40.55831151
ENSG00000167972,41.92498007,42.98200164,42.11813829,45.10325651,43.33734179,40.65421444,58.15908821
ENSG00000198691,33.40088111,31.39390252,35.07647084,36.19063696,34.96036536,34.4388105,69.72288351
ENSG00000154265,53.05321552,56.00914574,57.65200394,61.38904315,56.308144,53.12411292,34.41504526
ENSG00000154262,44.70703893,41.27786941,40.11376852,41.51120076,36.2101562,41.51420745,41.45110453
ENSG00000064687,40.56630016,35.71103748,37.50281318,33.57086698,36.37904685,38.28923371,43.08789175
ENSG00000141338,55.12358491,51.01035788,50.7685762,54.77209833,55.56502514,55.02000657,60.64615448
ENSG00000154258,35.53594954,31.54538092,37.08084059,35.78551789,33.20390255,32.95336806,41.79121615
ENSG00000085563,32.52744402,30.03059674,29.66994713,28.87148576,36.61549377,29.08339957,34.43630223
ENSG00000135776,40.77657205,44.72400345,43.4368026,48.18216145,48.80939897,48.33551554,67.95855447
ENSG00000073734,31.39521077,29.46255267,33.2039675,33.78693048,27.56295472,29.18112605,31.7154092
ENSG00000005471,39.98400877,47.56422382,42.03901843,39.2695419,41.10798515,42.66737989,35.54166501
ENSG00000004846,41.22946536,41.9595223,37.95115904,39.10749427,44.08046067,44.75872648,18.74865343
ENSG00000115657,70.76457863,77.29186373,72.50016416,76.0543535,76.91280379,70.92987705,41.76995918
ENSG00000131269,45.6290003,40.10391165,45.15106621,47.26389157,53.4370029,50.13368273,36.26440223
ENSG00000197150,50.20645763,52.60088129,52.90481239,54.04288401,51.44409317,50.52458864,60.22101494
ENSG00000150967,61.10824641,54.1914047,54.69819588,57.094781,69.3465025,57.79543853,55.14059753
ENSG00000103222,34.11257059,31.58325054,34.68087154,37.5680418,27.46162032,35.7288,25.82722667
ENSG00000124574,50.19028285,42.45182715,49.29167217,48.64129641,53.06544345,47.86642845,36.79582664
ENSG00000121270,45.40255366,40.78556454,40.98408697,40.80899436,44.08046067,43.84009761,29.33462782
ENSG00000140798,49.30067101,52.03283722,50.50484335,47.56097888,51.51164945,50.50504333,73.16651374
ENSG00000023839,39.38554263,40.70982534,43.46317589,45.56239147,43.10089488,42.1982928,33.41596735
ENSG00000108846,29.98800658,31.05307607,28.27216296,31.08613667,26.07671697,31.40928973,22.17102668
ENSG00000125257,49.25214673,60.3262807,52.35097338,52.42240772,50.36319299,54.80500834,59.94467425
ENSG00000114770,36.49026043,32.07555541,38.71598435,36.62276397,30.77187713,32.99245866,28.05920922
ENSG00000091262,49.73738956,47.71570225,43.99064162,55.90643173,50.09296795,50.2900451,27.82538247
ENSG00000006071,63.58298482,63.43158832,68.46505135,67.11472602,68.06293352,63.63948185,54.54540216
ENSG00000069431,36.18293999,38.13469219,38.74235763,41.56521663,37.6288377,38.56286785,24.48803714
ENSG00000101986,36.84610517,35.180863,37.34457346,34.62417657,38.33817844,38.52377725,35.86051966
ENSG00000173208,42.47492194,38.85421469,41.35331298,41.78128013,43.60756684,36.49106652,39.58049059
ENSG00000117528,41.81175675,38.05895298,47.84114142,42.99663735,40.63509133,43.46873698,52.16462078
